sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.840086399999564,20.840086399999564,f,0.4852221999899484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.371467500008293,21.371467500008293,space,109.40967010000895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['W', 'K']",False,R,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,130.82281209999928,130.82281209999928,space,19.262032700004056,155.99096490000375,157.08528300000762,153.77825080000912,155.99096490000375,157.08528300000762,157.08528300000762,157.08528300000762,157.08528300000762,n,2.2170667000027606,159.6114596999978,159.6114596999978,159.6114596999978,159.6114596999978,159.6114596999978,159.6114596999978,159.6114596999978,159.6114596999978,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['F', 'Q']",True,Q,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,159.6114596999978,159.6114596999978,None,,165.2247456000041,166.29577609999978,163.01532350000343,165.2247456000041,166.29577609999978,166.29577609999978,166.29577609999978,166.29577609999978,c,1.182527899989509,167.7221972999978,167.7221972999978,167.7221972999978,167.7221972999978,167.7221972999978,167.7221972999978,167.7221972999978,167.7221972999978,None,None,None,159.6114596999978,159.6114596999978,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['N', 'F']",True,F,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,167.7221972999978,167.7221972999978,None,,173.1210529000091,174.1950696999993,171.1061744000035,173.1210529000091,174.1950696999993,174.1950696999993,174.1950696999993,174.1950696999993,c,1.555042299994966,175.8838761000079,187.21277779999946,175.8838761000079,187.21277779999946,175.8838761000079,187.21277779999946,175.8838761000079,187.21277779999946,4.074074074074069,9.662565399994492,space,167.7221972999978,167.7221972999978,11.257348499988439,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['J', 'X', 'N', 'V']",True,X,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,187.21277779999946,187.21277779999946,space,3.8644607000023825,200.9102292000025,201.97371980000753,198.6959668000054,200.9102292000025,201.97371980000753,201.97371980000753,201.97371980000753,201.97371980000753,c,1.5113940000010189,203.59885799999756,203.59885799999756,203.59885799999756,203.59885799999756,203.59885799999756,203.59885799999756,203.59885799999756,203.59885799999756,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['B', 'Z', 'J', 'D']",True,Z,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,203.59885799999756,203.59885799999756,None,,213.20891450000636,214.27852970000822,211.19322180000017,213.20891450000636,214.27852970000822,214.27852970000822,214.27852970000822,214.27852970000822,c,2.2472421000129543,216.70529939999687,216.70529939999687,216.70529939999687,216.70529939999687,216.70529939999687,216.70529939999687,216.70529939999687,216.70529939999687,None,None,None,203.59885799999756,203.59885799999756,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['S', 'Q', 'V', 'H']",False,C,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,216.70529939999687,216.70529939999687,None,,226.31393869999738,227.3941438000038,224.09444050000457,226.31393869999738,227.3941438000038,227.3941438000038,227.3941438000038,227.3941438000038,n,1.8443422000127612,229.45197660000122,234.0759182000038,229.45197660000122,234.0759182000038,229.45197660000122,234.0759182000038,229.45197660000122,234.0759182000038,9.78395061728395,3.281868799997028,space,216.70529939999687,216.70529939999687,4.561367500005872,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['T', 'R', 'L', 'V', 'C', 'G']",False,M,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,234.0759182000038,234.0759182000038,space,3.0018645000091055,251.90345729999535,252.97970490000444,249.68226020000293,251.90345729999535,252.97970490000444,252.97970490000444,252.97970490000444,252.97970490000444,n,1.4264247000101022,254.6069897999987,254.6069897999987,254.6069897999987,254.6069897999987,254.6069897999987,254.6069897999987,254.6069897999987,254.6069897999987,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
"['B', 'R', 'W', 'L', 'J', 'N']",True,B,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,254.6069897999987,254.6069897999987,None,,268.9718700999947,270.0432454999973,266.74757809999574,268.9718700999947,270.0432454999973,270.0432454999973,270.0432454999973,270.0432454999973,c,1.5224441000027582,271.6686880000052,271.6686880000052,271.6686880000052,271.6686880000052,271.6686880000052,271.6686880000052,271.6686880000052,271.6686880000052,None,None,None,254.6069897999987,254.6069897999987,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-07-16_14h30.02.479,robot_sternberg_sign,2022.2.5,60.00186005785491,
