sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_B_45', 'blue_bottom_J_0', 'blue_bottom_L_45', 'blue_left_B_45']","{'color': 'red_bottom_B_45', 'position': 'blue_left_B_45', 'orientation': 'blue_bottom_J_0'}",color,['color'],red_bottom_B_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_left_H_0', 'red_left_T_45', 'blue_left_J_45', 'red_bottom_J_45']","{'color': 'blue_left_J_45', 'position': 'red_bottom_J_45', 'orientation': 'red_left_H_0'}",position,['position'],red_bottom_J_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['blue_top_Z_0', 'red_top_M_45', 'red_top_V_0', 'red_bottom_T_0']","{'color': 'blue_top_Z_0', 'position': 'red_bottom_T_0', 'orientation': 'red_top_M_45'}",orientation,['orientation'],red_top_M_45,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
