,sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
48,"['R', 'Z', 'F', 'V', 'K', 'B']",True,V,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,822.3087641999999,823.371953,,,,,,,,,825.6064998999999,825.6064998999999,825.6064998999999,825.6064998999999,825.6064998999999,825.6064998999999,825.6064998999999,825.6064998999999,,,,,,,,,,,,,,807.9731188,807.9731188,,,820.2961093999999,822.3087641999999,823.371953,823.371953,823.371953,823.371953,n,2.0752076000001125,807.9731188,807.9731188,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
49,"['H', 'W', 'Z', 'R', 'X', 'N']",True,Z,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,839.7367676,826.6744711,,,,,,,,,841.8355667,841.8355667,841.8355667,841.8355667,841.8355667,841.8355667,841.8355667,841.8355667,,,,,,,,,,,,,,825.6064998999999,825.6064998999999,,,837.7306331999999,839.7367676,840.8082876,840.8082876,840.8082876,840.8082876,c,0.8292906000001494,825.6064998999999,825.6064998999999,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
50,"['T', 'B', 'Z', 'P', 'G', 'K']",False,X,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,855.7582005999999,856.8228209,,,,,,,,,857.8449626,857.8449626,857.8449626,857.8449626,857.8449626,857.8449626,857.8449626,857.8449626,,,,,,,,,,,,,,841.8355667,841.8355667,,,853.5405193,855.7582005999999,856.8228209,856.8228209,856.8228209,856.8228209,n,0.84687450000024,841.8355667,841.8355667,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
51,"['H', 'Q', 'S', 'V', 'M', 'N']",True,Q,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,45.0,45.0,45.0,,,,,,,,,,,,,,,,,871.7970664999999,872.8572911,,,,,,,,,873.6832802999999,873.6832802999999,873.6832802999999,873.6832802999999,873.6832802999999,873.6832802999999,873.6832802999999,873.6832802999999,,,,,,,,,,,,,,857.8449626,857.8449626,,,869.7815761999999,871.7970664999999,872.8572911,872.8572911,872.8572911,872.8572911,c,0.612574400000085,857.8449626,857.8449626,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
52,"['S', 'N', 'Q', 'Z', 'W', 'D']",True,S,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,46.0,46.0,46.0,,,,,,,,,,,,,,,,,887.8030144,874.7423255,,,,,,,,,890.5028641,890.5028641,890.5028641,890.5028641,890.5028641,890.5028641,890.5028641,890.5028641,,,,,,,,,,,,,,873.6832802999999,873.6832802999999,,,885.586743,887.8030144,888.8723733,888.8723733,888.8723733,888.8723733,c,1.4382880000000569,873.6832802999999,873.6832802999999,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
53,"['K', 'N', 'C', 'X', 'V', 'G']",False,L,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,47.0,47.0,47.0,,,,,,,,,,,,,,,,,904.8376751,,,,,,,,,,906.5323369,906.5323369,906.5323369,906.5323369,906.5323369,906.5323369,906.5323369,906.5323369,,,,,,,,,,,,,,890.5028641,890.5028641,,,902.6306237,904.8376751,905.9048768,905.9048768,905.9048768,905.9048768,n,0.5734944000000723,890.5028641,890.5028641,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
54,"['W', 'Z', 'G', 'V', 'C', 'D']",True,Z,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,,920.6413854,921.710621,,,,,,,,,922.7291254,922.7291254,922.7291254,922.7291254,922.7291254,922.7291254,922.7291254,922.7291254,,,,,,,,,,,,,,906.5323369,906.5323369,,,918.6256171,920.6413854,921.710621,921.710621,921.710621,921.710621,c,0.920327000000043,906.5323369,906.5323369,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
55,"['C', 'J', 'M', 'L', 'S', 'K']",False,N,6.0,letter,2.0,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,49.0,49.0,49.0,,,,,,,,,,,,,,,,,937.0336857,938.0891196,,,,,,,,,938.9421936,944.1782192,938.9421936,944.1782192,938.9421936,944.1782192,938.9421936,944.1782192,48.05555555555557,4.995238399999835,space,,,5.19176090000019,,,,,,,,922.7291254,922.7291254,,,934.8222631,937.0336857,938.0891196,938.0891196,938.0891196,938.0891196,n,0.5961433000002216,922.7291254,922.7291254,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
56,"['L', 'F', 'G', 'K']",True,G,4.0,letter,2.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,955.0685859,956.1225208,,,,,,,,,956.7438273,956.7438273,956.7438273,956.7438273,956.7438273,956.7438273,956.7438273,956.7438273,,,,,,,,,,,,,,944.1782192,944.1782192,space,1.1324913000000834,953.0497536,955.0685859,956.1225208,956.1225208,956.1225208,956.1225208,c,0.5635282999999163,,,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
57,"['M', 'Q', 'F', 'X']",True,X,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,,966.4745544,967.5393725,,,,,,,,,968.161647,968.161647,968.161647,968.161647,968.161647,968.161647,968.161647,968.161647,,,,,,,,,,,,,,956.7438273,956.7438273,,,964.2604228,966.4745544,967.5393725,967.5393725,967.5393725,967.5393725,c,0.4504107000000203,956.7438273,956.7438273,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
58,"['W', 'D', 'L', 'S']",False,T,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,52.0,52.0,52.0,,,,,,,,,,,,,,,,,977.9173771,978.9711757,,,,,,,,,979.5931121,979.5931121,979.5931121,979.5931121,979.5931121,979.5931121,979.5931121,979.5931121,,,,,,,,,,,,,,968.161647,968.161647,,,975.8941469,977.9173771,978.9711757,978.9711757,978.9711757,978.9711757,n,0.4433863000001565,968.161647,968.161647,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
59,"['H', 'L', 'J', 'K']",False,W,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,989.5548126,980.6540056,,,,,,,,,991.4494269,991.4494269,991.4494269,991.4494269,991.4494269,991.4494269,991.4494269,991.4494269,,,,,,,,,,,,,,979.5931121,979.5931121,,,987.3362687,989.5548126,990.6257352,990.6257352,990.6257352,990.6257352,n,0.6363914000000932,979.5931121,979.5931121,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
60,"['F', 'Z', 'T', 'R']",True,R,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,54.0,54.0,54.0,,,,,,,,,,,,,,,,,1000.9815369,1002.0491512,,,,,,,,,1002.8744652,1002.8744652,1002.8744652,1002.8744652,1002.8744652,1002.8744652,1002.8744652,1002.8744652,,,,,,,,,,,,,,991.4494269,991.4494269,,,998.9690169,1000.9815369,1002.0491512,1002.0491512,1002.0491512,1002.0491512,c,0.7008479999999508,991.4494269,991.4494269,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
61,"['H', 'X', 'S', 'F']",False,N,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,1012.6260497,1013.6887525,,,,,,,,,1014.3155434,1014.3155434,1014.3155434,1014.3155434,1014.3155434,1014.3155434,1014.3155434,1014.3155434,,,,,,,,,,,,,,1002.8744652,1002.8744652,,,1010.4064639,1012.6260497,1013.6887525,1013.6887525,1013.6887525,1013.6887525,n,0.525319300000092,1002.8744652,1002.8744652,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
62,"['V', 'F', 'W', 'R']",False,C,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,1024.2539102,1015.3716879,,,,,,,,,1025.9543648,1025.9543648,1025.9543648,1025.9543648,1025.9543648,1025.9543648,1025.9543648,1025.9543648,,,,,,,,,,,,,,1014.3155434,1014.3155434,,,1022.0389638,1024.2539102,1025.321128,1025.321128,1025.321128,1025.321128,n,0.444607300000257,1014.3155434,1014.3155434,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
63,"['D', 'N', 'R', 'V']",True,N,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,1035.5080257999998,1036.5757887,,,,,,,,,1036.9932644,1036.9932644,1036.9932644,1036.9932644,1036.9932644,1036.9932644,1036.9932644,1036.9932644,,,,,,,,,,,,,,1025.9543648,1025.9543648,,,1033.4961167,1035.5080257999998,1036.5757887,1036.5757887,1036.5757887,1036.5757887,c,0.3745811000000003,1025.9543648,1025.9543648,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
64,"['S', 'W', 'R', 'F']",False,V,4.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,1046.7491125,1047.8092948,,,,,,,,,1048.4293457,1048.4293457,1048.4293457,1048.4293457,1048.4293457,1048.4293457,1048.4293457,1048.4293457,,,,,,,,,,,,,,1036.9932644,1036.9932644,,,1044.7355584000002,1046.7491125,1047.8092948,1047.8092948,1047.8092948,1047.8092948,c,0.5567684999999756,1036.9932644,1036.9932644,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
65,"['S', 'D', 'L', 'X']",True,S,4.0,letter,2.0,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,1057.9671122999998,1059.0220884,,,,,,,,,1059.6791359999995,1065.4851681,1059.6791359999995,1065.4851681,1059.6791359999995,1065.4851681,1059.6791359999995,1065.4851681,36.17283950617284,5.224137100000007,space,,,5.750972300000399,,,,,,,,1048.4293457,1048.4293457,,,1055.7568596,1057.9671122999998,1059.0220884,1059.0220884,1059.0220884,1059.0220884,c,0.4883961000001591,1048.4293457,1048.4293457,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
66,"['L_Torso_Z_For', 'R_Arm_X_Back']",True,L_Torso_Z_For,2.0,robot,3.0,True,False,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\L_Torso_Z_For.mp4,23.0,,,,,,,,,,,,,0.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,1079.9550375,1081.0612115,,,,,,,,,1084.7011326000002,1084.7011326000002,1084.7011326000002,1084.7011326000002,1084.7011326000002,1084.7011326000002,1084.7011326000002,1084.7011326000002,,,,,,,,,,,,,,1065.4851681,1065.4851681,space,6.001080100000195,,,,1081.0612115,1081.0612115,1081.0612115,c,2.6957621999998764,,,1076.3309746999998,1081.0612115,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
67,"['R_Head_X_For', 'R_Torso_Z_Back']",False,L_Torso_X_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4']",robot_stimuli\L_Torso_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,1093.1389746999998,1094.2315957,,,,,,,,,1097.879501,1097.879501,1097.879501,1097.879501,1097.879501,1097.879501,1097.879501,1097.879501,,,,,,,,,,,,,,1084.7011326000002,1084.7011326000002,,,,,,1094.2315957,1094.2315957,1094.2315957,n,0.989599500000054,1084.7011326000002,1084.7011326000002,1089.4996087,1094.2315957,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
68,"['R_Head_Z_For', 'L_Torso_Z_For']",False,L_Torso_Z_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,1106.3012331999998,1107.3811517999998,,,,,,,,,1110.9002634,1110.9002634,1110.9002634,1110.9002634,1110.9002634,1110.9002634,1110.9002634,1110.9002634,,,,,,,,,,,,,,1097.879501,1097.879501,,,,,,1107.3811517999998,1107.3811517999998,1107.3811517999998,n,1.375690800000143,1097.879501,1097.879501,1102.680571,1107.3811517999998,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
69,"['L_Base_Y_For', 'R_Head_Y_Back']",False,R_Torso_Z_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4']",robot_stimuli\R_Torso_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,1119.2214848,1111.9778155999998,,,,,,,,,1123.9690765,1123.9690765,1123.9690765,1123.9690765,1123.9690765,1123.9690765,1123.9690765,1123.9690765,,,,,,,,,,,,,,1110.9002634,1110.9002634,,,,,,1120.3149826999995,1120.3149826999995,1120.3149826999995,n,1.2020831999999473,1110.9002634,1110.9002634,1115.5908899,1120.3149826999995,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
70,"['L_Torso_Z_Back', 'R_Base_X_For']",True,L_Torso_Z_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,1132.1745554999998,1133.2643967,,,,,,,,,1136.7794973,1136.7794973,1136.7794973,1136.7794973,1136.7794973,1136.7794973,1136.7794973,1136.7794973,,,,,,,,,,,,,,1123.9690765,1123.9690765,,,,,,1133.2643967,1133.2643967,1133.2643967,c,2.908592200000044,1123.9690765,1123.9690765,1128.6459607000002,1133.2643967,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
71,"['R_Head_Z_Back', 'L_Head_X_For']",True,R_Head_Z_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\R_Head_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,65.0,65.0,65.0,,,,,,,,,,,,,,,,,1145.1471699,1146.2442824999998,,,,,,,,,1149.8846362,1149.8846362,1149.8846362,1149.8846362,1149.8846362,1149.8846362,1149.8846362,1149.8846362,,,,,,,,,,,,,,1136.7794973,1136.7794973,,,,,,1146.2442824999998,1146.2442824999998,1146.2442824999998,c,1.9295009999999595,1136.7794973,1136.7794973,1141.5819047,1146.2442824999998,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
72,"['R_Arm_Y_For', 'L_Torso_Z_Back']",True,L_Torso_Z_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,66.0,66.0,66.0,,,,,,,,,,,,,,,,,1158.0751206999998,1159.1639974,,,,,,,,,1162.6600715999998,1162.6600715999998,1162.6600715999998,1162.6600715999998,1162.6600715999998,1162.6600715999998,1162.6600715999998,1162.6600715999998,,,,,,,,,,,,,,1149.8846362,1149.8846362,,,,,,1159.1639974,1159.1639974,1159.1639974,c,1.5934265000004189,1149.8846362,1149.8846362,1154.5669936,1159.1639974,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
73,"['L_Arm_Z_Back', 'R_Arm_X_For']",False,R_Arm_Y_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\R_Arm_Y_Back.mp4,23.0,,,,,,,,,,,,,0.0,67.0,67.0,67.0,,,,,,,,,,,,,,,,,1171.0905368,1172.1784349999998,,,,,,,,,1175.8177661999998,1175.8177661999998,1175.8177661999998,1175.8177661999998,1175.8177661999998,1175.8177661999998,1175.8177661999998,1175.8177661999998,,,,,,,,,,,,,,1162.6600715999998,1162.6600715999998,,,,,,1172.1784349999998,1172.1784349999998,1172.1784349999998,n,2.1151475999998866,1162.6600715999998,1162.6600715999998,1167.4622095,1172.1784349999998,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
74,"['R_Base_Z_For', 'L_Arm_X_Back']",True,L_Arm_X_Back,2.0,robot,3.0,False,False,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4']",robot_stimuli\L_Arm_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,68.0,68.0,68.0,,,,,,,,,,,,,,,,,1184.2549587999997,1185.3444712,,,,,,,,,1188.9843859999996,1188.9843859999996,1188.9843859999996,1188.9843859999996,1188.9843859999996,1188.9843859999996,1188.9843859999996,1188.9843859999996,,,,,,,,,,,,,,1175.8177661999998,1175.8177661999998,,,,,,1185.3444712,1185.3444712,1185.3444712,c,1.9004845000002888,1175.8177661999998,1175.8177661999998,1180.6153114,1185.3444712,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
75,"['L_Head_X_For', 'R_Torso_Z_For']",False,R_Base_X_For,2.0,robot,3.0,False,True,"['robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4']",robot_stimuli\R_Base_X_For.mp4,23.0,,,,,,,,,,,,,0.0,69.0,69.0,69.0,,,,,,,,,,,,,,,,,1197.3560948,1198.4461978999998,,,,,,,,,1202.0063486999998,1210.7818496,1202.0063486999998,1210.7818496,1202.0063486999998,1210.7818496,1202.0063486999998,1210.7818496,12.561728395061722,8.289012400000047,space,,,8.727173100000414,,,,,,,,1188.9843859999996,1188.9843859999996,,,,,,1198.4461978999998,1198.4461978999998,1198.4461978999998,n,1.6318782000001877,1188.9843859999996,1188.9843859999996,1193.7173942999998,1198.4461978999998,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
76,"['L_Head_Y_Back', 'L_Base_Z_For', 'R_Torso_Z_For', 'L_Base_Y_Back']",False,L_Torso_X_Back,4.0,robot,3.0,True,False,"['robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Torso_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,70.0,70.0,70.0,,,,,,,,,,,,,,,,,1236.2735742999998,1237.3642846999996,,,,,,,,,1241.0463588999996,1241.0463588999996,1241.0463588999996,1241.0463588999996,1241.0463588999996,1241.0463588999996,1241.0463588999996,1241.0463588999996,,,,,,,,,,,,,,1210.7818496,1210.7818496,space,9.67121270000041,,,,1237.3642846999996,1237.3642846999996,1237.3642846999996,n,3.649246199999993,,,1232.7085908999998,1237.3642846999996,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
77,"['L_Arm_X_Back', 'R_Head_Z_Back', 'R_Head_X_Back', 'L_Arm_Z_For']",True,L_Arm_Z_For,4.0,robot,3.0,False,False,"['robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4']",robot_stimuli\L_Arm_Z_For.mp4,23.0,,,,,,,,,,,,,0.0,71.0,71.0,71.0,,,,,,,,,,,,,,,,,1256.9246522999997,1258.0118331999995,,,,,,,,,1261.6509225,1261.6509225,1261.6509225,1261.6509225,1261.6509225,1261.6509225,1261.6509225,1261.6509225,,,,,,,,,,,,,,1241.0463588999996,1241.0463588999996,,,,,,1258.0118331999995,1258.0118331999995,1258.0118331999995,c,1.985914900000239,1241.0463588999996,1241.0463588999996,1253.2922672,1258.0118331999995,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
