,sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
38,"['Q', 'B']",False,R,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,713.7318325999998,714.7885694999999,,,,,,,,,715.6199737999999,715.6199737999999,715.6199737999999,715.6199737999999,715.6199737999999,715.6199737999999,715.6199737999999,715.6199737999999,,,,,,,,,,,,,,708.1653329,708.1653329,,,711.5220330999999,713.7318325999998,714.7885694999999,714.7885694999999,714.7885694999999,714.7885694999999,n,0.6975319000000582,708.1653329,708.1653329,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
39,"['Q', 'Z']",False,T,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,720.9896321,722.0554194,,,,,,,,,722.6848799,722.6848799,722.6848799,722.6848799,722.6848799,722.6848799,722.6848799,722.6848799,,,,,,,,,,,,,,715.6199737999999,715.6199737999999,,,718.9795097999998,720.9896321,722.0554194,722.0554194,722.0554194,722.0554194,n,0.4138514000001123,715.6199737999999,715.6199737999999,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
40,"['B', 'C']",True,C,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,728.2584238999999,729.3313408999999,,,,,,,,,729.9587702999999,729.9587702999999,729.9587702999999,729.9587702999999,729.9587702999999,729.9587702999999,729.9587702999999,729.9587702999999,,,,,,,,,,,,,,722.6848799,722.6848799,,,726.0435059,728.2584238999999,729.3313408999999,729.3313408999999,729.3313408999999,729.3313408999999,n,0.4589765000000625,722.6848799,722.6848799,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
41,"['T', 'R']",True,R,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,735.1339276,736.1967314,,,,,,,,,737.0245988,737.0245988,737.0245988,737.0245988,737.0245988,737.0245988,737.0245988,737.0245988,,,,,,,,,,,,,,729.9587702999999,729.9587702999999,,,733.1136098999999,735.1339276,736.1967314,736.1967314,736.1967314,736.1967314,c,0.6087167000000591,729.9587702999999,729.9587702999999,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
42,"['C', 'Z']",True,Z,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,742.4071020999999,743.4722638,,,,,,,,,744.0977256,744.0977256,744.0977256,744.0977256,744.0977256,744.0977256,744.0977256,744.0977256,,,,,,,,,,,,,,737.0245988,737.0245988,,,740.1886447999999,742.4071020999999,743.4722638,743.4722638,743.4722638,743.4722638,c,0.573700400000007,737.0245988,737.0245988,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
43,"['S', 'L']",True,S,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,749.4559143,750.5220922,,,,,,,,,750.9447007,750.9447007,750.9447007,750.9447007,750.9447007,750.9447007,750.9447007,750.9447007,,,,,,,,,,,,,,744.0977256,744.0977256,,,747.4469335999999,749.4559143,750.5220922,750.5220922,750.5220922,750.5220922,c,0.3564774999999827,744.0977256,744.0977256,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
44,"['F', 'D']",False,B,2.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,756.3131376,757.3717350000001,,,,,,,,,757.9964750999999,757.9964750999999,757.9964750999999,757.9964750999999,757.9964750999999,757.9964750999999,757.9964750999999,757.9964750999999,,,,,,,,,,,,,,750.9447007,750.9447007,,,754.3009824,756.3131376,757.3717350000001,757.3717350000001,757.3717350000001,757.3717350000001,n,0.4980356999999458,750.9447007,750.9447007,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
45,"['F', 'X']",False,K,2.0,letter,2.0,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,763.3701209,759.055722,,,,,,,,,765.1005938,769.7673403,765.1005938,769.7673403,765.1005938,769.7673403,765.1005938,769.7673403,17.499999999999996,4.032062799999949,space,,,4.625575500000196,,,,,,,,757.9964750999999,757.9964750999999,,,761.3518350999999,763.3701209,764.4414942,764.4414942,764.4414942,764.4414942,n,0.5008432000001903,757.9964750999999,757.9964750999999,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
46,"['R', 'T', 'P', 'L', 'H', 'M']",False,K,6.0,letter,2.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,790.0738061999999,791.1424386999998,,,,,,,,,791.9631403,791.9631403,791.9631403,791.9631403,791.9631403,791.9631403,791.9631403,791.9631403,,,,,,,,,,,,,,769.7673403,769.7673403,space,5.766675800000257,787.8535722,790.0738061999999,791.1424386999998,791.1424386999998,791.1424386999998,791.1424386999998,n,0.712093300000106,,,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
47,"['C', 'F', 'P', 'S', 'G', 'M']",False,W,6.0,letter,2.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,806.0789361999999,807.1425444999999,,,,,,,,,807.9731188,807.9731188,807.9731188,807.9731188,807.9731188,807.9731188,807.9731188,807.9731188,,,,,,,,,,,,,,791.9631403,791.9631403,,,804.0661483999999,806.0789361999999,807.1425444999999,807.1425444999999,807.1425444999999,807.1425444999999,n,0.6563379000001532,791.9631403,791.9631403,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
