sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,19.12700819998281,19.12700819998281,f,7.541707500000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,26.696788100001868,26.696788100001868,space,97.0608249999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
N,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,150.92766459999257,150.92766459999257,None,,150.92766459999257,151.9982633999898,151.9982633999898,151.9982633999898,151.9982633999898,151.9982633999898,154.05264259999967,c,154.05264259999967,,154.05264259999967,,154.05264259999967,,154.05264259999967,,None,None,space,150.92766459999257,150.92766459999257,1.1183127000113018,32.91183799999999,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,186.97784569999203,186.97784569999203,space,2.25075609999476,189.2522886999941,,190.3233939000056,190.3233939000056,190.3233939000056,190.3233939000056,192.34655389998807,None,192.34655389998807,192.34655389998807,192.34655389998807,192.34655389998807,192.34655389998807,192.34655389998807,192.34655389998807,192.34655389998807,None,None,None,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
C,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,192.34655389998807,192.34655389998807,None,,192.34655389998807,193.4099339999957,193.4099339999957,193.4099339999957,193.4099339999957,193.4099339999957,195.44071609998355,None,195.44071609998355,195.44071609998355,195.44071609998355,195.44071609998355,195.44071609998355,195.44071609998355,195.44071609998355,195.44071609998355,None,None,None,192.34655389998807,192.34655389998807,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,195.44071609998355,195.44071609998355,None,,195.44071609998355,196.51011760000256,196.51011760000256,196.51011760000256,196.51011760000256,196.51011760000256,198.54157129998202,None,198.54157129998202,198.54157129998202,198.54157129998202,198.54157129998202,198.54157129998202,198.54157129998202,198.54157129998202,198.54157129998202,None,None,None,195.44071609998355,195.44071609998355,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
F,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,198.54157129998202,198.54157129998202,None,,198.54157129998202,199.60016239999095,199.60016239999095,199.60016239999095,199.60016239999095,199.60016239999095,201.62613160000183,None,201.62613160000183,201.62613160000183,201.62613160000183,201.62613160000183,201.62613160000183,201.62613160000183,201.62613160000183,201.62613160000183,None,None,None,198.54157129998202,198.54157129998202,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
B,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,201.62613160000183,201.62613160000183,None,,201.62613160000183,202.69325599999866,202.69325599999866,202.69325599999866,202.69325599999866,202.69325599999866,204.72448740000254,n,204.72448740000254,204.72448740000254,204.72448740000254,204.72448740000254,204.72448740000254,204.72448740000254,204.72448740000254,204.72448740000254,None,None,None,201.62613160000183,201.62613160000183,1.2153540999861434,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
F,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,204.72448740000254,204.72448740000254,None,,204.72448740000254,205.78755169999204,205.78755169999204,205.78755169999204,205.78755169999204,205.78755169999204,207.81373910000548,c,207.81373910000548,207.81373910000548,207.81373910000548,207.81373910000548,207.81373910000548,207.81373910000548,207.81373910000548,207.81373910000548,None,None,None,204.72448740000254,204.72448740000254,1.6655925999803003,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
D,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,207.81373910000548,207.81373910000548,None,,207.81373910000548,208.88253079997958,208.88253079997958,208.88253079997958,208.88253079997958,208.88253079997958,210.90544189998764,None,210.90544189998764,210.90544189998764,210.90544189998764,210.90544189998764,210.90544189998764,210.90544189998764,210.90544189998764,210.90544189998764,None,None,None,207.81373910000548,207.81373910000548,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
G,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,210.90544189998764,210.90544189998764,None,,210.90544189998764,211.96711040000082,211.96711040000082,211.96711040000082,211.96711040000082,211.96711040000082,214.00174219999462,n,214.00174219999462,214.00174219999462,214.00174219999462,214.00174219999462,214.00174219999462,214.00174219999462,214.00174219999462,214.00174219999462,None,None,None,210.90544189998764,210.90544189998764,1.9812985000025947,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
D,True,2,letter,1,False,True,robot_stimuli\\filler.mp4,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,214.00174219999462,214.00174219999462,None,,214.00174219999462,215.06488629998057,215.06488629998057,215.06488629998057,215.06488629998057,215.06488629998057,217.1064699999988,None,217.1064699999988,,217.1064699999988,,217.1064699999988,,217.1064699999988,,39.104938271604944,14.90274690001388,space,214.00174219999462,214.00174219999462,,16.44222820000141,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
