sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_T_0', 'blue_left_R_0', 'blue_bottom_P_0', 'blue_bottom_L_45']","{'color': 'red_bottom_T_0', 'position': 'blue_left_R_0', 'orientation': 'blue_bottom_L_45'}",position,['position'],blue_left_R_0,1,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_left_R_0', 'blue_left_L_0', 'blue_bottom_G_0', 'blue_left_T_45']","{'color': 'red_left_R_0', 'position': 'blue_bottom_G_0', 'orientation': 'blue_left_T_45'}",orientation,['orientation'],blue_left_T_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['blue_bottom_S_0', 'red_bottom_M_0', 'blue_left_V_0', 'blue_bottom_B_45']","{'color': 'red_bottom_M_0', 'position': 'blue_left_V_0', 'orientation': 'blue_bottom_B_45'}",color,['color'],red_bottom_M_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
