sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['red_right_R_0', 'blue_right_H_45', 'blue_right_X_0', 'blue_top_C_0']","{'color': 'red_right_R_0', 'position': 'blue_top_C_0', 'orientation': 'blue_right_H_45'}",color,['color'],red_right_R_0,0,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,127,127,127,,,,,,,,,,,,,,,,,,2655.8977875998244,,,2666.4351417999715,2666.4351417999715,2666.4351417999715,1,0.3074626997113228,2666.7691664001904,2666.7691664001904,2666.7691664001904,2666.7691664001904,2666.7691664001904,2666.7691664001904,2666.7691664001904,2666.7691664001904,None,None,None,,,,2657.9685702999122,,,,,,,,2655.8977875998244,2655.8977875998244,None,,2664.4146464997903,2666.4351417999715,2655.8977875998244,2655.8977875998244,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_left_X_45', 'red_right_D_45', 'red_left_D_0', 'red_left_C_45']","{'color': 'blue_left_X_45', 'position': 'red_right_D_45', 'orientation': 'red_left_D_0'}",orientation,['orientation'],red_left_D_0,2,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,128,128,128,,,,,,,,,,,,,,,,,,2666.7691664001904,,,2677.306559499819,2677.306559499819,2677.306559499819,3,0.30875439988449216,2677.6405370999128,2677.6405370999128,2677.6405370999128,2677.6405370999128,2677.6405370999128,2677.6405370999128,2677.6405370999128,2677.6405370999128,None,None,None,,,,2668.8232887000777,,,,,,,,2666.7691664001904,2666.7691664001904,None,,2675.1024754000828,2677.306559499819,2666.7691664001904,2666.7691664001904,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_Q_45', 'blue_bottom_F_45', 'blue_right_M_45', 'blue_bottom_M_0']","{'color': 'red_bottom_Q_45', 'position': 'blue_right_M_45', 'orientation': 'blue_bottom_M_0'}",position,['position'],blue_right_M_45,2,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,129,129,129,,,,,,,,,,,,,,,,,,2677.6405370999128,,,2688.5787483998574,2688.5787483998574,2688.5787483998574,4,0.36449209973216057,2688.9628427000716,2688.9628427000716,2688.9628427000716,2688.9628427000716,2688.9628427000716,2688.9628427000716,2688.9628427000716,2688.9628427000716,None,None,None,,,,2679.7113088001497,,,,,,,,2677.6405370999128,2677.6405370999128,None,,2686.3577788001858,2688.5787483998574,2677.6405370999128,2677.6405370999128,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_top_B_0', 'red_top_K_45', 'red_top_Q_0', 'red_right_T_0']","{'color': 'blue_top_B_0', 'position': 'red_right_T_0', 'orientation': 'red_top_K_45'}",orientation,['orientation'],red_top_K_45,1,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,130,130,130,,,,,,,,,,,,,,,,,,2688.9628427000716,,,2699.7173124002293,2699.7173124002293,2699.7173124002293,2,0.6975253000855446,2700.435403900221,2700.435403900221,2700.435403900221,2700.435403900221,2700.435403900221,2700.435403900221,2700.435403900221,2700.435403900221,None,None,None,,,,2691.0336573999375,,,,,,,,2688.9628427000716,2688.9628427000716,None,,2697.6813329998404,2699.7173124002293,2688.9628427000716,2688.9628427000716,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_right_S_0', 'blue_bottom_D_45', 'red_bottom_C_0', 'blue_bottom_P_0']","{'color': 'red_bottom_C_0', 'position': 'blue_right_S_0', 'orientation': 'blue_bottom_D_45'}",color,['color'],red_bottom_C_0,2,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,131,131,131,,,,,,,,,,,,,,,,,,2700.435403900221,,,2711.390409000218,2711.390409000218,2711.390409000218,3,0.41565619967877865,2711.824505200144,2711.824505200144,2711.824505200144,2711.824505200144,2711.824505200144,2711.824505200144,2711.824505200144,2711.824505200144,None,None,None,,,,2702.506222399883,,,,,,,,2700.435403900221,2700.435403900221,None,,2709.1692952001467,2711.390409000218,2700.435403900221,2700.435403900221,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_right_M_45', 'blue_bottom_R_0', 'blue_bottom_D_45', 'red_bottom_X_45']","{'color': 'red_bottom_X_45', 'position': 'blue_right_M_45', 'orientation': 'blue_bottom_R_0'}",orientation,['orientation'],blue_bottom_R_0,1,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,132,132,132,,,,,,,,,,,,,,,,,,2711.824505200144,,,2722.7459546998143,2722.7459546998143,2722.7459546998143,1,0.5480210999958217,2723.3137789000757,2723.3137789000757,2723.3137789000757,2723.3137789000757,2723.3137789000757,2723.3137789000757,2723.3137789000757,2723.3137789000757,None,None,None,,,,2713.8953160000965,,,,,,,,2711.824505200144,2711.824505200144,None,,2720.541639599949,2722.7459546998143,2711.824505200144,2711.824505200144,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_left_V_0', 'red_right_K_0', 'red_left_G_45', 'blue_left_N_0']","{'color': 'blue_left_N_0', 'position': 'red_right_K_0', 'orientation': 'red_left_G_45'}",position,['position'],red_right_K_0,1,1,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,133,133,133,,,,,,,,,,,,,,,,,,2723.3137789000757,,,2734.051581100095,2734.051581100095,2734.051581100095,3,0.42699920013546944,2734.5024729999714,2734.5024729999714,2734.5024729999714,2734.5024729999714,2734.5024729999714,2734.5024729999714,2734.5024729999714,2734.5024729999714,None,None,None,,,,2725.385191800073,,,,,,,,2723.3137789000757,2723.3137789000757,None,,2732.031038899906,2734.051581100095,2723.3137789000757,2723.3137789000757,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_bottom_L_0', 'blue_right_M_0', 'blue_bottom_K_45', 'red_bottom_Q_0']","{'color': 'red_bottom_Q_0', 'position': 'blue_right_M_0', 'orientation': 'blue_bottom_K_45'}",color,['color'],red_bottom_Q_0,3,1,letter,5,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,134,134,134,,,,,,,,,,,,,,,,,,2734.5024729999714,,,2745.2569420998916,2745.2569420998916,2745.2569420998916,4,0.3255737000145018,2745.641041699797,2748.1459893002175,2745.641041699797,2748.1459893002175,2745.641041699797,2748.1459893002175,2745.641041699797,2748.1459893002175,28.333333333333332,2.2640934996306896,space,,,,2736.573236200027,2.4378361999988556,,,,,,,2734.5024729999714,2734.5024729999714,None,,2743.035982700065,2745.2569420998916,2734.5024729999714,2734.5024729999714,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Arm_X_Back', 'R_Base_X_For', 'L_Base_X_Back', 'R_Base_Y_Back']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Arm_X_Back', 'movement': 'R_Base_Y_Back'}",localisation,"['laterality', 'localisation']",R_Arm_X_Back,0,2,robot,6,True,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4']",robot_stimuli\R_Arm_X_Back.mp4,18,,,,,,,,,,,,,0,135,135,135,,,,,,,,,,,,,,,,,,2749.3483474999666,,,2766.098201099783,2766.098201099783,2766.098201099783,2,3.3402971997857094,2769.471303000115,2769.471303000115,2769.471303000115,2769.471303000115,2769.471303000115,2769.471303000115,2769.471303000115,2769.471303000115,None,None,None,,,,,,,,,,,,2748.1459893002175,2748.1459893002175,space,1.1805389998480678,,,,,2762.4742248998955,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Head_Y_Back', 'R_Head_Y_For', 'R_Base_Y_For', 'R_Head_Z_Back']","{'laterality': 'L_Head_Y_Back', 'localisation': 'R_Base_Y_For', 'movement': 'R_Head_Z_Back'}",laterality,"['laterality', 'localisation']",L_Head_Y_Back,0,2,robot,6,False,False,"['robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\L_Head_Y_Back.mp4,18,,,,,,,,,,,,,0,136,136,136,,,,,,,,,,,,,,,,,,2769.471303000115,,,2786.38799489988,2786.38799489988,2786.38799489988,1,0.6338804000988603,2787.0391787001863,2787.0391787001863,2787.0391787001863,2787.0391787001863,2787.0391787001863,2787.0391787001863,2787.0391787001863,2787.0391787001863,None,None,None,,,,2771.5586939998902,,,,,,,,2769.471303000115,2769.471303000115,None,,,,2769.471303000115,2769.471303000115,2782.7307584001683,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Torso_Y_For', 'L_Head_X_Back', 'L_Head_Y_Back', 'R_Head_Y_Back']","{'laterality': 'R_Head_Y_Back', 'localisation': 'L_Torso_Y_For', 'movement': 'L_Head_X_Back'}",laterality,"['laterality', 'localisation']",R_Head_Y_Back,3,2,robot,6,False,False,"['robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4']",robot_stimuli\R_Head_Y_Back.mp4,18,,,,,,,,,,,,,0,137,137,137,,,,,,,,,,,,,,,,,,2787.0391787001863,,,2803.9224292999133,2803.9224292999133,2803.9224292999133,4,2.572415200062096,2806.527540899813,2806.527540899813,2806.527540899813,2806.527540899813,2806.527540899813,2806.527540899813,2806.527540899813,2806.527540899813,None,None,None,,,,2789.126619500108,,,,,,,,2787.0391787001863,2787.0391787001863,None,,,,2787.0391787001863,2787.0391787001863,2800.298667800147,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Arm_X_Back', 'R_Arm_X_Back', 'R_Arm_Y_For', 'R_Base_X_Back']","{'laterality': 'L_Arm_X_Back', 'localisation': 'R_Base_X_Back', 'movement': 'R_Arm_Y_For'}",movement,"['localisation', 'movement']",R_Arm_Y_For,2,2,robot,6,False,False,"['robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4']",robot_stimuli\R_Arm_Y_For.mp4,18,,,,,,,,,,,,,0,138,138,138,,,,,,,,,,,,,,,,,,2806.527540899813,,,2823.2772153997794,2823.2772153997794,2823.2772153997794,3,1.7044863998889923,2825.013936799951,2825.013936799951,2825.013936799951,2825.013936799951,2825.013936799951,2825.013936799951,2825.013936799951,2825.013936799951,None,None,None,,,,2808.6150023001246,,,,,,,,2806.527540899813,2806.527540899813,None,,,,2806.527540899813,2806.527540899813,2819.6366957998835,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Head_Z_For', 'R_Head_X_For', 'R_Base_X_For', 'L_Head_X_For']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Base_X_For', 'movement': 'R_Head_Z_For'}",localisation,"['localisation', 'movement']",R_Base_X_For,2,2,robot,6,False,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\R_Base_X_For.mp4,18,,,,,,,,,,,,,0,139,139,139,,,,,,,,,,,,,,,,,,2825.013936799951,,,2841.730115499813,2841.730115499813,2841.730115499813,3,3.205312800128013,2844.9531629998237,2844.9531629998237,2844.9531629998237,2844.9531629998237,2844.9531629998237,2844.9531629998237,2844.9531629998237,2844.9531629998237,None,None,None,,,,2827.101397300139,,,,,,,,2825.013936799951,2825.013936799951,None,,,,2825.013936799951,2825.013936799951,2838.156477900222,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Base_X_For', 'R_Base_X_Back', 'L_Torso_X_Back', 'L_Base_Z_For']","{'laterality': 'R_Base_X_Back', 'localisation': 'L_Torso_X_Back', 'movement': 'L_Base_Z_For'}",laterality,"['laterality', 'localisation']",R_Base_X_Back,1,2,robot,6,False,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4']",robot_stimuli\R_Base_X_Back.mp4,18,,,,,,,,,,,,,0,140,140,140,,,,,,,,,,,,,,,,,,2844.9531629998237,,,2861.786283600144,2861.786283600144,2861.786283600144,2,0.7081947000697255,2862.5210711997934,2862.5210711997934,2862.5210711997934,2862.5210711997934,2862.5210711997934,2862.5210711997934,2862.5210711997934,2862.5210711997934,None,None,None,,,,2847.0406110999174,,,,,,,,2844.9531629998237,2844.9531629998237,None,,,,2844.9531629998237,2844.9531629998237,2858.1458576000296,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Base_Z_Back', 'R_Arm_X_Back', 'L_Base_X_For', 'R_Base_X_Back']","{'laterality': 'L_Base_X_For', 'localisation': 'R_Arm_X_Back', 'movement': 'R_Base_Z_Back'}",localisation,"['localisation', 'movement']",R_Arm_X_Back,1,2,robot,6,False,False,"['robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4']",robot_stimuli\R_Arm_X_Back.mp4,18,,,,,,,,,,,,,0,141,141,141,,,,,,,,,,,,,,,,,,2862.5210711997934,,,2879.2707251999527,2879.2707251999527,2879.2707251999527,2,5.215178299695253,2884.5143300998025,2884.5143300998025,2884.5143300998025,2884.5143300998025,2884.5143300998025,2884.5143300998025,2884.5143300998025,2884.5143300998025,None,None,None,,,,2864.608533100225,,,,,,,,2862.5210711997934,2862.5210711997934,None,,,,2862.5210711997934,2862.5210711997934,2875.613548600115,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Base_X_Back', 'L_Arm_X_Back', 'L_Base_X_For', 'L_Base_Y_Back']","{'laterality': 'R_Base_X_Back', 'localisation': 'L_Arm_X_Back', 'movement': 'L_Base_Y_Back'}",movement,"['localisation', 'movement']",L_Base_Y_Back,3,2,robot,6,False,False,"['robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Base_Y_Back.mp4,18,,,,,,,,,,,,,0,142,142,142,,,,,,,,,,,,,,,,,,2884.5143300998025,,,2901.2806835002266,2901.2806835002266,2901.2806835002266,2,1.7738614999689162,2903.084243999794,2903.084243999794,2903.084243999794,2903.084243999794,2903.084243999794,2903.084243999794,2903.084243999794,2903.084243999794,None,None,None,,,,2886.601871000137,,,,,,,,2884.5143300998025,2884.5143300998025,None,,,,2884.5143300998025,2884.5143300998025,2897.707059999928,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Torso_Y_Back', 'R_Torso_X_For', 'R_Head_X_For', 'L_Torso_X_Back']","{'laterality': 'L_Torso_X_Back', 'localisation': 'R_Head_X_For', 'movement': 'R_Torso_Y_Back'}",movement,"['laterality', 'movement']",R_Torso_Y_Back,0,2,robot,6,False,True,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4']",robot_stimuli\R_Torso_Y_Back.mp4,18,,,,,,,,,,,,,0,143,143,143,,,,,,,,,,,,,,,,,,2903.084243999794,,,2919.9841693998314,2919.9841693998314,2919.9841693998314,4,1.7341911001130939,2921.771030299831,2925.144369999878,2921.771030299831,2925.144369999878,2921.771030299831,2925.144369999878,2921.771030299831,2925.144369999878,55.317460317460316,3.081201800145209,space,,,,2905.171701999847,3.3153520999476314,,,,,,,2903.084243999794,2903.084243999794,None,,,,2903.084243999794,2903.084243999794,2916.32697049994,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Head_Y_For', 'R_Head_X_For', 'R_Base_X_Back', 'L_Head_X_For']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Base_X_Back', 'movement': 'R_Head_Y_For'}",laterality,"['laterality', 'localisation', 'movement']",L_Head_X_For,3,3,robot,6,True,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\L_Head_X_For.mp4,18,,,,,,,,,,,,,0,144,144,144,,,,,,,,,,,,,,,,,,2926.6640062001534,,,2943.4971106001176,2943.4971106001176,2943.4971106001176,4,0.8533895001746714,2944.3822105000727,2944.3822105000727,2944.3822105000727,2944.3822105000727,2944.3822105000727,2944.3822105000727,2944.3822105000727,2944.3822105000727,None,None,None,,,,,,,,,,,,2925.144369999878,2925.144369999878,space,1.4937714994885027,,,,,2939.906749600079,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Head_X_For', 'L_Head_Y_Back', 'L_Base_X_Back', 'L_Head_X_For']","{'laterality': 'R_Head_X_For', 'localisation': 'L_Base_X_Back', 'movement': 'L_Head_Y_Back'}",movement,"['laterality', 'localisation', 'movement']",L_Head_Y_Back,1,3,robot,6,False,False,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\L_Head_Y_Back.mp4,18,,,,,,,,,,,,,0,145,145,145,,,,,,,,,,,,,,,,,,2944.3822105000727,,,2961.1819266001694,2961.1819266001694,2961.1819266001694,2,3.048986100126058,2964.2546246000566,2964.2546246000566,2964.2546246000566,2964.2546246000566,2964.2546246000566,2964.2546246000566,2964.2546246000566,2964.2546246000566,None,None,None,,,,2946.4696688000113,,,,,,,,2944.3822105000727,2944.3822105000727,None,,,,2944.3822105000727,2944.3822105000727,2957.6082533998415,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Head_Y_Back', 'R_Base_X_Back', 'L_Base_Y_For', 'R_Base_Y_For']","{'laterality': 'L_Base_Y_For', 'localisation': 'R_Head_Y_Back', 'movement': 'R_Base_X_Back'}",localisation,"['laterality', 'localisation', 'movement']",R_Head_Y_Back,0,3,robot,6,False,False,"['robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Head_Y_Back.mp4,18,,,,,,,,,,,,,0,146,146,146,,,,,,,,,,,,,,,,,,2964.2546246000566,,,2981.0710908998735,2981.0710908998735,2981.0710908998735,1,0.9676655996590853,2982.056351200212,2982.056351200212,2982.056351200212,2982.056351200212,2982.056351200212,2982.056351200212,2982.056351200212,2982.056351200212,None,None,None,,,,2966.3421148001216,,,,,,,,2964.2546246000566,2964.2546246000566,None,,,,2964.2546246000566,2964.2546246000566,2977.4305739998817,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Head_X_Back', 'L_Arm_X_For', 'L_Arm_Y_For', 'R_Arm_X_Back']","{'laterality': 'R_Arm_X_Back', 'localisation': 'L_Head_X_Back', 'movement': 'L_Arm_Y_For'}",movement,"['laterality', 'localisation', 'movement']",L_Arm_Y_For,2,3,robot,6,False,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\L_Arm_Y_For.mp4,18,,,,,,,,,,,,,0,147,147,147,,,,,,,,,,,,,,,,,,2982.056351200212,,,2998.972958299797,2998.972958299797,2998.972958299797,2,2.3460314995609224,3001.344317900017,3001.344317900017,3001.344317900017,3001.344317900017,3001.344317900017,3001.344317900017,3001.344317900017,3001.344317900017,None,None,None,,,,2984.1605279999785,,,,,,,,2982.056351200212,2982.056351200212,None,,,,2982.056351200212,2982.056351200212,2995.315761799924,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Base_Y_Back', 'R_Base_X_For', 'L_Base_X_For', 'R_Arm_X_For']","{'laterality': 'L_Base_X_For', 'localisation': 'R_Arm_X_For', 'movement': 'R_Base_Y_Back'}",movement,"['laterality', 'localisation', 'movement']",R_Base_Y_Back,0,3,robot,6,False,False,"['robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\R_Base_Y_Back.mp4,18,,,,,,,,,,,,,0,148,148,148,,,,,,,,,,,,,,,,,,3001.344317900017,,,3018.0605250000954,3018.0605250000954,3018.0605250000954,1,13.13801659969613,3031.2197902998887,3031.2197902998887,3031.2197902998887,3031.2197902998887,3031.2197902998887,3031.2197902998887,3031.2197902998887,3031.2197902998887,None,None,None,,,,3003.431772499811,,,,,,,,3001.344317900017,3001.344317900017,None,,,,3001.344317900017,3001.344317900017,3014.436815700028,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['R_Torso_Y_Back', 'R_Arm_X_Back', 'R_Arm_Y_For', 'L_Arm_Y_Back']","{'laterality': 'L_Arm_Y_Back', 'localisation': 'R_Torso_Y_Back', 'movement': 'R_Arm_X_Back'}",laterality,"['laterality', 'localisation', 'movement']",L_Arm_Y_Back,3,3,robot,6,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,18,,,,,,,,,,,,,0,149,149,149,,,,,,,,,,,,,,,,,,3031.2197902998887,,,3047.969385600183,3047.969385600183,3047.969385600183,4,0.4219331000931561,3048.420359000098,3048.420359000098,3048.420359000098,3048.420359000098,3048.420359000098,3048.420359000098,3048.420359000098,3048.420359000098,None,None,None,,,,3033.307271100115,,,,,,,,3031.2197902998887,3031.2197902998887,None,,,,3031.2197902998887,3031.2197902998887,3044.3289029998705,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['L_Arm_Z_Back', 'L_Arm_X_Back', 'L_Torso_X_For', 'R_Arm_X_Back']","{'laterality': 'R_Arm_X_Back', 'localisation': 'L_Torso_X_For', 'movement': 'L_Arm_Z_Back'}",localisation,"['laterality', 'localisation', 'movement']",L_Torso_X_For,2,3,robot,6,False,False,"['robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\L_Torso_X_For.mp4,18,,,,,,,,,,,,,0,150,150,150,,,,,,,,,,,,,,,,,,3048.420359000098,,,3065.3202177002095,3065.3202177002095,3065.3202177002095,3,1.4696035999804735,3066.8064792999066,3066.8064792999066,3066.8064792999066,3066.8064792999066,3066.8064792999066,3066.8064792999066,3066.8064792999066,3066.8064792999066,None,None,None,,,,3050.5077891000547,,,,,,,,3048.420359000098,3048.420359000098,None,,,,3048.420359000098,3048.420359000098,3061.663028200157,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
