sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['blue_right_J_45', 'red_left_R_45', 'blue_left_G_45', 'blue_left_W_0']","{'color': 'red_left_R_45', 'position': 'blue_right_J_45', 'orientation': 'blue_left_W_0'}",position,"['color', 'orientation', 'position']",blue_right_J_45,0,3,letter,5,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,,2512.1815880001523,,,2523.1197657999583,2523.1197657999583,2523.1197657999583,1,9.390342600177974,2532.5383195998147,2532.5383195998147,2532.5383195998147,2532.5383195998147,2532.5383195998147,2532.5383195998147,2532.5383195998147,2532.5383195998147,None,None,None,,,,,,,,,,,,2504.19921900006,2504.19921900006,space,7.95144039997831,2520.898813399952,2523.1197657999583,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_right_T_0', 'blue_left_V_0', 'red_left_V_45', 'red_left_K_0']","{'color': 'blue_left_V_0', 'position': 'red_right_T_0', 'orientation': 'red_left_V_45'}",color,"['color', 'orientation', 'position']",blue_left_V_0,1,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,,2532.5383195998147,,,2543.276109300088,2543.276109300088,2543.276109300088,1,2.2109695998951793,2545.51380519988,2545.51380519988,2545.51380519988,2545.51380519988,2545.51380519988,2545.51380519988,2545.51380519988,2545.51380519988,None,None,None,,,,2534.609056300018,,,,,,,,2532.5383195998147,2532.5383195998147,None,,2541.255508800037,2543.276109300088,2532.5383195998147,2532.5383195998147,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_left_M_45', 'red_left_S_0', 'red_right_W_0', 'blue_left_K_0']","{'color': 'blue_left_K_0', 'position': 'red_right_W_0', 'orientation': 'red_left_M_45'}",color,"['color', 'orientation', 'position']",blue_left_K_0,3,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,,2545.51380519988,,,2556.4520347001962,2556.4520347001962,2556.4520347001962,4,2.5227019996382296,2559.0070740999654,2559.0070740999654,2559.0070740999654,2559.0070740999654,2559.0070740999654,2559.0070740999654,2559.0070740999654,2559.0070740999654,None,None,None,,,,2547.584627099801,,,,,,,,2545.51380519988,2545.51380519988,None,,2554.2477922001854,2556.4520347001962,2545.51380519988,2545.51380519988,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_Q_0', 'blue_left_V_0', 'red_left_N_45', 'red_left_Z_0']","{'color': 'blue_left_V_0', 'position': 'red_bottom_Q_0', 'orientation': 'red_left_N_45'}",position,"['color', 'orientation', 'position']",red_bottom_Q_0,0,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,120,120,120,,,,,,,,,,,,,,,,,,2559.0070740999654,,,2569.961941599846,2569.961941599846,2569.961941599846,2,1.180404799990356,2571.1643281998113,2571.1643281998113,2571.1643281998113,2571.1643281998113,2571.1643281998113,2571.1643281998113,2571.1643281998113,2571.1643281998113,None,None,None,,,,2561.0618202001788,,,,,,,,2559.0070740999654,2559.0070740999654,None,,2567.7409479999915,2569.961941599846,2559.0070740999654,2559.0070740999654,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_B_0', 'red_bottom_G_45', 'blue_bottom_N_0', 'red_top_J_0']","{'color': 'blue_bottom_N_0', 'position': 'red_top_J_0', 'orientation': 'red_bottom_G_45'}",orientation,"['color', 'orientation', 'position']",red_bottom_G_45,1,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,121,121,121,,,,,,,,,,,,,,,,,,2571.1643281998113,,,2581.9021383998916,2581.9021383998916,2581.9021383998916,2,3.4800216001458466,2585.4090436999686,2585.4090436999686,2585.4090436999686,2585.4090436999686,2585.4090436999686,2585.4090436999686,2585.4090436999686,2585.4090436999686,None,None,None,,,,2573.2351693999954,,,,,,,,2571.1643281998113,2571.1643281998113,None,,2579.8816019999795,2581.9021383998916,2571.1643281998113,2571.1643281998113,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_left_W_45', 'red_left_M_0', 'red_top_V_45', 'red_left_F_45']","{'color': 'blue_left_W_45', 'position': 'red_top_V_45', 'orientation': 'red_left_M_0'}",orientation,"['color', 'orientation', 'position']",red_left_M_0,1,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,122,122,122,,,,,,,,,,,,,,,,,,2585.4090436999686,,,2596.347206399776,2596.347206399776,2596.347206399776,2,2.9395266994833946,2599.319784599822,2599.319784599822,2599.319784599822,2599.319784599822,2599.319784599822,2599.319784599822,2599.319784599822,2599.319784599822,None,None,None,,,,2587.479801400099,,,,,,,,2585.4090436999686,2585.4090436999686,None,,2594.3266198998317,2596.347206399776,2585.4090436999686,2585.4090436999686,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_top_N_45', 'blue_top_X_45', 'red_top_S_0', 'red_right_Z_45']","{'color': 'blue_top_X_45', 'position': 'red_right_Z_45', 'orientation': 'red_top_S_0'}",position,"['color', 'orientation', 'position']",red_right_Z_45,3,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,123,123,123,,,,,,,,,,,,,,,,,,2599.319784599822,,,2610.475047899876,2610.475047899876,2610.475047899876,4,1.4916837001219392,2611.994697799906,2611.994697799906,2611.994697799906,2611.994697799906,2611.994697799906,2611.994697799906,2611.994697799906,2611.994697799906,None,None,None,,,,2601.3905786001123,,,,,,,,2599.319784599822,2599.319784599822,None,,2608.253974999767,2610.475047899876,2599.319784599822,2599.319784599822,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_D_45', 'red_top_B_45', 'red_bottom_M_0', 'blue_bottom_X_45']","{'color': 'blue_bottom_X_45', 'position': 'red_top_B_45', 'orientation': 'red_bottom_M_0'}",orientation,"['color', 'orientation', 'position']",red_bottom_M_0,2,3,letter,5,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,124,124,124,,,,,,,,,,,,,,,,,,2611.994697799906,,,2622.5487703001127,2622.5487703001127,2622.5487703001127,3,2.0659031001850963,2624.6362228998914,2624.6362228998914,2624.6362228998914,2624.6362228998914,2624.6362228998914,2624.6362228998914,2624.6362228998914,2624.6362228998914,None,None,None,,,,2614.0655420999974,,,,,,,,2611.994697799906,2611.994697799906,None,,2620.52810580004,2622.5487703001127,2611.994697799906,2611.994697799906,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_right_D_45', 'blue_right_D_45', 'blue_top_Q_45', 'blue_right_H_0']","{'color': 'red_right_D_45', 'position': 'blue_top_Q_45', 'orientation': 'blue_right_H_0'}",color,"['color', 'orientation', 'position']",red_right_D_45,0,3,letter,5,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,125,125,125,,,,,,,,,,,,,,,,,,2624.6362228998914,,,2635.791501699947,2635.791501699947,2635.791501699947,1,1.3440725998952985,2637.194279800169,2640.1334163998254,2637.194279800169,2640.1334163998254,2637.194279800169,2640.1334163998254,2637.194279800169,2640.1334163998254,51.98412698412699,2.4809294999577105,space,,,,2626.7070070998743,2.8764003994874656,,,,,,,2624.6362228998914,2624.6362228998914,None,,2633.57054479979,2635.791501699947,2624.6362228998914,2624.6362228998914,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_J_45', 'blue_bottom_D_45', 'blue_bottom_W_0', 'blue_left_Z_45']","{'color': 'red_bottom_J_45', 'position': 'blue_left_Z_45', 'orientation': 'blue_bottom_W_0'}",position,['position'],blue_left_Z_45,3,1,letter,5,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,,,,,,,,,,,,,0,126,126,126,,,,,,,,,,,,,,,,,,2644.892760499846,,,2655.630564200226,2655.630564200226,2655.630564200226,4,0.23976369993761182,2655.8977875998244,2655.8977875998244,2655.8977875998244,2655.8977875998244,2655.8977875998244,2655.8977875998244,2655.8977875998244,2655.8977875998244,None,None,None,,,,,,,,,,,,2640.1334163998254,2640.1334163998254,space,4.73743289988488,2653.6100375000387,2655.630564200226,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
