sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"['blue_bottom_M_45', 'red_top_V_45', 'red_bottom_L_45', 'red_bottom_K_0']","{'color': 'blue_bottom_M_45', 'position': 'red_top_V_45', 'orientation': 'red_bottom_K_0'}",position,"['orientation', 'position']",red_top_V_45,1,2,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,149,149,149,,,,,,,,,,,,,,,,,,,3319.9394124,3321.9956155,,,3330.4781151999996,3330.4781151999996,3330.4781151999996,2,1.6171153000003073,3332.1226487999998,3332.1226487999998,3332.1226487999998,3332.1226487999998,3332.1226487999998,3332.1226487999998,3332.1226487999998,3332.1226487999998,None,None,None,,,,,,,,,,3319.9394124,3319.9394124,None,,,3319.9394124,3319.9394124,3328.2624078999997,3330.4781151999996,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_right_Z_45', 'blue_right_V_45', 'blue_top_R_45', 'blue_right_P_0']","{'color': 'red_right_Z_45', 'position': 'blue_top_R_45', 'orientation': 'blue_right_P_0'}",position,"['orientation', 'position']",blue_top_R_45,2,2,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,150,150,150,,,,,,,,,,,,,,,,,,,3332.1226487999998,3334.1775545,,,3342.6691016,3342.6691016,3342.6691016,3,1.5066754000002334,3344.2061261999997,3344.2061261999997,3344.2061261999997,3344.2061261999997,3344.2061261999997,3344.2061261999997,3344.2061261999997,3344.2061261999997,None,None,None,,,,,,,,,,3332.1226487999998,3332.1226487999998,None,,,3332.1226487999998,3332.1226487999998,3340.6499196,3342.6691016,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_V_45', 'blue_right_D_0', 'blue_right_T_45', 'red_right_P_45']","{'color': 'red_right_P_45', 'position': 'blue_bottom_V_45', 'orientation': 'blue_right_D_0'}",position,"['color', 'position']",blue_bottom_V_45,0,2,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,151,151,151,,,,,,,,,,,,,,,,,,,3344.2061261999997,3346.2636674,,,3354.9429606,3354.9429606,3354.9429606,1,2.457338800000173,3357.4229579999997,3357.4229579999997,3357.4229579999997,3357.4229579999997,3357.4229579999997,3357.4229579999997,3357.4229579999997,3357.4229579999997,None,None,None,,,,,,,,,,3344.2061261999997,3344.2061261999997,None,,,3344.2061261999997,3344.2061261999997,3352.7324571999998,3354.9429606,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_top_S_0', 'red_top_T_45', 'blue_top_Z_45', 'red_bottom_T_45']","{'color': 'blue_top_Z_45', 'position': 'red_bottom_T_45', 'orientation': 'red_top_S_0'}",orientation,"['color', 'orientation']",red_top_S_0,0,2,letter,6,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,152,152,152,,,,,,,,,,,,,,,,,,,3357.4229579999997,3359.4846872,,,3368.1729367999997,3368.1729367999997,3368.1729367999997,1,2.1144407000004435,3370.3326561999997,3375.4190079,3370.3326561999997,3375.4190079,3370.3326561999997,3375.4190079,3370.3326561999997,3375.4190079,43.27160493827161,4.41832390000036,space,,,5.026928000000055,,,,,,,3357.4229579999997,3357.4229579999997,None,,,3357.4229579999997,3357.4229579999997,3366.1522523,3368.1729367999997,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_B_45', 'blue_bottom_G_45', 'blue_left_W_45', 'blue_left_W_0']","{'color': 'red_left_B_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_left_W_0'}",color,['color'],red_left_B_45,0,1,letter,6,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,153,153,153,,,,,,,,,,,,,,,,,,,3376.8560432,3378.9123021,,,3387.3898765,3387.3898765,3387.3898765,1,1.1456864999998402,3388.5561201,3388.5561201,3388.5561201,3388.5561201,3388.5561201,3388.5561201,3388.5561201,3388.5561201,None,None,None,,,,,,,,,,3375.4190079,3375.4190079,space,1.4201310999999919,,,,3385.3674087,3387.3898765,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_D_0', 'red_left_N_45', 'red_right_D_0', 'red_left_X_0']","{'color': 'blue_left_D_0', 'position': 'red_right_D_0', 'orientation': 'red_left_N_45'}",color,['color'],blue_left_D_0,0,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,154,154,154,,,,,,,,,,,,,,,,,,,3388.5561201,3390.6102272,,,3399.0959519999997,3399.0959519999997,3399.0959519999997,1,0.34484330000015007,3399.4726677999997,3399.4726677999997,3399.4726677999997,3399.4726677999997,3399.4726677999997,3399.4726677999997,3399.4726677999997,3399.4726677999997,None,None,None,,,,,,,,,,3388.5561201,3388.5561201,None,,,3388.5561201,3388.5561201,3397.069905,3399.0959519999997,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_bottom_W_0', 'blue_left_P_0', 'red_left_F_45', 'red_left_B_0']","{'color': 'blue_left_P_0', 'position': 'red_bottom_W_0', 'orientation': 'red_left_F_45'}",position,['position'],red_bottom_W_0,0,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,155,155,155,,,,,,,,,,,,,,,,,,,3399.4726677999997,3401.5277201,,,3410.0135425,3410.0135425,3410.0135425,1,0.5701961000002598,3410.6059481999996,3410.6059481999996,3410.6059481999996,3410.6059481999996,3410.6059481999996,3410.6059481999996,3410.6059481999996,3410.6059481999996,None,None,None,,,,,,,,,,3399.4726677999997,3399.4726677999997,None,,,3399.4726677999997,3399.4726677999997,3408.0062196999997,3410.0135425,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_bottom_L_0', 'blue_left_J_0', 'red_left_J_45', 'red_left_D_0']","{'color': 'blue_left_J_0', 'position': 'red_bottom_L_0', 'orientation': 'red_left_J_45'}",position,['position'],red_bottom_L_0,0,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,156,156,156,,,,,,,,,,,,,,,,,,,3410.6059481999996,3412.6610145,,,3421.1442617999996,3421.1442617999996,3421.1442617999996,1,0.40780120000027864,3421.5726597,3421.5726597,3421.5726597,3421.5726597,3421.5726597,3421.5726597,3421.5726597,3421.5726597,None,None,None,,,,,,,,,,3410.6059481999996,3410.6059481999996,None,,,3410.6059481999996,3410.6059481999996,3418.9244343,3421.1442617999996,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_C_0', 'blue_top_B_0', 'red_left_V_0', 'blue_left_R_45']","{'color': 'red_left_V_0', 'position': 'blue_top_B_0', 'orientation': 'blue_left_R_45'}",position,['position'],blue_top_B_0,1,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,157,157,157,,,,,,,,,,,,,,,,,,,3421.5726597,3423.6376824,,,3432.5319796,3432.5319796,3432.5319796,2,6.132032599999832,3438.6894921999997,3438.6894921999997,3438.6894921999997,3438.6894921999997,3438.6894921999997,3438.6894921999997,3438.6894921999997,3438.6894921999997,None,None,None,,,,,,,,,,3421.5726597,3421.5726597,None,,,3421.5726597,3421.5726597,3430.3128257,3432.5319796,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_C_0', 'blue_left_N_45', 'blue_top_Z_0', 'blue_left_C_0']","{'color': 'red_left_C_0', 'position': 'blue_top_Z_0', 'orientation': 'blue_left_N_45'}",orientation,['orientation'],blue_left_N_45,1,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,158,158,158,,,,,,,,,,,,,,,,,,,3438.6894921999997,3440.7449988999997,,,3449.2358243999997,3449.2358243999997,3449.2358243999997,2,0.4200851000003354,3449.6728894,3449.6728894,3449.6728894,3449.6728894,3449.6728894,3449.6728894,3449.6728894,3449.6728894,None,None,None,,,,,,,,,,3438.6894921999997,3438.6894921999997,None,,,3438.6894921999997,3438.6894921999997,3447.2159417999997,3449.2358243999997,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_B_45', 'red_right_Q_45', 'blue_right_K_0', 'blue_right_F_45']","{'color': 'red_right_Q_45', 'position': 'blue_left_B_45', 'orientation': 'blue_right_K_0'}",color,['color'],red_right_Q_45,1,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,159,159,159,,,,,,,,,,,,,,,,,,,3449.6728894,3451.7271951999996,,,3460.6151671,3460.6151671,3460.6151671,2,0.32132580000035205,3460.9562923,3460.9562923,3460.9562923,3460.9562923,3460.9562923,3460.9562923,3460.9562923,3460.9562923,None,None,None,,,,,,,,,,3449.6728894,3449.6728894,None,,,3449.6728894,3449.6728894,3458.3918581,3460.6151671,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_P_45', 'red_left_K_45', 'blue_right_Q_45', 'blue_left_W_0']","{'color': 'red_left_K_45', 'position': 'blue_right_Q_45', 'orientation': 'blue_left_W_0'}",orientation,['orientation'],blue_left_W_0,3,1,letter,6,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,160,160,160,,,,,,,,,,,,,,,,,,,3460.9562923,3463.0106097999997,,,3471.6889712999996,3471.6889712999996,3471.6889712999996,4,0.36645710000021836,3472.0728236,3472.0728236,3472.0728236,3472.0728236,3472.0728236,3472.0728236,3472.0728236,3472.0728236,None,None,None,,,,,,,,,,3460.9562923,3460.9562923,None,,,3460.9562923,3460.9562923,3469.6657613999996,3471.6889712999996,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_M_0', 'blue_left_W_0', 'blue_bottom_P_0', 'blue_left_P_45']","{'color': 'red_left_M_0', 'position': 'blue_bottom_P_0', 'orientation': 'blue_left_P_45'}",orientation,['orientation'],blue_left_P_45,3,1,letter,6,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,,,,,,,,,,,,,0,161,161,161,,,,,,,,,,,,,,,,,,,3472.0728236,3474.1266293,,,3482.8066635,3482.8066635,3482.8066635,4,0.29651900000027354,3483.1482171999996,3487.1486523,3483.1482171999996,3487.1486523,3483.1482171999996,3487.1486523,3483.1482171999996,3487.1486523,12.87037037037037,3.241467399999692,space,,,3.939442900000188,,,,,,,3472.0728236,3472.0728236,None,,,3472.0728236,3472.0728236,3480.5944342,3482.8066635,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
