sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.034972599999975,13.034972599999975,f,0.398362800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.491957999999983,13.491957999999983,space,151.04468630000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_top_W_45', 'red_top_G_45', 'red_right_W_45', 'red_top_H_0']","{'color': 'blue_top_W_45', 'position': 'red_right_W_45', 'orientation': 'red_top_H_0'}",color,['color'],blue_top_W_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,164.57250269999997,164.57250269999997,space,4.436492500000014,169.03592549999996,170.03586719999998,170.03586719999998,172.53871679999997,179.44430159999996,181.68088089999998,181.68088089999998,181.68088089999998,181.68088089999998,1,5.567550800000021,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_W_45', 'red_bottom_M_0', 'blue_left_N_0', 'red_left_G_0']","{'color': 'blue_left_N_0', 'position': 'red_bottom_M_0', 'orientation': 'red_left_W_45'}",position,['position'],red_bottom_M_0,1,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,187.32259089999997,187.32259089999997,None,,187.32259089999997,,188.3362651,,197.314619,199.3388776,199.3388776,199.3388776,199.3388776,3,3.6297081000000446,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,None,None,None,187.32259089999997,187.32259089999997,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_top_D_45', 'red_top_B_0', 'blue_right_F_0', 'blue_top_P_0']","{'color': 'red_top_B_0', 'position': 'blue_right_F_0', 'orientation': 'blue_top_D_45'}",orientation,['orientation'],blue_top_D_45,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,202.9860557,202.9860557,None,,202.9860557,203.98610959999996,203.98610959999996,206.05810889999998,212.9718737,215.1922156,215.1922156,215.1922156,215.1922156,2,1.2246984999999597,216.49167209999996,230.1014098,216.49167209999996,230.1014098,216.49167209999996,230.1014098,216.49167209999996,230.1014098,7.006172839506167,11.826255800000013,space,202.9860557,202.9860557,13.532611199999991,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_V_45', 'blue_left_D_0', 'red_left_B_45', 'blue_left_N_45']","{'color': 'red_left_B_45', 'position': 'blue_bottom_V_45', 'orientation': 'blue_left_D_0'}",color,"['color', 'orientation']",red_left_B_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,230.1014098,230.1014098,space,7.514589199999961,237.63615369999997,238.6364039,238.6364039,240.7198801,247.0147753,249.0474645,249.0474645,249.0474645,249.0474645,3,5.369077200000021,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_T_0', 'blue_left_W_45', 'blue_left_J_0', 'blue_top_S_0']","{'color': 'red_left_T_0', 'position': 'blue_top_S_0', 'orientation': 'blue_left_W_45'}",position,"['color', 'position']",blue_top_S_0,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,254.43632839999998,254.43632839999998,None,,254.43632839999998,255.43629019999997,255.43629019999997,257.5042871,264.4115796,266.43250359999996,266.43250359999996,266.43250359999996,266.43250359999996,2,6.2084632999999485,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,None,None,None,254.43632839999998,254.43632839999998,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_bottom_F_0', 'red_left_T_0', 'red_bottom_M_45', 'blue_bottom_Z_0']","{'color': 'blue_bottom_Z_0', 'position': 'red_left_T_0', 'orientation': 'red_bottom_M_45'}",orientation,"['color', 'orientation']",red_bottom_M_45,2,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,272.66947039999997,272.66947039999997,None,,272.66947039999997,273.6696501,273.6696501,275.736807,282.4441858,284.6616439,284.6616439,284.6616439,284.6616439,3,8.41848639999995,293.12999909999996,298.2774199,293.12999909999996,298.2774199,293.12999909999996,298.2774199,293.12999909999996,298.2774199,20.740740740740733,4.235458499999993,space,272.66947039999997,272.66947039999997,5.0775443,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_P_45', 'blue_left_P_45', 'red_left_L_45', 'blue_left_K_0']","{'color': 'red_left_L_45', 'position': 'blue_bottom_P_45', 'orientation': 'blue_left_K_0'}",color,"['color', 'orientation', 'position']",red_left_L_45,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,298.2774199,298.2774199,space,45.643651100000056,343.95293839999994,344.95297569999997,344.95297569999997,347.02391029999995,353.92603560000003,356.14539929999995,356.14539929999995,356.14539929999995,356.14539929999995,3,4.248021400000027,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_F_0', 'red_left_B_45', 'blue_left_T_45', 'blue_right_V_45']","{'color': 'red_left_B_45', 'position': 'blue_right_V_45', 'orientation': 'blue_left_F_0'}",orientation,"['color', 'orientation', 'position']",blue_left_F_0,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,360.41969209999996,360.41969209999996,None,,360.41969209999996,361.42017300000003,361.42017300000003,363.4860227,370.1782708,372.2047591,372.2047591,372.2047591,372.2047591,1,2.482873999999981,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,None,None,None,360.41969209999996,360.41969209999996,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_R_0', 'red_bottom_F_0', 'blue_right_P_0', 'blue_bottom_B_45']","{'color': 'red_bottom_F_0', 'position': 'blue_right_P_0', 'orientation': 'blue_bottom_B_45'}",position,"['color', 'orientation', 'position']",blue_right_P_0,2,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,374.7195962,374.7195962,None,,374.7195962,375.7197475,375.7197475,377.78975280000003,384.4729179,386.69198109999996,386.69198109999996,386.69198109999996,386.69198109999996,3,4.476409300000057,391.2114013,403.83683849999994,391.2114013,403.83683849999994,391.2114013,403.83683849999994,391.2114013,403.83683849999994,18.580246913580243,10.813822399999935,space,374.7195962,374.7195962,12.580774500000018,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Arm_Y_For', 'R_Arm_X_For', 'L_Arm_X_Back', 'L_Head_X_Back']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Arm_Y_For'}",movement,['movement'],L_Arm_Y_For,0,1,robot,1,True,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\L_Arm_Y_For.mp4,9,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,403.83683849999994,403.83683849999994,space,4.204223900000045,408.06966589999996,409.06968119999993,409.06968119999993,411.1620771,,,425.9955441,425.9955441,425.9955441,4,11.060468000000071,437.08596029999995,437.08596029999995,437.08596029999995,437.08596029999995,437.08596029999995,437.08596029999995,437.08596029999995,437.08596029999995,None,None,None,,,,422.36398230000003,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Torso_Y_Back', 'L_Torso_X_For', 'R_Head_X_Back', 'R_Torso_X_For']","{'laterality': 'L_Torso_X_For', 'localisation': 'R_Head_X_Back', 'movement': 'R_Torso_Y_Back'}",localisation,['localisation'],R_Head_X_Back,2,1,robot,1,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\R_Head_X_Back.mp4,9,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,437.08596029999995,437.08596029999995,None,,437.08596029999995,438.08607920000003,438.08607920000003,440.17836099999994,,,454.9976234,454.9976234,454.9976234,1,0.5949968000000467,455.6196871,455.6196871,455.6196871,455.6196871,455.6196871,455.6196871,455.6196871,455.6196871,None,None,None,437.08596029999995,437.08596029999995,,451.36089699999997,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Base_Y_For', 'R_Arm_Y_Back', 'L_Arm_Z_Back', 'L_Arm_Y_For']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Arm_Z_Back'}",laterality,['laterality'],R_Arm_Y_Back,1,1,robot,1,False,True,"['robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4']",robot_stimuli\R_Arm_Y_Back.mp4,9,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,455.6196871,455.6196871,None,,455.6196871,456.6197665,456.6197665,458.6985537,,,473.4393951,473.4393951,473.4393951,3,11.14551350000005,484.6278954,491.25211499999995,484.6278954,491.25211499999995,484.6278954,491.25211499999995,484.6278954,491.25211499999995,34.01234567901235,5.774240599999985,space,455.6196871,455.6196871,6.580323899999996,469.8122785,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Head_Z_For', 'R_Head_Y_Back', 'L_Head_Y_For', 'L_Base_Y_For']","{'laterality': 'R_Head_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Head_Z_For'}",localisation,"['localisation', 'movement']",L_Base_Y_For,3,2,robot,1,True,False,"['robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\L_Base_Y_For.mp4,9,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,491.25211499999995,491.25211499999995,space,3.435725600000012,494.71965240000003,495.7197838,495.7197838,497.8021538,,,512.5292317999999,512.5292317999999,512.5292317999999,4,2.215610199999958,514.7697869000001,514.7697869000001,514.7697869000001,514.7697869000001,514.7697869000001,514.7697869000001,514.7697869000001,514.7697869000001,None,None,None,,,,508.99376649999994,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Base_X_For', 'R_Head_X_For', 'L_Base_X_Back', 'R_Base_Y_For']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Head_X_For', 'movement': 'R_Base_Y_For'}",movement,"['localisation', 'movement']",R_Base_Y_For,3,2,robot,1,False,False,"['robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,9,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,514.7697869000001,514.7697869000001,None,,514.7697869000001,515.7699795000001,515.7699795000001,517.8514250999999,,,532.5468017000001,532.5468017000001,532.5468017000001,4,4.510790200000031,537.0865233,537.0865233,537.0865233,537.0865233,537.0865233,537.0865233,537.0865233,537.0865233,None,None,None,514.7697869000001,514.7697869000001,,528.8988446000001,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Head_Y_For', 'L_Torso_Y_Back', 'L_Head_Z_For', 'R_Head_Y_Back']","{'laterality': 'R_Head_Y_Back', 'localisation': 'L_Torso_Y_Back', 'movement': 'L_Head_Z_For'}",laterality,"['laterality', 'movement']",R_Head_Y_Back,3,2,robot,1,False,True,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4']",robot_stimuli\R_Head_Y_Back.mp4,9,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,537.0865233,537.0865233,None,,537.0865233,538.0864525,538.0864525,540.1596608,,,554.829557,554.829557,554.829557,4,1.595365500000014,556.4777887,560.1062009,556.4777887,560.1062009,556.4777887,560.1062009,556.4777887,560.1062009,36.48148148148148,2.7542918999999983,space,537.0865233,537.0865233,3.578361599999937,551.1909912000001,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Torso_Y_For', 'R_Torso_Z_Back', 'R_Base_Y_For', 'L_Torso_Y_For']","{'laterality': 'L_Torso_Y_For', 'localisation': 'R_Base_Y_For', 'movement': 'R_Torso_Z_Back'}",localisation,"['laterality', 'localisation', 'movement']",R_Base_Y_For,2,3,robot,1,True,False,"['robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,9,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,560.1062009,560.1062009,space,20.342466300000012,580.4699022,581.4700069999999,581.4700069999999,583.5535394000001,,,598.3592755,598.3592755,598.3592755,3,3.5769635999999423,601.9531274000001,601.9531274000001,601.9531274000001,601.9531274000001,601.9531274000001,601.9531274000001,601.9531274000001,601.9531274000001,None,None,None,,,,594.7149563,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Arm_Y_Back', 'R_Base_Z_For', 'L_Base_Y_For', 'R_Base_Y_For']","{'laterality': 'L_Base_Y_For', 'localisation': 'R_Arm_Y_Back', 'movement': 'R_Base_Z_For'}",movement,"['laterality', 'localisation', 'movement']",R_Base_Z_For,1,3,robot,1,False,False,"['robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Base_Z_For.mp4,9,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,601.9531274000001,601.9531274000001,None,,601.9531274000001,602.9534262,602.9534262,605.0337076999999,,,619.7757634,619.7757634,619.7757634,3,14.776164300000062,634.5698451000001,634.5698451000001,634.5698451000001,634.5698451000001,634.5698451000001,634.5698451000001,634.5698451000001,634.5698451000001,None,None,None,601.9531274000001,601.9531274000001,,616.1467047000001,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Head_Y_For', 'L_Head_X_For', 'R_Torso_X_For', 'R_Head_X_For']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Torso_X_For', 'movement': 'R_Head_Y_For'}",laterality,"['laterality', 'localisation', 'movement']",L_Head_X_For,1,3,robot,1,False,True,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4']",robot_stimuli\L_Head_X_For.mp4,9,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,634.5698451000001,634.5698451000001,None,,634.5698451000001,635.5698869,635.5698869,637.662581,,,652.4088308,652.4088308,652.4088308,2,2.4631239000000846,654.9312889,659.5835706999999,654.9312889,659.5835706999999,654.9312889,659.5835706999999,654.9312889,659.5835706999999,37.561728395061735,3.7943059000000403,space,634.5698451000001,634.5698451000001,4.596482500000036,648.7792420000001,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.5835706999999,659.5835706999999,659.5835706999999,c,2.641219000000035,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Torso_Z_Back', 'R_Arm_Z_Back', 'L_Arm_X_For', 'L_Arm_Z_Back']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Torso_Z_Back', 'movement': 'L_Arm_X_For'}",localisation,['localisation'],L_Torso_Z_Back,0,1,robot,1,True,False,"['robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,9,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,665.5199054,667.5981042999999,,,682.2615453999999,682.2615453999999,682.2615453999999,1,4.179866200000049,686.4699963,686.4699963,686.4699963,686.4699963,686.4699963,686.4699963,686.4699963,686.4699963,None,None,None,,,,,,,,,,662.2694633000001,662.2694633000001,space,3.226269899999977,678.6260228000001,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Head_Y_For', 'L_Head_Z_Back', 'R_Head_Z_Back', 'R_Arm_Z_Back']","{'laterality': 'L_Head_Z_Back', 'localisation': 'R_Arm_Z_Back', 'movement': 'R_Head_Y_For'}",localisation,['localisation'],R_Arm_Z_Back,3,1,robot,1,False,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4']",robot_stimuli\R_Arm_Z_Back.mp4,9,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,686.4699963,688.5410936000001,,,703.3630592,703.3630592,703.3630592,4,1.1179425000000833,704.5034390999999,704.5034390999999,704.5034390999999,704.5034390999999,704.5034390999999,704.5034390999999,704.5034390999999,704.5034390999999,None,None,None,,,,,,,,,,686.4699963,686.4699963,None,,699.7271831999999,686.4699963,686.4699963,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Arm_X_For', 'R_Base_X_For', 'L_Base_X_For', 'L_Base_Z_Back']","{'laterality': 'R_Base_X_For', 'localisation': 'L_Arm_X_For', 'movement': 'L_Base_Z_Back'}",movement,['movement'],L_Base_Z_Back,3,1,robot,1,False,False,"['robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4']",robot_stimuli\L_Base_Z_Back.mp4,9,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,704.5034390999999,706.5935953000001,,,721.2468231,721.2468231,721.2468231,4,1.353406600000028,722.6199340999999,722.6199340999999,722.6199340999999,722.6199340999999,722.6199340999999,722.6199340999999,722.6199340999999,722.6199340999999,None,None,None,,,,,,,,,,704.5034390999999,704.5034390999999,None,,717.6030708999999,704.5034390999999,704.5034390999999,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Base_Z_Back', 'R_Torso_Z_Back', 'R_Base_Y_Back', 'R_Base_Z_For']","{'laterality': 'L_Base_Z_Back', 'localisation': 'R_Torso_Z_Back', 'movement': 'R_Base_Y_Back'}",laterality,['laterality'],L_Base_Z_Back,0,1,robot,1,False,False,"['robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\L_Base_Z_Back.mp4,9,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,722.6199340999999,724.6967024,,,739.5291843,739.5291843,739.5291843,1,1.3591475999999716,740.9200638,740.9200638,740.9200638,740.9200638,740.9200638,740.9200638,740.9200638,740.9200638,None,None,None,,,,,,,,,,722.6199340999999,722.6199340999999,None,,735.8822498,722.6199340999999,722.6199340999999,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['R_Base_Z_For', 'R_Arm_X_For', 'R_Base_X_For', 'L_Base_X_Back']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Arm_X_For', 'movement': 'R_Base_Z_For'}",movement,['movement'],R_Base_Z_For,0,1,robot,1,False,False,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4']",robot_stimuli\R_Base_Z_For.mp4,9,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,740.9200638,742.9944677000001,,,757.671877,757.671877,757.671877,2,0.34560679999998456,758.0372030999999,758.0372030999999,758.0372030999999,758.0372030999999,758.0372030999999,758.0372030999999,758.0372030999999,758.0372030999999,None,None,None,,,,,,,,,,740.9200638,740.9200638,None,,754.0807399999999,740.9200638,740.9200638,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['L_Head_Y_For', 'R_Head_Z_Back', 'L_Head_Z_Back', 'L_Torso_Z_For']","{'laterality': 'R_Head_Z_Back', 'localisation': 'L_Torso_Z_For', 'movement': 'L_Head_Y_For'}",localisation,['localisation'],L_Torso_Z_For,3,1,robot,1,False,False,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\L_Torso_Z_For.mp4,9,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,758.0372030999999,760.1085052999999,,,774.9289942999999,774.9289942999999,774.9289942999999,4,0.3843411000000856,775.3369332,775.3369332,775.3369332,775.3369332,775.3369332,775.3369332,775.3369332,775.3369332,None,None,None,,,,,,,,,,758.0372030999999,758.0372030999999,None,,771.2932179,758.0372030999999,758.0372030999999,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
