sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['L', 'Z', 'B', 'G', 'H', 'C']",True,Z,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,190.7531880000006,190.7531880000006,None,,204.7158402999994,205.77861049999956,202.69598059999953,204.7158402999994,205.77861049999956,205.77861049999956,205.77861049999956,205.77861049999956,c,1.1582452000002377,207.03263829999923,211.01145759999963,207.03263829999923,211.01145759999963,207.03263829999923,211.01145759999963,207.03263829999923,211.01145759999963,32.77777777777778,3.1510803000001033,space,190.7531880000006,190.7531880000006,3.9344731000001048,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_Z_For', 'R_Arm_Z_For']",False,L_Head_Z_For,2,robot,2,True,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4']",robot_stimuli\L_Head_Z_For.mp4,8,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,211.01145759999963,211.01145759999963,space,1.756327200000669,221.25646589999997,222.35322069999893,,,,222.35322069999893,222.35322069999893,222.35322069999893,n,1.9030764999988605,225.99360479999996,225.99360479999996,225.99360479999996,225.99360479999996,225.99360479999996,225.99360479999996,225.99360479999996,225.99360479999996,None,None,None,,,,217.6148893999998,222.35322069999893,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_X_For', 'R_Base_Z_For']",True,L_Base_X_For,2,robot,2,False,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\L_Base_X_For.mp4,8,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,225.99360479999996,225.99360479999996,None,,234.38846709999962,235.48145040000054,,,,235.48145040000054,235.48145040000054,235.48145040000054,c,2.4135874999992666,239.06487190000007,239.06487190000007,239.06487190000007,239.06487190000007,239.06487190000007,239.06487190000007,239.06487190000007,239.06487190000007,None,None,None,225.99360479999996,225.99360479999996,,230.74934949999988,235.48145040000054,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Torso_X_For', 'R_Head_X_For']",True,R_Head_X_For,2,robot,2,False,True,"['robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4']",robot_stimuli\R_Head_X_For.mp4,8,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,239.06487190000007,239.06487190000007,None,,247.51494210000055,248.59053029999995,,,,248.59053029999995,248.59053029999995,248.59053029999995,c,1.7941315000007307,252.27807070000017,260.1268808999994,252.27807070000017,260.1268808999994,252.27807070000017,260.1268808999994,252.27807070000017,260.1268808999994,22.43827160493827,3.5116443000006257,space,239.06487190000007,239.06487190000007,7.784999800000151,243.8837958999993,248.59053029999995,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Torso_Z_For', 'L_Arm_Z_Back', 'R_Arm_Z_Back', 'R_Head_Z_Back']",False,L_Arm_X_For,4,robot,2,True,False,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\L_Arm_X_For.mp4,8,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,260.1268808999994,260.1268808999994,space,8.096724600000016,284.15600090000044,285.2423213000002,,,,285.2423213000002,285.2423213000002,285.2423213000002,n,3.157520899998417,288.8720229999999,288.8720229999999,288.8720229999999,288.8720229999999,288.8720229999999,288.8720229999999,288.8720229999999,288.8720229999999,None,None,None,,,,280.5095397999994,285.2423213000002,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Base_Z_For', 'R_Base_Y_Back', 'L_Head_Z_For', 'R_Arm_Y_Back']",True,L_Head_Z_For,4,robot,2,False,False,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\L_Head_Z_For.mp4,8,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,288.8720229999999,288.8720229999999,None,,304.7482146000002,305.82667240000046,,,,305.82667240000046,305.82667240000046,305.82667240000046,c,2.2450585999995383,309.45622449999973,309.45622449999973,309.45622449999973,309.45622449999973,309.45622449999973,309.45622449999973,309.45622449999973,309.45622449999973,None,None,None,288.8720229999999,288.8720229999999,,301.12475359999917,305.82667240000046,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Head_Z_Back', 'R_Head_Y_Back', 'L_Torso_Y_For', 'R_Head_X_Back']",True,R_Head_Z_Back,4,robot,2,False,True,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\R_Head_Z_Back.mp4,8,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,309.45622449999973,309.45622449999973,None,,325.35628279999946,326.4424538000003,,,,326.4424538000003,326.4424538000003,326.4424538000003,n,4.29448819999925,330.8107651999999,334.32393149999916,330.8107651999999,334.32393149999916,330.8107651999999,334.32393149999916,330.8107651999999,334.32393149999916,33.395061728395056,3.035547299999962,space,309.45622449999973,309.45622449999973,3.44442700000036,321.72448330000043,326.4424538000003,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_X_For', 'R_Torso_X_Back', 'R_Arm_Y_For', 'L_Base_Y_Back', 'R_Arm_X_For', 'R_Torso_X_For']",True,L_Base_X_For,6,robot,2,True,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\L_Base_X_For.mp4,8,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,334.32393149999916,334.32393149999916,space,1.4040659000002051,358.8370907999997,359.92621449999933,,,,359.92621449999933,359.92621449999933,359.92621449999933,n,2.6574056999997993,363.48919269999897,363.48919269999897,363.48919269999897,363.48919269999897,363.48919269999897,363.48919269999897,363.48919269999897,363.48919269999897,None,None,None,,,,355.2061233000004,359.92621449999933,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Arm_X_Back', 'R_Arm_Y_For', 'R_Head_Y_Back', 'R_Head_Z_Back', 'R_Head_X_Back', 'L_Arm_X_Back']",True,L_Arm_X_Back,6,robot,2,False,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4']",robot_stimuli\L_Arm_X_Back.mp4,8,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,363.48919269999897,363.48919269999897,None,,386.7025168,387.7917161000005,,,,387.7917161000005,387.7917161000005,387.7917161000005,c,3.335883499999909,391.43059659999926,391.43059659999926,391.43059659999926,391.43059659999926,391.43059659999926,391.43059659999926,391.43059659999926,391.43059659999926,None,None,None,363.48919269999897,363.48919269999897,,383.0715524999996,387.7917161000005,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Arm_Y_For', 'R_Head_Z_Back', 'L_Head_Z_For', 'L_Arm_Y_Back', 'L_Torso_Y_Back', 'R_Base_Y_For']",False,R_Head_X_Back,6,robot,2,False,True,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Head_X_Back.mp4,8,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,391.43059659999926,391.43059659999926,None,,414.6234186999991,415.7269643999989,,,,415.7269643999989,415.7269643999989,415.7269643999989,n,4.905887099999745,420.69128029999956,424.80009939999945,420.69128029999956,424.80009939999945,420.69128029999956,424.80009939999945,420.69128029999956,424.80009939999945,55.15432098765432,2.3795757999996567,space,391.43059659999926,391.43059659999926,4.0443808999989415,410.9884330999994,415.7269643999989,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.80009939999945,424.80009939999945,424.80009939999945,c,2.0403112000003603,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['F', 'Q']",False,C,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,433.8239408999998,434.90859719999935,,,,,,,,,435.915092199999,435.915092199999,435.915092199999,435.915092199999,435.915092199999,435.915092199999,435.915092199999,435.915092199999,None,None,None,,,,,,,,,,,426.87993669999923,426.87993669999923,space,1.5673462000013387,431.8088276999988,433.8239408999998,434.90859719999935,434.90859719999935,434.90859719999935,434.90859719999935,n,0.9544545999997354,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['Q', 'P']",True,Q,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,441.4700051,442.5345603000005,,,,,,,,,443.7574614999994,443.7574614999994,443.7574614999994,443.7574614999994,443.7574614999994,443.7574614999994,443.7574614999994,443.7574614999994,None,None,None,,,,,,,,,,,435.915092199999,435.915092199999,None,,439.25348119999944,441.4700051,442.5345603000005,442.5345603000005,442.5345603000005,442.5345603000005,c,1.0328168000014557,435.915092199999,435.915092199999,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['T', 'R']",True,T,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,449.12168609999935,450.18937089999963,,,,,,,,,451.0135455999989,451.0135455999989,451.0135455999989,451.0135455999989,451.0135455999989,451.0135455999989,451.0135455999989,451.0135455999989,None,None,None,,,,,,,,,,,443.7574614999994,443.7574614999994,None,,447.11147229999915,449.12168609999935,450.18937089999963,450.18937089999963,450.18937089999963,450.18937089999963,c,0.6823349000005692,443.7574614999994,443.7574614999994,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['V', 'F']",True,V,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,456.3827108000005,457.43502199999966,,,,,,,,,458.2574038999992,458.2574038999992,458.2574038999992,458.2574038999992,458.2574038999992,458.2574038999992,458.2574038999992,458.2574038999992,None,None,None,,,,,,,,,,,451.0135455999989,451.0135455999989,None,,454.3620408000006,456.3827108000005,457.43502199999966,457.43502199999966,457.43502199999966,457.43502199999966,c,0.6200164999991102,451.0135455999989,451.0135455999989,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['W', 'B']",False,T,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,463.81800920000023,459.32672529999945,,,,,,,,,465.5117635000006,465.5117635000006,465.5117635000006,465.5117635000006,465.5117635000006,465.5117635000006,465.5117635000006,465.5117635000006,None,None,None,,,,,,,,,,,458.2574038999992,458.2574038999992,None,,461.6040147999993,463.81800920000023,464.8855017999995,464.8855017999995,464.8855017999995,464.8855017999995,n,0.5790811000006215,458.2574038999992,458.2574038999992,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['B', 'P']",False,G,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,470.8838190000006,466.5676000000003,,,,,,,,,472.5778974999994,472.5778974999994,472.5778974999994,472.5778974999994,472.5778974999994,472.5778974999994,472.5778974999994,472.5778974999994,None,None,None,,,,,,,,,,,465.5117635000006,465.5117635000006,None,,468.8612250999995,470.8838190000006,471.9528561999996,471.9528561999996,471.9528561999996,471.9528561999996,n,0.5751987000003282,465.5117635000006,465.5117635000006,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['T', 'N']",True,N,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,478.1394868999996,479.20154439999897,,,,,,,,,480.02994489999946,480.02994489999946,480.02994489999946,480.02994489999946,480.02994489999946,480.02994489999946,480.02994489999946,480.02994489999946,None,None,None,,,,,,,,,,,472.5778974999994,472.5778974999994,None,,475.9258769999997,478.1394868999996,479.20154439999897,479.20154439999897,479.20154439999897,479.20154439999897,c,0.7429771999995864,472.5778974999994,472.5778974999994,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['V', 'P']",False,R,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,485.5837922999999,481.0840642000003,,,,,,,,,487.4780780000001,487.4780780000001,487.4780780000001,487.4780780000001,487.4780780000001,487.4780780000001,487.4780780000001,487.4780780000001,None,None,None,,,,,,,,,,,480.02994489999946,480.02994489999946,None,,483.3733659999998,485.5837922999999,486.65172750000056,486.65172750000056,486.65172750000056,486.65172750000056,n,0.596096999999645,480.02994489999946,480.02994489999946,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['F', 'L']",True,L,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,492.6383542000003,493.7010012999999,,,,,,,,,494.5244161999999,494.5244161999999,494.5244161999999,494.5244161999999,494.5244161999999,494.5244161999999,494.5244161999999,494.5244161999999,None,None,None,,,,,,,,,,,487.4780780000001,487.4780780000001,None,,490.6281263000001,492.6383542000003,493.7010012999999,493.7010012999999,493.7010012999999,493.7010012999999,c,0.6752427999999782,487.4780780000001,487.4780780000001,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['F', 'Q']",False,V,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,499.89004919999934,500.9512372999998,,,,,,,,,501.6008861999999,507.26066419999916,501.6008861999999,507.26066419999916,501.6008861999999,507.26066419999916,501.6008861999999,507.26066419999916,21.358024691358025,5.240201000000525,space,,,5.606600299999627,,,,,,,,494.5244161999999,494.5244161999999,None,,497.87515650000023,499.89004919999934,500.9512372999998,500.9512372999998,500.9512372999998,500.9512372999998,n,0.5687379000009969,494.5244161999999,494.5244161999999,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
