sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.495622500000536,25.495622500000536,e,1.8169720000005327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36397009999928,27.36397009999928,space,51.436152199999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['M', 'N']",True,M,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,78.84719919999952,78.84719919999952,space,2.2170242999982293,86.53017249999903,87.62201490000007,84.5150966000001,86.53017249999903,87.62201490000007,87.62201490000007,87.62201490000007,87.62201490000007,c,1.9381204999990587,89.63891549999971,89.63891549999971,89.63891549999971,89.63891549999971,89.63891549999971,89.63891549999971,89.63891549999971,89.63891549999971,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['M', 'K']",True,K,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,89.63891549999971,89.63891549999971,None,,95.2394349999995,96.31330329999946,93.02234300000055,95.2394349999995,96.31330329999946,96.31330329999946,96.31330329999946,96.31330329999946,c,0.7904548000005889,97.34114529999897,97.34114529999897,97.34114529999897,97.34114529999897,97.34114529999897,97.34114529999897,97.34114529999897,97.34114529999897,None,None,None,89.63891549999971,89.63891549999971,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['H', 'M']",False,N,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,97.34114529999897,97.34114529999897,None,,102.52659409999978,103.59572099999968,100.50831649999964,102.52659409999978,103.59572099999968,103.59572099999968,103.59572099999968,103.59572099999968,n,1.500368699998944,105.2906280999996,116.0850876000004,105.2906280999996,116.0850876000004,105.2906280999996,116.0850876000004,105.2906280999996,116.0850876000004,24.598765432098762,2.8486690999998245,space,97.34114529999897,97.34114529999897,10.725353100000575,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['J', 'D', 'G', 'M']",True,J,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,116.0850876000004,116.0850876000004,space,1.3872247999988758,127.08152599999994,128.150432299999,125.0614999999998,127.08152599999994,128.150432299999,128.150432299999,128.150432299999,128.150432299999,c,0.6573601000000053,128.9788537000004,128.9788537000004,128.9788537000004,128.9788537000004,128.9788537000004,128.9788537000004,128.9788537000004,128.9788537000004,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['H', 'S', 'B', 'T']",True,S,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,128.9788537000004,128.9788537000004,None,,138.96883479999997,140.04613260000042,136.74932939999962,138.96883479999997,140.04613260000042,140.04613260000042,140.04613260000042,140.04613260000042,c,0.6736004999984289,140.86979470000006,140.86979470000006,140.86979470000006,140.86979470000006,140.86979470000006,140.86979470000006,140.86979470000006,140.86979470000006,None,None,None,128.9788537000004,128.9788537000004,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['C', 'P', 'D', 'T']",False,Z,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,140.86979470000006,140.86979470000006,None,,150.4706186000003,151.54977080000026,148.44697629999973,150.4706186000003,151.54977080000026,151.54977080000026,151.54977080000026,151.54977080000026,n,0.8588003999993816,152.60557049999989,156.95679120000023,152.60557049999989,156.95679120000023,152.60557049999989,156.95679120000023,152.60557049999989,156.95679120000023,24.44444444444444,3.4963169999991806,space,140.86979470000006,140.86979470000006,4.2894507000000885,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['C', 'J', 'R', 'K', 'M', 'F']",False,Q,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,156.95679120000023,156.95679120000023,space,1.2662396999985503,172.42056749999938,173.48734820000027,170.2005895000002,172.42056749999938,173.48734820000027,173.48734820000027,173.48734820000027,173.48734820000027,n,0.5762816000005841,174.11641710000004,174.11641710000004,174.11641710000004,174.11641710000004,174.11641710000004,174.11641710000004,174.11641710000004,174.11641710000004,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['F', 'P', 'Z', 'H', 'S', 'B']",True,B,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,174.11641710000004,174.11641710000004,None,,188.26221429999896,189.31927759999962,186.24281940000037,188.26221429999896,189.31927759999962,189.31927759999962,189.31927759999962,189.31927759999962,c,1.2800877999998193,190.7531880000006,190.7531880000006,190.7531880000006,190.7531880000006,190.7531880000006,190.7531880000006,190.7531880000006,190.7531880000006,None,None,None,174.11641710000004,174.11641710000004,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
