sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"['L_Base_Z_For', 'R_Arm_Z_Back', 'R_Base_X_Back', 'R_Base_Z_For']","{'laterality': 'L_Base_Z_For', 'localisation': 'R_Arm_Z_Back', 'movement': 'R_Base_X_Back'}","['laterality', 'movement']",0,laterality,L_Base_Z_For,2,robot,3,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\L_Base_Z_For.mp4,1,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,1593.9798023000185,,,1610.864039100008,1610.864039100008,1610.864039100008,1,1.094167599978391,1611.9750480999937,1611.9750480999937,1611.9750480999937,1611.9750480999937,1611.9750480999937,1611.9750480999937,1611.9750480999937,1611.9750480999937,None,None,None,,,1596.0720686000132,,,,,,,,1593.9798023000185,1593.9798023000185,None,,1607.2350961000193,1593.9798023000185,1593.9798023000185,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['L_Head_X_Back', 'L_Arm_Z_For', 'L_Arm_X_Back', 'R_Arm_X_For']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Arm_Z_For'}","['laterality', 'movement']",1,movement,L_Arm_Z_For,2,robot,3,False,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\L_Arm_Z_For.mp4,1,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,1611.9750480999937,,,1628.8425315000059,1628.8425315000059,1628.8425315000059,2,4.667832999984967,1633.5231224000163,1633.5231224000163,1633.5231224000163,1633.5231224000163,1633.5231224000163,1633.5231224000163,1633.5231224000163,1633.5231224000163,None,None,None,,,1614.068034099997,,,,,,,,1611.9750480999937,1611.9750480999937,None,,1625.2127626000147,1611.9750480999937,1611.9750480999937,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['R_Head_Z_Back', 'R_Head_Y_For', 'L_Head_Y_For', 'R_Torso_Y_Back']","{'laterality': 'L_Head_Y_For', 'localisation': 'R_Torso_Y_Back', 'movement': 'R_Head_Z_Back'}","['laterality', 'movement']",0,laterality,L_Head_Y_For,2,robot,3,False,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,1,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,1633.5231224000163,,,1650.419924899994,1650.419924899994,1650.419924899994,3,1.2201015999889933,1651.6546778000193,1651.6546778000193,1651.6546778000193,1651.6546778000193,1651.6546778000193,1651.6546778000193,1651.6546778000193,1651.6546778000193,None,None,None,,,1635.6089423999947,,,,,,,,1633.5231224000163,1633.5231224000163,None,,1646.776757899992,1633.5231224000163,1633.5231224000163,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['L_Head_Y_Back', 'R_Head_Y_Back', 'R_Head_Z_Back', 'R_Arm_Y_For']","{'laterality': 'L_Head_Y_Back', 'localisation': 'R_Arm_Y_For', 'movement': 'R_Head_Z_Back'}","['localisation', 'movement']",1,movement,R_Head_Z_Back,2,robot,3,False,False,"['robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\R_Head_Z_Back.mp4,1,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,1651.6546778000193,,,1668.4030088,1668.4030088,1668.4030088,3,1.6920702999923378,1670.1168575000193,1670.1168575000193,1670.1168575000193,1670.1168575000193,1670.1168575000193,1670.1168575000193,1670.1168575000193,1670.1168575000193,None,None,None,,,,,,,,,,,1651.6546778000193,1651.6546778000193,None,,1664.9191273000033,1651.6546778000193,1651.6546778000193,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['R_Arm_X_Back', 'R_Base_X_Back', 'L_Base_X_Back', 'R_Base_Y_For']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Arm_X_Back', 'movement': 'R_Base_Y_For'}","['laterality', 'localisation']",1,localisation,R_Arm_X_Back,2,robot,3,False,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Arm_X_Back.mp4,1,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,1670.1168575000193,,,1686.9562217000057,1686.9562217000057,1686.9562217000057,1,1.40363129999605,1688.3741808999912,1688.3741808999912,1688.3741808999912,1688.3741808999912,1688.3741808999912,1688.3741808999912,1688.3741808999912,1688.3741808999912,None,None,None,,,,,,,,,,,1670.1168575000193,1670.1168575000193,None,,1683.3279788999935,1670.1168575000193,1670.1168575000193,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['L_Head_X_For', 'R_Head_Y_Back', 'L_Base_Y_For', 'L_Head_Y_For']","{'laterality': 'R_Head_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Head_X_For'}","['laterality', 'localisation']",1,localisation,L_Base_Y_For,2,robot,3,False,False,"['robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\L_Base_Y_For.mp4,1,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,1688.3741808999912,,,1705.0880415000138,1705.0880415000138,1705.0880415000138,4,2.1893081000016537,1707.2969123999937,1707.2969123999937,1707.2969123999937,1707.2969123999937,1707.2969123999937,1707.2969123999937,1707.2969123999937,1707.2969123999937,None,None,None,,,1690.4632925000042,,,,,,,,1688.3741808999912,1688.3741808999912,None,,1701.457074200007,1688.3741808999912,1688.3741808999912,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['L_Arm_Y_Back', 'R_Arm_X_Back', 'L_Arm_X_For', 'L_Torso_X_For']","{'laterality': 'R_Arm_X_Back', 'localisation': 'L_Torso_X_For', 'movement': 'L_Arm_Y_Back'}","['laterality', 'movement']",1,movement,L_Arm_Y_Back,2,robot,3,False,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,1,,,,,,,,,,,,,0,80,80,80,,,,,,,,,,,,,,,,,,,1707.2969123999937,,,1724.1817123999936,1724.1817123999936,1724.1817123999936,1,1.9308116000029258,1726.1282759000023,1726.1282759000023,1726.1282759000023,1726.1282759000023,1726.1282759000023,1726.1282759000023,1726.1282759000023,1726.1282759000023,None,None,None,,,1709.387518100004,,,,,,,,1707.2969123999937,1707.2969123999937,None,,1720.5491972000164,1707.2969123999937,1707.2969123999937,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['R_Arm_X_For', 'L_Arm_X_Back', 'L_Head_X_For', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Head_X_For', 'movement': 'L_Arm_Y_Back'}","['localisation', 'movement']",0,localisation,L_Head_X_For,2,robot,3,False,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Head_X_For.mp4,1,,,,,,,,,,,,,0,81,81,81,,,,,,,,,,,,,,,,,,,1726.1282759000023,,,1742.9403921000194,1742.9403921000194,1742.9403921000194,3,1.1471787999907974,1744.1032292000018,1744.1032292000018,1744.1032292000018,1744.1032292000018,1744.1032292000018,1744.1032292000018,1744.1032292000018,1744.1032292000018,None,None,None,,,,,,,,,,,1726.1282759000023,1726.1282759000023,None,,1739.3078666999936,1726.1282759000023,1726.1282759000023,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['R_Head_Y_For', 'R_Torso_Z_Back', 'R_Head_Z_For', 'L_Head_Z_For']","{'laterality': 'L_Head_Z_For', 'localisation': 'R_Torso_Z_Back', 'movement': 'R_Head_Y_For'}","['localisation', 'movement']",1,movement,R_Head_Y_For,2,robot,3,False,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,1,,,,,,,,,,,,,0,82,82,82,,,,,,,,,,,,,,,,,,,1744.1032292000018,,,1760.9790158999967,1760.9790158999967,1760.9790158999967,1,1.7274406000215095,1762.7241327000083,1762.7241327000083,1762.7241327000083,1762.7241327000083,1762.7241327000083,1762.7241327000083,1762.7241327000083,1762.7241327000083,None,None,None,,,1746.1899089000071,,,,,,,,1744.1032292000018,1744.1032292000018,None,,1757.3460484000097,1744.1032292000018,1744.1032292000018,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['R_Head_X_For', 'R_Torso_X_For', 'R_Head_Z_Back', 'L_Head_X_For']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Torso_X_For', 'movement': 'R_Head_Z_Back'}","['localisation', 'movement']",0,localisation,R_Torso_X_For,2,robot,3,False,True,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\R_Torso_X_For.mp4,1,,,,,,,,,,,,,0,83,83,83,,,,,,,,,,,,,,,,,,,1762.7241327000083,,,1779.521922600019,1779.521922600019,1779.521922600019,2,1.6445818000065628,1781.1904451000155,1783.9687022000144,1781.1904451000155,1783.9687022000144,1781.1904451000155,1783.9687022000144,1781.1904451000155,1783.9687022000144,23.518518518518526,2.280243600020185,space,,,1764.8092788000067,2.7545273000141606,,,,,,,1762.7241327000083,1762.7241327000083,None,,1775.953141200007,1762.7241327000083,1762.7241327000083,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
