sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['L_Base_X_Back', 'R_Base_Z_For', 'R_Head_X_For', 'R_Base_X_For']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Head_X_For', 'movement': 'R_Base_Z_For'}","['laterality', 'localisation', 'movement']",0,laterality,L_Base_X_Back,3,robot,4,False,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\L_Base_X_Back.mp4,0,,,,,,,,,,,,,0,112,112,112,,,,,,,,,,,,,,,,,,,2128.264856900001,2130.348519800027,,,2145.013381500001,2145.013381500001,2145.013381500001,3,3.6506619999709073,2148.6814281000115,2148.6814281000115,2148.6814281000115,2148.6814281000115,2148.6814281000115,2148.6814281000115,2148.6814281000115,2148.6814281000115,None,None,None,,,,,,,,,,2128.264856900001,2128.264856900001,None,,,,2128.264856900001,2128.264856900001,2141.4650539000286,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['L_Base_X_For', 'L_Torso_X_Back', 'R_Base_X_For', 'L_Base_Y_Back']","{'laterality': 'R_Base_X_For', 'localisation': 'L_Torso_X_Back', 'movement': 'L_Base_Y_Back'}","['laterality', 'localisation', 'movement']",2,movement,L_Base_Y_Back,3,robot,4,False,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Base_Y_Back.mp4,0,,,,,,,,,,,,,0,113,113,113,,,,,,,,,,,,,,,,,,,2148.6814281000115,2150.7649616000126,,,2165.3135174000054,2165.3135174000054,2165.3135174000054,4,2.3577039999654517,2167.6983866000082,2167.6983866000082,2167.6983866000082,2167.6983866000082,2167.6983866000082,2167.6983866000082,2167.6983866000082,2167.6983866000082,None,None,None,,,,,,,,,,2148.6814281000115,2148.6814281000115,None,,,,2148.6814281000115,2148.6814281000115,2161.7484613000124,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Torso_Z_For', 'L_Torso_Z_Back', 'R_Base_Z_For', 'R_Torso_X_Back']","{'laterality': 'L_Torso_Z_Back', 'localisation': 'R_Base_Z_For', 'movement': 'R_Torso_X_Back'}","['laterality', 'localisation', 'movement']",0,laterality,L_Torso_Z_Back,3,robot,4,False,False,"['robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,0,,,,,,,,,,,,,0,114,114,114,,,,,,,,,,,,,,,,,,,2167.6983866000082,2169.781687200011,,,2184.430152200017,2184.430152200017,2184.430152200017,2,2.328812999970978,2186.7817920000234,2186.7817920000234,2186.7817920000234,2186.7817920000234,2186.7817920000234,2186.7817920000234,2186.7817920000234,2186.7817920000234,None,None,None,,,,,,,,,,2167.6983866000082,2167.6983866000082,None,,,,2167.6983866000082,2167.6983866000082,2180.798351400008,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Base_Y_Back', 'R_Torso_X_Back', 'R_Torso_Y_Back', 'L_Torso_Y_Back']","{'laterality': 'L_Torso_Y_Back', 'localisation': 'R_Base_Y_Back', 'movement': 'R_Torso_X_Back'}","['laterality', 'localisation', 'movement']",1,localisation,R_Base_Y_Back,3,robot,4,False,False,"['robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4']",robot_stimuli\R_Base_Y_Back.mp4,0,,,,,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,,,2186.7817920000234,2188.8817454000236,,,2203.530375500006,2203.530375500006,2203.530375500006,2,1.9331634999834932,2205.4816715000197,2205.4816715000197,2205.4816715000197,2205.4816715000197,2205.4816715000197,2205.4816715000197,2205.4816715000197,2205.4816715000197,None,None,None,,,,,,,,,,2186.7817920000234,2186.7817920000234,None,,,,2186.7817920000234,2186.7817920000234,2200.0317435000034,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['L_Arm_Z_For', 'L_Arm_Y_For', 'R_Arm_Z_Back', 'L_Head_Z_For']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Head_Z_For', 'movement': 'L_Arm_Y_For'}","['laterality', 'localisation', 'movement']",0,laterality,R_Arm_Z_Back,3,robot,4,False,False,"['robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Arm_Z_Back.mp4,0,,,,,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,,,2205.4816715000197,2207.565011300001,,,2222.3465973000275,2222.3465973000275,2222.3465973000275,4,2.748863499960862,2225.1146446000203,2225.1146446000203,2225.1146446000203,2225.1146446000203,2225.1146446000203,2225.1146446000203,2225.1146446000203,2225.1146446000203,None,None,None,,,,,,,,,,2205.4816715000197,2205.4816715000197,None,,,,2205.4816715000197,2205.4816715000197,2218.7149872000155,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_Y_Back', 'L_Arm_Z_Back', 'L_Torso_Y_For', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Torso_Y_For', 'movement': 'L_Arm_Z_Back'}","['laterality', 'localisation', 'movement']",0,laterality,R_Arm_Y_Back,3,robot,4,False,False,"['robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\R_Arm_Y_Back.mp4,0,,,,,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,,,2225.1146446000203,2227.1983147000137,,,2241.980041600007,2241.980041600007,2241.980041600007,1,1.418863999977475,2243.4316515000246,2243.4316515000246,2243.4316515000246,2243.4316515000246,2243.4316515000246,2243.4316515000246,2243.4316515000246,2243.4316515000246,None,None,None,,,,,,,,,,2225.1146446000203,2225.1146446000203,None,,,,2225.1146446000203,2225.1146446000203,2238.348245000001,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Head_X_Back', 'R_Base_Z_For', 'R_Head_Z_Back', 'L_Head_Z_For']","{'laterality': 'L_Head_Z_For', 'localisation': 'R_Base_Z_For', 'movement': 'R_Head_X_Back'}","['laterality', 'localisation', 'movement']",1,localisation,R_Base_Z_For,3,robot,4,False,False,"['robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Base_Z_For.mp4,0,,,,,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,,,2243.4316515000246,2245.5149617000134,,,2260.3301516000065,2260.3301516000065,2260.3301516000065,2,2.685062399978051,2263.0482765000197,2263.0482765000197,2263.0482765000197,2263.0482765000197,2263.0482765000197,2263.0482765000197,2263.0482765000197,2263.0482765000197,None,None,None,,,,,,,,,,2243.4316515000246,2243.4316515000246,None,,,,2243.4316515000246,2243.4316515000246,2256.681606600003,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_X_For', 'R_Arm_Y_Back', 'R_Head_Y_For', 'L_Arm_Y_For']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Head_Y_For', 'movement': 'R_Arm_X_For'}","['laterality', 'localisation', 'movement']",2,movement,R_Arm_X_For,3,robot,4,False,True,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4']",robot_stimuli\R_Arm_X_For.mp4,0,,,,,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,,,2263.0482765000197,2265.131649100018,,,2279.929754600016,2279.929754600016,2279.929754600016,1,2.4787184999731835,2282.4469378000067,2433.1475420000206,2282.4469378000067,2433.1475420000206,2282.4469378000067,2433.1475420000206,2282.4469378000067,2433.1475420000206,58.24074074074074,3.0047166000003926,space,,,150.63217959998292,,,,,,,2263.0482765000197,2263.0482765000197,None,,,,2263.0482765000197,2263.0482765000197,2276.2981738000235,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Base_Y_For', 'L_Base_Z_Back', 'R_Head_Z_For', 'R_Base_Z_For']","{'laterality': 'L_Base_Z_Back', 'localisation': 'R_Head_Z_For', 'movement': 'R_Base_Y_For'}","['localisation', 'movement']",0,localisation,R_Head_Z_For,2,robot,4,True,False,"['robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\R_Head_Z_For.mp4,0,,,,,,,,,,,,,0,120,120,120,,,,,,,,,,,,,,,,,,,2438.76439560001,2440.8480396000086,,,2455.646373100026,2455.646373100026,2455.646373100026,3,4.9693789999582805,2460.647558800003,2460.647558800003,2460.647558800003,2460.647558800003,2460.647558800003,2460.647558800003,2460.647558800003,2460.647558800003,None,None,None,,,,,,,,,,2433.1475420000206,2433.1475420000206,space,5.596952099993359,,,,,2452.014700300002,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_Y_For', 'L_Arm_Y_For', 'R_Torso_Y_For', 'R_Arm_Z_Back']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Torso_Y_For', 'movement': 'R_Arm_Z_Back'}","['localisation', 'movement']",0,localisation,R_Torso_Y_For,2,robot,4,False,False,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4']",robot_stimuli\R_Torso_Y_For.mp4,0,,,,,,,,,,,,,0,121,121,121,,,,,,,,,,,,,,,,,,,2460.647558800003,2462.731314100005,,,2477.379912000004,2477.379912000004,2477.379912000004,3,1.443637599964859,2478.847461600002,2478.847461600002,2478.847461600002,2478.847461600002,2478.847461600002,2478.847461600002,2478.847461600002,2478.847461600002,None,None,None,,,,,,,,,,2460.647558800003,2460.647558800003,None,,,,2460.647558800003,2460.647558800003,2473.731210400001,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
