sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.632950100000016,6.632950100000016,f,2.8493334999948274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.500757000001613,9.500757000001613,space,0.44663709998712875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_left_R_45', 'blue_bottom_M_45', 'red_bottom_K_45', 'blue_bottom_J_0']","{'color': 'red_bottom_K_45', 'position': 'blue_left_R_45', 'orientation': 'blue_bottom_J_0'}",['color'],0,color,red_bottom_K_45,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.982969000004232,9.982969000004232,space,4.187752199970419,14.201233500003582,15.201201200019568,15.201201200019568,17.283407200011425,23.766385900002206,25.9827916000213,25.9827916000213,25.9827916000213,25.9827916000213,3,0.5071343999588862,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_right_P_0', 'blue_right_C_45', 'red_right_V_45', 'red_top_H_45']","{'color': 'blue_right_C_45', 'position': 'red_top_H_45', 'orientation': 'red_right_P_0'}",['orientation'],0,orientation,red_right_P_0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,26.60908890000428,26.60908890000428,None,,26.60908890000428,,27.617925100028515,,36.14980060001835,38.36636980000185,38.36636980000185,38.36636980000185,38.36636980000185,1,0.44361129999742843,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,None,None,None,26.60908890000428,26.60908890000428,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_left_J_0', 'red_top_F_0', 'blue_top_K_0', 'blue_top_Q_45']","{'color': 'red_top_F_0', 'position': 'blue_left_J_0', 'orientation': 'blue_top_Q_45'}",['position'],0,position,blue_left_J_0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,38.83420950002619,38.83420950002619,None,,38.83420950002619,39.83423630002653,39.83423630002653,41.90005940000992,48.567437400022754,50.58288650002214,50.58288650002214,50.58288650002214,50.58288650002214,1,0.42020069996942766,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,13.487654320987652,3.155215999984648,space,38.83420950002619,38.83420950002619,3.8888270999887027,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_bottom_G_0', 'blue_bottom_V_45', 'red_right_N_45', 'red_bottom_Q_45']","{'color': 'blue_bottom_V_45', 'position': 'red_right_N_45', 'orientation': 'red_bottom_G_0'}","['color', 'position']",0,color,blue_bottom_V_45,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,55.01788470000611,55.01788470000611,space,0.8018947999808006,55.85126360002323,56.85123300002306,56.85123300002306,58.91645400002017,65.38286990000051,67.5996487000084,67.5996487000084,67.5996487000084,67.5996487000084,2,1.8348336999770254,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_bottom_Q_0', 'blue_left_B_45', 'blue_left_W_0', 'red_left_V_0']","{'color': 'red_left_V_0', 'position': 'blue_bottom_Q_0', 'orientation': 'blue_left_B_45'}","['position', 'orientation']",0,position,blue_bottom_Q_0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,69.4675446000183,69.4675446000183,None,,69.4675446000183,70.46754750001128,70.46754750001128,72.53329510000185,78.98341300000902,81.0162589000247,81.0162589000247,81.0162589000247,81.0162589000247,2,2.1619630999630317,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,None,None,None,69.4675446000183,69.4675446000183,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_bottom_X_0', 'red_right_Z_45', 'blue_bottom_C_45', 'red_bottom_L_45']","{'color': 'blue_bottom_C_45', 'position': 'red_right_Z_45', 'orientation': 'red_bottom_X_0'}","['color', 'orientation']",0,color,blue_bottom_C_45,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,83.2011398000177,83.2011398000177,None,,83.2011398000177,84.20125250000274,84.20125250000274,86.2670203000016,92.73272130000987,94.94956380000804,94.94956380000804,94.94956380000804,94.94956380000804,3,2.7741489999752957,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,29.074074074074073,2.6049904000246897,space,83.2011398000177,83.2011398000177,3.2679645999742206,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_right_Q_0', 'red_right_V_45', 'blue_right_S_45', 'red_bottom_B_45']","{'color': 'blue_right_S_45', 'position': 'red_bottom_B_45', 'orientation': 'red_right_Q_0'}","['color', 'position', 'orientation']",0,color,blue_right_S_45,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,101.11734380002599,101.11734380002599,space,2.926070299989078,104.0674849000061,105.0675056000182,105.0675056000182,107.1327248000016,113.98276940002688,116.19966940002632,116.19966940002632,116.19966940002632,116.19966940002632,2,3.5550266999925952,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_right_R_45', 'blue_left_P_0', 'red_right_G_0', 'blue_right_F_0']","{'color': 'red_right_G_0', 'position': 'blue_left_P_0', 'orientation': 'blue_right_R_45'}","['color', 'position', 'orientation']",1,position,blue_left_P_0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,119.78438530000858,119.78438530000858,None,,119.78438530000858,120.78440290002618,120.78440290002618,122.84941980001167,129.48342770000454,131.4995956000057,131.4995956000057,131.4995956000057,131.4995956000057,2,3.2154202999954578,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,None,None,None,119.78438530000858,119.78438530000858,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_left_X_45', 'red_left_R_0', 'blue_right_B_0', 'blue_left_G_0']","{'color': 'red_left_R_0', 'position': 'blue_right_B_0', 'orientation': 'blue_left_X_45'}","['color', 'position', 'orientation']",2,orientation,blue_left_X_45,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,134.7340925000026,134.7340925000026,None,,134.7340925000026,135.73409020001418,135.73409020001418,137.7993272000167,144.44932450001943,146.66592290002154,146.66592290002154,146.66592290002154,146.66592290002154,3,2.2405977999733295,148.94959850001032,152.96716050000396,148.94959850001032,152.96716050000396,148.94959850001032,152.96716050000396,148.94959850001032,152.96716050000396,48.98148148148148,3.40472900000168,space,134.7340925000026,134.7340925000026,3.95805079996353,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_X_For', 'R_Arm_Y_For', 'R_Head_X_Back', 'L_Arm_X_Back']","{'laterality': 'L_Arm_X_Back', 'localisation': 'R_Head_X_Back', 'movement': 'R_Arm_Y_For'}",['movement'],0,movement,R_Arm_Y_For,1,robot,2,True,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4']",robot_stimuli\R_Arm_Y_For.mp4,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,152.96716050000396,152.96716050000396,space,2.5949618999729864,155.58408080000663,156.58400160001474,156.58400160001474,158.68439870001748,,,173.38279070000863,173.38279070000863,173.38279070000863,2,0.4838700999680441,173.88406100001885,173.88406100001885,173.88406100001885,173.88406100001885,173.88406100001885,173.88406100001885,173.88406100001885,173.88406100001885,None,None,None,,,,169.73440300000948,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['L_Arm_Y_Back', 'R_Arm_Z_Back', 'L_Torso_Z_Back', 'L_Arm_Z_For']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Torso_Z_Back', 'movement': 'L_Arm_Y_Back'}",['laterality'],0,laterality,R_Arm_Z_Back,1,robot,2,False,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4']",robot_stimuli\R_Arm_Z_Back.mp4,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,173.88406100001885,173.88406100001885,None,,173.88406100001885,174.88409410000895,174.88409410000895,176.9844583000231,,,191.66591230002814,191.66591230002814,191.66591230002814,2,0.6167209999694023,192.30074230002356,192.30074230002356,192.30074230002356,192.30074230002356,192.30074230002356,192.30074230002356,192.30074230002356,192.30074230002356,None,None,None,173.88406100001885,173.88406100001885,,188.0177701000066,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_Y_For', 'R_Base_X_For', 'L_Arm_X_For', 'R_Arm_X_For']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Base_X_For', 'movement': 'R_Arm_Y_For'}",['localisation'],0,localisation,R_Base_X_For,1,robot,2,False,True,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\R_Base_X_For.mp4,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,192.30074230002356,192.30074230002356,None,,192.30074230002356,193.30066650002846,193.30066650002846,195.38441750002676,,,209.9493388000119,209.9493388000119,209.9493388000119,2,0.4451462999568321,210.43290950002847,213.6174863000051,210.43290950002847,213.6174863000051,210.43290950002847,213.6174863000051,210.43290950002847,213.6174863000051,25.061728395061728,2.538063799991505,space,192.30074230002356,192.30074230002356,3.1132251999806613,206.31770800001686,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Arm_X_For', 'R_Head_X_Back', 'L_Arm_X_For', 'R_Arm_Y_Back']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Head_X_Back', 'movement': 'R_Arm_Y_Back'}","['laterality', 'localisation']",0,laterality,L_Arm_X_For,2,robot,2,True,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_X_For.mp4,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,213.6174863000051,213.6174863000051,space,0.8255356999870855,214.46728030001395,215.46732670001802,215.46732670001802,217.55100720000337,,,232.39924690002226,232.39924690002226,232.39924690002226,1,3.4506880999542773,235.8673663000227,235.8673663000227,235.8673663000227,235.8673663000227,235.8673663000227,235.8673663000227,235.8673663000227,235.8673663000227,None,None,None,,,,228.75100430002203,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['L_Base_Z_For', 'R_Base_Z_Back', 'L_Base_Y_For', 'L_Head_Z_Back']","{'laterality': 'R_Base_Z_Back', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Base_Y_For'}","['laterality', 'movement']",0,laterality,R_Base_Z_Back,2,robot,2,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\R_Base_Z_Back.mp4,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,235.8673663000227,235.8673663000227,None,,235.8673663000227,236.8672923000122,236.8672923000122,238.95096250000643,,,253.53256760002114,253.53256760002114,253.53256760002114,2,3.0374478999874555,256.6006106000277,256.6006106000277,256.6006106000277,256.6006106000277,256.6006106000277,256.6006106000277,256.6006106000277,256.6006106000277,None,None,None,235.8673663000227,235.8673663000227,,249.90074800001457,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Torso_Y_Back', 'L_Torso_Z_Back', 'R_Torso_Z_Back', 'R_Arm_Z_For']","{'laterality': 'L_Torso_Z_Back', 'localisation': 'R_Arm_Z_For', 'movement': 'R_Torso_Y_Back'}","['localisation', 'movement']",0,localisation,R_Arm_Z_For,2,robot,2,False,True,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4']",robot_stimuli\R_Arm_Z_For.mp4,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,256.6006106000277,256.6006106000277,None,,256.6006106000277,257.6006231000065,257.6006231000065,259.68441020001774,,,274.3325754000107,274.3325754000107,274.3325754000107,4,5.565403999964474,279.93272590002744,283.61703990001115,279.93272590002744,283.61703990001115,279.93272590002744,283.61703990001115,279.93272590002744,283.61703990001115,40.80246913580247,3.038337000005413,space,256.6006106000277,256.6006106000277,3.6131458999880124,270.70089150001877,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Head_Z_Back', 'R_Head_Y_For', 'L_Head_Y_Back', 'R_Torso_Y_For']","{'laterality': 'L_Head_Y_Back', 'localisation': 'R_Torso_Y_For', 'movement': 'R_Head_Z_Back'}","['laterality', 'localisation', 'movement']",2,movement,R_Head_Z_Back,3,robot,2,True,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4']",robot_stimuli\R_Head_Z_Back.mp4,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,283.61703990001115,283.61703990001115,space,0.7302878999907989,284.366806200007,285.36677520000376,285.36677520000376,287.4503261000209,,,302.2657816000283,302.2657816000283,302.2657816000283,1,3.745097899954999,306.0338272000081,306.0338272000081,306.0338272000081,306.0338272000081,306.0338272000081,306.0338272000081,306.0338272000081,306.0338272000081,None,None,None,,,,298.6342622000084,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['R_Torso_Y_Back', 'R_Torso_Z_Back', 'L_Torso_Z_For', 'R_Head_Z_Back']","{'laterality': 'L_Torso_Z_For', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Torso_Y_Back'}","['laterality', 'localisation', 'movement']",1,localisation,R_Head_Z_Back,3,robot,2,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\R_Head_Z_Back.mp4,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,306.0338272000081,306.0338272000081,None,,306.0338272000081,307.033849200001,307.033849200001,309.11761250000563,,,323.8992457000131,323.8992457000131,323.8992457000131,2,3.4709447999484837,327.40063790002023,327.40063790002023,327.40063790002023,327.40063790002023,327.40063790002023,327.40063790002023,327.40063790002023,327.40063790002023,None,None,None,306.0338272000081,306.0338272000081,,320.2676161000272,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['L_Torso_Z_For', 'R_Torso_X_For', 'R_Torso_Z_For', 'R_Arm_Z_Back']","{'laterality': 'L_Torso_Z_For', 'localisation': 'R_Arm_Z_Back', 'movement': 'R_Torso_X_For'}","['laterality', 'localisation', 'movement']",0,laterality,L_Torso_Z_For,3,robot,2,False,True,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4']",robot_stimuli\L_Torso_Z_For.mp4,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,327.40063790002023,327.40063790002023,None,,327.40063790002023,328.400531900028,328.400531900028,330.48442640001304,,,345.2657484000083,345.2657484000083,345.2657484000083,2,2.3602800999651663,347.666034200025,350.78385840001283,347.666034200025,350.78385840001283,347.666034200025,350.78385840001283,347.666034200025,350.78385840001283,60.092592592592595,2.305367799999658,space,327.40063790002023,327.40063790002023,3.064191799989203,341.63416660000803,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.78385840001283,350.78385840001283,350.78385840001283,c,1.1950895999907516,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_top_Q_0', 'red_top_W_45', 'blue_top_M_45', 'blue_right_V_45']","{'color': 'red_top_W_45', 'position': 'blue_right_V_45', 'orientation': 'blue_top_Q_0'}","['color', 'position', 'orientation']",1,position,blue_right_V_45,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,354.91708870002185,356.96658070001286,,,365.4158972000005,365.4158972000005,365.4158972000005,4,2.6424746999691706,368.08378400001675,368.08378400001675,368.08378400001675,368.08378400001675,368.08378400001675,368.08378400001675,368.08378400001675,368.08378400001675,None,None,None,,,,,,,,,,352.01589650000096,352.01589650000096,space,2.874671799974749,363.3989767000021,365.4158972000005,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_left_H_45', 'red_bottom_N_0', 'red_left_T_0', 'blue_left_P_0']","{'color': 'blue_left_P_0', 'position': 'red_bottom_N_0', 'orientation': 'red_left_H_45'}","['color', 'position', 'orientation']",0,color,blue_left_P_0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,368.08378400001675,370.14967880002223,,,378.9824526000011,378.9824526000011,378.9824526000011,4,1.5247513999929652,380.5341958000208,380.5341958000208,380.5341958000208,380.5341958000208,380.5341958000208,380.5341958000208,380.5341958000208,380.5341958000208,None,None,None,,,,,,,,,,368.08378400001675,368.08378400001675,None,,376.9666530000104,378.9824526000011,368.08378400001675,368.08378400001675,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_bottom_B_45', 'blue_left_X_0', 'blue_bottom_K_0', 'red_bottom_K_0']","{'color': 'red_bottom_K_0', 'position': 'blue_left_X_0', 'orientation': 'blue_bottom_B_45'}","['color', 'position', 'orientation']",2,orientation,blue_bottom_B_45,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,380.5341958000208,382.59907140000723,,,391.2325980000023,391.2325980000023,391.2325980000023,2,2.5386683999968227,393.8004974000214,393.8004974000214,393.8004974000214,393.8004974000214,393.8004974000214,393.8004974000214,393.8004974000214,393.8004974000214,None,None,None,,,,,,,,,,380.5341958000208,380.5341958000208,None,,389.2167376000143,391.2325980000023,380.5341958000208,380.5341958000208,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_left_G_0', 'red_top_K_45', 'red_top_H_0', 'blue_top_D_0']","{'color': 'blue_top_D_0', 'position': 'red_left_G_0', 'orientation': 'red_top_K_45'}","['color', 'position', 'orientation']",2,orientation,red_top_K_45,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,393.8004974000214,395.86573020002106,,,404.89930509999976,404.89930509999976,404.89930509999976,2,2.9020657999499235,407.8337803000177,407.8337803000177,407.8337803000177,407.8337803000177,407.8337803000177,407.8337803000177,407.8337803000177,407.8337803000177,None,None,None,,,,,,,,,,393.8004974000214,393.8004974000214,None,,402.68231530001503,404.89930509999976,393.8004974000214,393.8004974000214,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_right_S_0', 'blue_right_D_0', 'blue_right_J_45', 'blue_top_T_0']","{'color': 'red_right_S_0', 'position': 'blue_top_T_0', 'orientation': 'blue_right_J_45'}","['color', 'position', 'orientation']",0,color,red_right_S_0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,407.8337803000177,409.89887180001824,,,418.53245940001216,418.53245940001216,418.53245940001216,2,1.6533412999706343,420.2174827000126,420.2174827000126,420.2174827000126,420.2174827000126,420.2174827000126,420.2174827000126,420.2174827000126,420.2174827000126,None,None,None,,,,,,,,,,407.8337803000177,407.8337803000177,None,,416.5163041000196,418.53245940001216,407.8337803000177,407.8337803000177,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
