sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"['blue_top_B_45', 'red_right_Q_45', 'red_top_P_45', 'red_top_M_0']","{'color': 'blue_top_B_45', 'position': 'red_right_Q_45', 'orientation': 'red_top_M_0'}",position,"['color', 'orientation', 'position']",red_right_Q_45,1,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,203.32583149988204,203.32583149988204,None,,203.32583149988204,204.32781949965283,212.660959799774,214.68152379989624,214.68152379989624,214.68152379989624,214.68152379989624,4,0.41018740041181445,215.14917630003765,220.87705860007554,215.14917630003765,220.87705860007554,215.14917630003765,220.87705860007554,215.14917630003765,220.87705860007554,24.84126984126984,4.535216699820012,space,203.32583149988204,203.32583149988204,204.32781949965283,206.39853509981185,5.6539489002898335,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Head_Y_For', 'L_Base_Y_Back', 'L_Head_X_For', 'L_Head_Y_For']","{'laterality': 'R_Head_Y_For', 'localisation': 'L_Base_Y_Back', 'movement': 'L_Head_X_For'}",laterality,['laterality'],R_Head_Y_For,0,1,robot,1,True,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,17,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,220.87705860007554,220.87705860007554,space,4.533491900190711,225.43601810000837,226.43799280002713,,,243.20513379992917,243.20513379992917,243.20513379992917,2,3.5015168003737926,246.7279318999499,246.7279318999499,246.7279318999499,246.7279318999499,246.7279318999499,246.7279318999499,246.7279318999499,246.7279318999499,None,None,None,,,,,,239.54725810000673,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_Y_For', 'L_Base_Y_For', 'L_Head_Z_For', 'R_Head_Y_Back']","{'laterality': 'R_Head_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Head_Z_For'}",movement,['movement'],L_Head_Z_For,2,1,robot,1,False,False,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4']",robot_stimuli\L_Head_Z_For.mp4,17,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,246.7279318999499,246.7279318999499,None,,246.7279318999499,247.72991069965065,,,264.56303049996495,264.56303049996495,264.56303049996495,2,0.5119446003809571,265.0974268000573,265.0974268000573,265.0974268000573,265.0974268000573,265.0974268000573,265.0974268000573,265.0974268000573,265.0974268000573,None,None,None,246.7279318999499,246.7279318999499,247.72991069965065,249.83401170000434,,260.9225149000995,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_Y_For', 'L_Arm_Z_For', 'L_Arm_Y_For', 'R_Arm_Y_Back']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Head_Y_For', 'movement': 'L_Arm_Z_For'}",localisation,['localisation'],L_Head_Y_For,0,1,robot,1,False,True,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,17,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,265.0974268000573,265.0974268000573,None,,265.0974268000573,266.09938160004094,,,282.99932299973443,282.99932299973443,282.99932299973443,1,0.49942060001194477,283.5503968996927,286.38933230005205,283.5503968996927,286.38933230005205,283.5503968996927,286.38933230005205,283.5503968996927,286.38933230005205,9.920634920634924,2.314840199891478,space,265.0974268000573,265.0974268000573,266.09938160004094,268.1868682000786,2.7646490004844964,279.35883049992844,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Y_For', 'L_Arm_Z_For', 'R_Arm_Z_For', 'L_Torso_Z_Back']","{'laterality': 'R_Arm_Z_For', 'localisation': 'L_Torso_Z_Back', 'movement': 'L_Arm_Y_For'}",localisation,"['laterality', 'localisation']",L_Torso_Z_Back,3,2,robot,1,True,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,17,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,286.38933230005205,286.38933230005205,space,1.9572815001010895,288.37656409991905,289.37854130007327,,,306.1448963996954,306.1448963996954,306.1448963996954,1,0.3693534005433321,306.5456210998818,306.5456210998818,306.5456210998818,306.5456210998818,306.5456210998818,306.5456210998818,306.5456210998818,306.5456210998818,None,None,None,,,,,,302.63795859972015,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Arm_Y_Back', 'L_Arm_X_For', 'L_Arm_Y_Back', 'L_Base_Y_For']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Arm_X_For'}",movement,"['laterality', 'movement']",L_Arm_X_For,1,2,robot,1,False,False,"['robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\L_Arm_X_For.mp4,17,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,306.5456210998818,306.5456210998818,None,,306.5456210998818,307.54765099985525,,,324.3473720001057,324.3473720001057,324.3473720001057,3,3.6478512003086507,328.021329799667,328.021329799667,328.021329799667,328.021329799667,328.021329799667,328.021329799667,328.021329799667,328.021329799667,None,None,None,306.5456210998818,306.5456210998818,307.54765099985525,309.63510400010273,,320.8070616000332,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Head_Z_For', 'L_Torso_Z_Back', 'L_Head_Z_Back', 'L_Head_X_Back']","{'laterality': 'R_Head_Z_For', 'localisation': 'L_Torso_Z_Back', 'movement': 'L_Head_X_Back'}",laterality,"['laterality', 'localisation']",R_Head_Z_For,0,2,robot,1,False,True,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\R_Head_Z_For.mp4,17,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,328.021329799667,328.021329799667,None,,328.021329799667,329.02322719991207,,,345.78959609987214,345.78959609987214,345.78959609987214,4,2.4374558003619313,348.27782649965957,352.3859227998182,348.27782649965957,352.3859227998182,348.27782649965957,352.3859227998182,348.27782649965957,352.3859227998182,38.01587301587302,3.115965799894184,space,328.021329799667,328.021329799667,329.02322719991207,331.1106523000635,4.0372409000992775,342.14907489996403,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_X_For', 'R_Head_X_For', 'R_Head_Z_For', 'R_Torso_X_Back']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Torso_X_Back', 'movement': 'R_Head_Z_For'}",localisation,"['laterality', 'localisation', 'movement']",R_Torso_X_Back,3,3,robot,1,True,False,"['robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\R_Torso_X_Back.mp4,17,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,352.3859227998182,352.3859227998182,space,1.1847885004244745,353.5882383999415,354.5902704996988,,,371.42336709983647,371.42336709983647,371.42336709983647,4,1.3392701004631817,372.79269739985466,372.79269739985466,372.79269739985466,372.79269739985466,372.79269739985466,372.79269739985466,372.79269739985466,372.79269739985466,None,None,None,,,,,,367.76619049999863,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_X_Back', 'L_Base_Z_Back', 'R_Base_X_For', 'L_Base_X_For']","{'laterality': 'R_Base_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Base_Z_Back'}",movement,"['laterality', 'localisation', 'movement']",L_Base_Z_Back,1,3,robot,1,False,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Base_Z_Back.mp4,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,372.79269739985466,372.79269739985466,None,,372.79269739985466,373.7947277999483,,,390.51096080010757,390.51096080010757,390.51096080010757,1,0.6362416003830731,391.17891969997436,391.17891969997436,391.17891969997436,391.17891969997436,391.17891969997436,391.17891969997436,391.17891969997436,391.17891969997436,None,None,None,372.79269739985466,372.79269739985466,373.7947277999483,375.88213159982115,,386.95396240008995,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Arm_Z_For', 'L_Arm_Z_Back', 'R_Head_Z_Back', 'R_Arm_X_For']","{'laterality': 'L_Arm_Z_Back', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Arm_X_For'}",laterality,"['laterality', 'localisation', 'movement']",L_Arm_Z_Back,1,3,robot,1,False,True,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\L_Arm_Z_Back.mp4,17,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,391.17891969997436,391.17891969997436,None,,391.17891969997436,392.1808933997527,,,409.0641016997397,409.0641016997397,409.0641016997397,3,1.386886200401932,410.5169883999042,413.5729987998493,410.5169883999042,413.5729987998493,410.5169883999042,413.5729987998493,410.5169883999042,413.5729987998493,24.20634920634921,2.666559999808669,space,391.17891969997436,391.17891969997436,392.1808933997527,394.26831740001217,2.97386800032109,405.4403531998396,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.5729987998493,413.5729987998493,413.5729987998493,c,23.693435200024396,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Z_For', 'R_Arm_Z_Back', 'R_Head_Z_Back', 'R_Arm_Y_For']","{'laterality': 'L_Arm_Z_For', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Arm_Y_For'}",laterality,"['laterality', 'movement']",L_Arm_Z_For,0,2,robot,1,True,False,"['robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\L_Arm_Z_For.mp4,17,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,439.5074085998349,,,456.2737393998541,456.2737393998541,456.2737393998541,4,4.106346200685948,460.39849799964577,460.39849799964577,460.39849799964577,460.39849799964577,460.39849799964577,460.39849799964577,460.39849799964577,460.39849799964577,None,None,None,,,,,,,,,,,,437.3197623998858,437.3197623998858,space,2.155711800325662,452.7501008999534,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Base_Z_For', 'R_Torso_Z_Back', 'L_Torso_Y_For', 'L_Torso_Z_Back']","{'laterality': 'R_Torso_Z_Back', 'localisation': 'L_Base_Z_For', 'movement': 'L_Torso_Y_For'}",movement,"['laterality', 'movement']",L_Torso_Y_For,2,2,robot,1,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Torso_Y_For.mp4,17,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,460.39849799964577,,,477.1648634998128,477.1648634998128,477.1648634998128,3,0.8857145002111793,478.08335090009496,478.08335090009496,478.08335090009496,478.08335090009496,478.08335090009496,478.08335090009496,478.08335090009496,478.08335090009496,None,None,None,,,,462.4859786001034,,,,,,,,460.39849799964577,460.39849799964577,None,,473.65794699965045,460.39849799964577,460.39849799964577,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Y_Back', 'L_Base_X_Back', 'L_Base_Y_Back', 'R_Base_Y_For']","{'laterality': 'R_Base_Y_For', 'localisation': 'L_Arm_Y_Back', 'movement': 'L_Base_X_Back'}",laterality,"['laterality', 'localisation']",R_Base_Y_For,3,2,robot,1,False,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,17,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,478.08335090009496,,,494.8665550998412,494.8665550998412,494.8665550998412,2,0.4083261005580425,495.30056109977886,495.30056109977886,495.30056109977886,495.30056109977886,495.30056109977886,495.30056109977886,495.30056109977886,495.30056109977886,None,None,None,,,,480.17075969977304,,,,,,,,478.08335090009496,478.08335090009496,None,,491.22641559969634,478.08335090009496,478.08335090009496,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Base_X_For', 'L_Head_X_Back', 'R_Head_Z_Back', 'R_Head_X_Back']","{'laterality': 'L_Head_X_Back', 'localisation': 'R_Base_X_For', 'movement': 'R_Head_Z_Back'}",laterality,"['laterality', 'movement']",L_Head_X_Back,1,2,robot,1,False,False,"['robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Head_X_Back.mp4,17,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,495.30056109977886,,,512.0836232998408,512.0836232998408,512.0836232998408,3,0.9185839002020657,513.0187777997926,513.0187777997926,513.0187777997926,513.0187777997926,513.0187777997926,513.0187777997926,513.0187777997926,513.0187777997926,None,None,None,,,,497.3880091998726,,,,,,,,495.30056109977886,495.30056109977886,None,,508.44307509995997,495.30056109977886,495.30056109977886,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Head_Z_For', 'L_Head_Z_Back', 'L_Torso_Z_Back', 'L_Head_Y_Back']","{'laterality': 'R_Head_Z_For', 'localisation': 'L_Torso_Z_Back', 'movement': 'L_Head_Y_Back'}",localisation,"['localisation', 'movement']",L_Torso_Z_Back,2,2,robot,1,False,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,17,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,513.0187777997926,,,529.7683830996975,529.7683830996975,529.7683830996975,3,1.4988456005230546,531.2880409997888,531.2880409997888,531.2880409997888,531.2880409997888,531.2880409997888,531.2880409997888,531.2880409997888,531.2880409997888,None,None,None,,,,515.106202099938,,,,,,,,513.0187777997926,513.0187777997926,None,,526.1279257000424,513.0187777997926,513.0187777997926,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Y_For', 'L_Arm_Z_For', 'L_Torso_Y_Back', 'R_Arm_Y_Back']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Torso_Y_Back', 'movement': 'L_Arm_Z_For'}",localisation,"['localisation', 'movement']",L_Torso_Y_Back,2,2,robot,1,False,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,17,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,531.2880409997888,,,548.0543589997105,548.0543589997105,548.0543589997105,3,1.2363698002882302,549.3235778999515,549.3235778999515,549.3235778999515,549.3235778999515,549.3235778999515,549.3235778999515,549.3235778999515,549.3235778999515,None,None,None,,,,533.3754762997851,,,,,,,,531.2880409997888,531.2880409997888,None,,544.3971786000766,531.2880409997888,531.2880409997888,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_Y_For', 'R_Head_Y_For', 'R_Head_Z_Back', 'R_Arm_Y_Back']","{'laterality': 'L_Head_Y_For', 'localisation': 'R_Arm_Y_Back', 'movement': 'R_Head_Z_Back'}",movement,"['laterality', 'movement']",R_Head_Z_Back,2,2,robot,1,False,False,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\R_Head_Z_Back.mp4,17,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,549.3235778999515,,,566.2401902996935,566.2401902996935,566.2401902996935,3,2.682472700253129,568.9455082998611,568.9455082998611,568.9455082998611,568.9455082998611,568.9455082998611,568.9455082998611,568.9455082998611,568.9455082998611,None,None,None,,,,551.4110359000042,,,,,,,,549.3235778999515,549.3235778999515,None,,562.5996698997915,549.3235778999515,549.3235778999515,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Torso_X_Back', 'R_Torso_X_For', 'R_Torso_Z_For', 'R_Head_X_Back']","{'laterality': 'L_Torso_X_Back', 'localisation': 'R_Head_X_Back', 'movement': 'R_Torso_Z_For'}",movement,"['laterality', 'movement']",R_Torso_Z_For,2,2,robot,1,False,False,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\R_Torso_Z_For.mp4,17,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,568.9455082998611,,,585.8454247997142,585.8454247997142,585.8454247997142,3,1.6534598004072905,587.5153958997689,587.5153958997689,587.5153958997689,587.5153958997689,587.5153958997689,587.5153958997689,587.5153958997689,587.5153958997689,None,None,None,,,,571.0329828998074,,,,,,,,568.9455082998611,568.9455082998611,None,,582.2050135000609,568.9455082998611,568.9455082998611,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Base_Z_For', 'L_Head_Z_Back', 'L_Base_Y_Back', 'R_Base_Z_Back']","{'laterality': 'R_Base_Z_Back', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Base_Y_Back'}",localisation,"['laterality', 'localisation']",L_Head_Z_Back,1,2,robot,1,False,True,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,17,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,587.5153958997689,,,604.2316505000927,604.2316505000927,604.2316505000927,2,1.0428650001995265,605.3338254000992,608.3063162998296,605.3338254000992,608.3063162998296,605.3338254000992,608.3063162998296,605.3338254000992,608.3063162998296,25.000000000000004,2.5149713000282645,space,,,,589.6028575999662,2.9163996004499495,,,,,,,587.5153958997689,587.5153958997689,None,,600.691340399906,587.5153958997689,587.5153958997689,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['R_Base_X_For', 'R_Base_Z_For', 'R_Arm_X_Back', 'L_Base_X_Back']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Arm_X_Back', 'movement': 'R_Base_Z_For'}",localisation,"['laterality', 'localisation', 'movement']",R_Arm_X_Back,2,3,robot,1,True,False,"['robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4']",robot_stimuli\R_Arm_X_Back.mp4,17,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,608.9242106997408,,,625.690518300049,625.690518300049,625.690518300049,3,3.9366922001354396,629.6483203000389,629.6483203000389,629.6483203000389,629.6483203000389,629.6483203000389,629.6483203000389,629.6483203000389,629.6483203000389,None,None,None,,,,,,,,,,,,608.3063162998296,608.3063162998296,space,0.6000654003582895,622.0835241000168,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Z_Back', 'L_Arm_Y_Back', 'R_Arm_Z_Back', 'L_Torso_Z_For']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Torso_Z_For', 'movement': 'L_Arm_Y_Back'}",localisation,"['laterality', 'localisation', 'movement']",L_Torso_Z_For,3,3,robot,1,False,False,"['robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\L_Torso_Z_For.mp4,17,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,629.6483203000389,,,646.5316180000082,646.5316180000082,646.5316180000082,3,5.559011000208557,652.1092316997238,652.1092316997238,652.1092316997238,652.1092316997238,652.1092316997238,652.1092316997238,652.1092316997238,652.1092316997238,None,None,None,,,,631.7358602997847,,,,,,,,629.6483203000389,629.6483203000389,None,,642.8911119997501,629.6483203000389,629.6483203000389,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Head_X_For', 'R_Head_X_Back', 'R_Head_Y_Back', 'R_Base_X_Back']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Base_X_Back', 'movement': 'R_Head_Y_Back'}",localisation,"['laterality', 'localisation', 'movement']",R_Base_X_Back,3,3,robot,1,False,False,"['robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Base_X_Back.mp4']",robot_stimuli\R_Base_X_Back.mp4,17,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,652.1092316997238,,,668.9256484000944,668.9256484000944,668.9256484000944,4,1.7810717006213963,670.7292114999145,670.7292114999145,670.7292114999145,670.7292114999145,670.7292114999145,670.7292114999145,670.7292114999145,670.7292114999145,None,None,None,,,,654.19670329988,,,,,,,,652.1092316997238,652.1092316997238,None,,665.2851531999186,652.1092316997238,652.1092316997238,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['L_Arm_Y_Back', 'L_Torso_Y_Back', 'L_Torso_X_For', 'R_Torso_Y_Back']","{'laterality': 'R_Torso_Y_Back', 'localisation': 'L_Arm_Y_Back', 'movement': 'L_Torso_X_For'}",laterality,"['laterality', 'localisation', 'movement']",R_Torso_Y_Back,3,3,robot,1,False,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4']",robot_stimuli\R_Torso_Y_Back.mp4,17,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,670.7292114999145,,,687.4792160997167,687.4792160997167,687.4792160997167,3,1.098945100326091,688.59771370003,688.59771370003,688.59771370003,688.59771370003,688.59771370003,688.59771370003,688.59771370003,688.59771370003,None,None,None,,,,672.816667499952,,,,,,,,670.7292114999145,670.7292114999145,None,,683.8383692000061,670.7292114999145,670.7292114999145,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
