sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16043940000054,16.16043940000054,e,0.7487757999988389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.974120000000767,16.974120000000767,space,110.62247749999733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['D', 'X']",False,G,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,127.63524540000071,127.63524540000071,space,3.9687264999975014,137.32456490000004,138.4105709000014,135.30224180000005,137.32456490000004,138.4105709000014,138.4105709000014,138.4105709000014,138.4105709000014,n,4.633766199998718,143.24348790000113,143.24348790000113,143.24348790000113,143.24348790000113,143.24348790000113,143.24348790000113,143.24348790000113,143.24348790000113,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['S', 'V']",True,S,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,143.24348790000113,143.24348790000113,None,,148.64484620000076,,146.42973070000153,148.64484620000076,149.72187699999995,149.72187699999995,149.72187699999995,149.72187699999995,c,1.771287099998517,151.55783210000118,151.55783210000118,151.55783210000118,151.55783210000118,151.55783210000118,151.55783210000118,151.55783210000118,151.55783210000118,None,None,None,143.24348790000113,143.24348790000113,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['T', 'Z']",True,Z,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,151.55783210000118,151.55783210000118,None,,156.75330720000056,157.82329370000116,154.73817250000138,156.75330720000056,157.82329370000116,157.82329370000116,157.82329370000116,157.82329370000116,c,1.5100215999991633,159.5114291000009,175.0969829000005,159.5114291000009,175.0969829000005,159.5114291000009,175.0969829000005,159.5114291000009,175.0969829000005,25.370370370370367,14.875226099999054,space,151.55783210000118,151.55783210000118,15.532779499999378,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['N', 'P', 'B', 'S']",True,N,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,175.0969829000005,175.0969829000005,space,2.7562512999993487,187.88146770000094,188.95730189999995,185.6599470000001,187.88146770000094,188.95730189999995,188.95730189999995,188.95730189999995,188.95730189999995,c,1.6721324999980425,190.79080500000055,190.79080500000055,190.79080500000055,190.79080500000055,190.79080500000055,190.79080500000055,190.79080500000055,190.79080500000055,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['J', 'V', 'P', 'T']",True,T,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,190.79080500000055,190.79080500000055,None,,200.78629680000086,201.8556091999999,198.77069970000048,200.78629680000086,201.8556091999999,201.8556091999999,201.8556091999999,201.8556091999999,c,1.5642680999990262,203.48308780000116,203.48308780000116,203.48308780000116,203.48308780000116,203.48308780000116,203.48308780000116,203.48308780000116,203.48308780000116,None,None,None,190.79080500000055,190.79080500000055,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['X', 'T', 'Z', 'N']",False,S,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,203.48308780000116,203.48308780000116,None,,213.08582260000003,214.1557685000007,211.06975460000103,213.08582260000003,214.1557685000007,214.1557685000007,214.1557685000007,214.1557685000007,n,1.64868739999838,216.01350120000097,229.93544760000077,216.01350120000097,229.93544760000077,216.01350120000097,229.93544760000077,216.01350120000097,229.93544760000077,25.67901234567901,7.45882630000051,space,203.48308780000116,203.48308780000116,13.854818499998146,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R', 'Q', 'D', 'K', 'M', 'T']",True,K,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,229.93544760000077,229.93544760000077,space,1.7491102999974828,246.3111288,232.77707440000086,244.10449550000158,246.3111288,247.38859630000115,247.38859630000115,247.38859630000115,247.38859630000115,c,1.4567475999992894,249.0189392000011,249.0189392000011,249.0189392000011,249.0189392000011,249.0189392000011,249.0189392000011,249.0189392000011,249.0189392000011,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['B', 'S', 'N', 'D', 'C', 'M']",True,S,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,249.0189392000011,249.0189392000011,None,,263.3733422000005,264.4353127000013,261.1627141000008,263.3733422000005,264.4353127000013,264.4353127000013,264.4353127000013,264.4353127000013,c,1.6245874999985972,266.26453260000017,266.26453260000017,266.26453260000017,266.26453260000017,266.26453260000017,266.26453260000017,266.26453260000017,266.26453260000017,None,None,None,249.0189392000011,249.0189392000011,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
