sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['D', 'W', 'H', 'N', 'P', 'B']",False,Z,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,266.26453260000017,266.26453260000017,None,,280.41131870000027,267.33501960000103,278.3921941000008,280.41131870000027,281.4777866000004,281.4777866000004,281.4777866000004,281.4777866000004,n,1.4876550999997562,283.1368476000007,292.3220669000002,283.1368476000007,292.3220669000002,283.1368476000007,292.3220669000002,283.1368476000007,292.3220669000002,45.586419753086425,7.067063500000586,space,266.26453260000017,266.26453260000017,9.131717299998854,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Arm_Z_For', 'L_Head_Z_For']",True,R_Arm_Z_For,2,robot,2,True,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Arm_Z_For.mp4,22,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,292.3220669000002,292.3220669000002,space,3.9155031999998755,304.71482390000165,305.8089112000016,,,,305.8089112000016,305.8089112000016,305.8089112000016,c,3.571729699997377,309.4498842000012,309.4498842000012,309.4498842000012,309.4498842000012,309.4498842000012,309.4498842000012,309.4498842000012,309.4498842000012,None,None,None,,,,301.0747919000005,305.8089112000016,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Torso_Z_Back', 'R_Base_Z_For']",False,L_Torso_Z_Back,2,robot,2,False,False,"['robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,22,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,309.4498842000012,309.4498842000012,None,,317.90811660000145,318.99304790000133,,,,318.99304790000133,318.99304790000133,318.99304790000133,n,3.995743199999197,323.01901350000117,323.01901350000117,323.01901350000117,323.01901350000117,323.01901350000117,323.01901350000117,323.01901350000117,323.01901350000117,None,None,None,309.4498842000012,309.4498842000012,,314.27864220000083,318.99304790000133,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Torso_X_Back', 'L_Torso_Z_Back']",True,R_Torso_X_Back,2,robot,2,False,True,"['robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\R_Torso_X_Back.mp4,22,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,323.01901350000117,323.01901350000117,None,,331.34991230000014,332.4390865000005,,,,332.4390865000005,332.4390865000005,332.4390865000005,c,3.5101657999985036,336.1190062000005,341.3631699000016,336.1190062000005,341.3631699000016,336.1190062000005,341.3631699000016,336.1190062000005,341.3631699000016,29.691358024691354,4.177953000000343,space,323.01901350000117,323.01901350000117,5.181493899997804,327.8455769000011,332.4390865000005,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Arm_Z_For', 'R_Base_X_For', 'R_Torso_Y_For', 'L_Base_Y_For']",False,L_Arm_Z_Back,4,robot,2,True,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\L_Arm_Z_Back.mp4,22,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,341.3631699000016,341.3631699000016,space,4.0022593999983656,361.08118840000134,362.1766196000008,,,,362.1766196000008,362.1766196000008,362.1766196000008,n,3.260729399999036,365.8192101000004,365.8192101000004,365.8192101000004,365.8192101000004,365.8192101000004,365.8192101000004,365.8192101000004,365.8192101000004,None,None,None,,,,357.53857300000163,362.1766196000008,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Head_X_Back', 'L_Head_Y_For', 'R_Torso_Y_For', 'R_Head_Z_Back']",True,L_Head_Y_For,4,robot,2,False,False,"['robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,22,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,365.8192101000004,365.8192101000004,None,,381.75033130000156,382.84124820000034,,,,382.84124820000034,382.84124820000034,382.84124820000034,c,3.5804572999986704,386.49148590000004,386.49148590000004,386.49148590000004,386.49148590000004,386.49148590000004,386.49148590000004,386.49148590000004,386.49148590000004,None,None,None,365.8192101000004,365.8192101000004,,378.10866760000135,382.84124820000034,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Arm_Y_For', 'R_Arm_Y_Back', 'L_Arm_X_For', 'R_Base_Z_For']",True,R_Arm_Y_For,4,robot,2,False,True,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\R_Arm_Y_For.mp4,22,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,386.49148590000004,386.49148590000004,None,,402.2584263000008,403.3371186000004,,,,403.3371186000004,403.3371186000004,403.3371186000004,c,3.044203399998878,406.86231020000014,411.80138160000024,406.86231020000014,411.80138160000024,406.86231020000014,411.80138160000024,406.86231020000014,411.80138160000024,37.40740740740741,3.7561736999996356,space,386.49148590000004,386.49148590000004,4.894271799999842,398.63667760000135,403.3371186000004,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['R_Torso_Y_Back', 'R_Arm_Y_Back', 'L_Torso_X_For', 'L_Arm_Z_Back', 'R_Head_Y_For', 'R_Head_Y_Back']",True,R_Head_Y_Back,6,robot,2,True,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4']",robot_stimuli\R_Head_Y_Back.mp4,22,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,411.80138160000024,411.80138160000024,space,2.9960699999974167,438.1340267000014,439.2222709000016,,,,439.2222709000016,439.2222709000016,439.2222709000016,c,2.9184801999981573,442.87010230000124,442.87010230000124,442.87010230000124,442.87010230000124,442.87010230000124,442.87010230000124,442.87010230000124,442.87010230000124,None,None,None,,,,434.5021446999999,439.2222709000016,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['L_Torso_Y_For', 'L_Base_Y_For', 'L_Arm_X_For', 'L_Head_X_For', 'R_Arm_Y_For', 'R_Torso_X_For']",True,L_Base_Y_For,6,robot,2,False,False,"['robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\L_Base_Y_For.mp4,22,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,442.87010230000124,442.87010230000124,None,,465.9515033000007,467.03734760000043,,,,467.03734760000043,467.03734760000043,467.03734760000043,c,3.551673699997991,470.6218263999999,470.6218263999999,470.6218263999999,470.6218263999999,470.6218263999999,470.6218263999999,470.6218263999999,470.6218263999999,None,None,None,442.87010230000124,442.87010230000124,,462.31815520000055,467.03734760000043,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['L_Torso_X_Back', 'R_Head_Z_For', 'L_Head_X_For', 'R_Torso_X_Back', 'L_Base_Y_Back', 'L_Torso_Z_Back']",False,L_Base_Y_For,6,robot,2,False,True,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Base_Y_For.mp4,22,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,470.6218263999999,470.6218263999999,None,,493.68272910000087,494.76809980000144,,,,494.76809980000144,494.76809980000144,494.76809980000144,c,3.88556189999872,498.7204986000015,504.0556452000001,498.7204986000015,504.0556452000001,498.7204986000015,504.0556452000001,498.7204986000015,504.0556452000001,59.783950617283956,4.083698000000368,space,470.6218263999999,470.6218263999999,5.269439699999566,490.18522610000036,494.76809980000144,,,,,,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0556452000001,504.0556452000001,504.0556452000001,c,18.093220499997187,,,,,,,,,,,,,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['S', 'Z', 'W', 'Q']",True,W,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,536.1539451000008,537.2384857000015,,,,,,,,,540.2452401999999,540.2452401999999,540.2452401999999,540.2452401999999,540.2452401999999,540.2452401999999,540.2452401999999,540.2452401999999,None,None,None,,,,,,,,,,,522.1907748000012,522.1907748000012,space,4.015393399997265,534.1340147999999,536.1539451000008,537.2384857000015,537.2384857000015,537.2384857000015,537.2384857000015,c,2.775121199998466,,,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['J', 'R', 'C', 'T']",False,S,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,550.3945085000014,,,,,,,,,,553.0906179000012,553.0906179000012,553.0906179000012,553.0906179000012,553.0906179000012,553.0906179000012,553.0906179000012,553.0906179000012,None,None,None,,,,,,,,,,,540.2452401999999,540.2452401999999,None,,548.1841780000013,550.3945085000014,551.4654472000002,551.4654472000002,551.4654472000002,551.4654472000002,n,1.4682910999981686,540.2452401999999,540.2452401999999,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['K', 'R', 'B', 'Q']",True,B,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,562.8244093000012,563.8844478999999,,,,,,,,,565.1039555000007,565.1039555000007,565.1039555000007,565.1039555000007,565.1039555000007,565.1039555000007,565.1039555000007,565.1039555000007,None,None,None,,,,,,,,,,,553.0906179000012,553.0906179000012,None,,560.6121920000005,562.8244093000012,563.8844478999999,563.8844478999999,563.8844478999999,563.8844478999999,c,1.1378920999995898,553.0906179000012,553.0906179000012,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['G', 'S', 'R', 'L']",False,K,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,574.8428429000014,575.8976881000017,,,,,,,,,577.5206555000004,577.5206555000004,577.5206555000004,577.5206555000004,577.5206555000004,577.5206555000004,577.5206555000004,577.5206555000004,None,None,None,,,,,,,,,,,565.1039555000007,565.1039555000007,None,,572.6331064000005,574.8428429000014,575.8976881000017,575.8976881000017,575.8976881000017,575.8976881000017,n,1.5158354999985022,565.1039555000007,565.1039555000007,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['N', 'P', 'X', 'V']",False,S,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,587.254347600001,588.3132583000006,,,,,,,,,589.9432750000014,589.9432750000014,589.9432750000014,589.9432750000014,589.9432750000014,589.9432750000014,589.9432750000014,589.9432750000014,None,None,None,,,,,,,,,,,577.5206555000004,577.5206555000004,None,,585.2371747000016,587.254347600001,588.3132583000006,588.3132583000006,588.3132583000006,588.3132583000006,n,1.5717273999980534,577.5206555000004,577.5206555000004,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['C', 'B', 'F', 'L']",True,F,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,599.6988511,600.7715327000005,,,,,,,,,602.3952523000007,602.3952523000007,602.3952523000007,602.3952523000007,602.3952523000007,602.3952523000007,602.3952523000007,602.3952523000007,None,None,None,,,,,,,,,,,589.9432750000014,589.9432750000014,None,,597.684743400001,599.6988511,600.7715327000005,600.7715327000005,600.7715327000005,600.7715327000005,c,1.4264224999969883,589.9432750000014,589.9432750000014,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['K', 'J', 'F', 'G']",True,G,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,612.370006000001,613.4325073,,,,,,,,,615.2577938000013,615.2577938000013,615.2577938000013,615.2577938000013,615.2577938000013,615.2577938000013,615.2577938000013,615.2577938000013,None,None,None,,,,,,,,,,,602.3952523000007,602.3952523000007,None,,610.1601052000005,612.370006000001,613.4325073,613.4325073,613.4325073,613.4325073,c,1.7808156999981293,602.3952523000007,602.3952523000007,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
"['Q', 'P', 'K', 'F']",False,W,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,625.1855653000002,626.2457738000012,,,,,,,,,628.6721885000006,628.6721885000006,628.6721885000006,628.6721885000006,628.6721885000006,628.6721885000006,628.6721885000006,628.6721885000006,None,None,None,,,,,,,,,,,615.2577938000013,615.2577938000013,None,,623.171354600001,625.1855653000002,626.2457738000012,626.2457738000012,626.2457738000012,626.2457738000012,n,2.1831782999979623,615.2577938000013,615.2577938000013,,,22,001,2024-08-01_13h11.24.718,robot_sternberg_sign,2022.2.5,60.05439727346326,
