sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,49.88174219999996,49.88174219999996,f,385.87856020000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
,,,,,,,,,,,,,,,,,,,,,,,,,435.8212388000002,435.8212388000002,space,45.86080769999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
M,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,511.56930330000023,511.56930330000023,None,,511.56930330000023,,512.6494388000001,512.6494388000001,512.6494388000001,512.6494388000001,514.7419737999999,n,514.7419737999999,531.1499029000001,514.7419737999999,531.1499029000001,514.7419737999999,531.1499029000001,514.7419737999999,531.1499029000001,2.9938271604938227,12.482091699999728,space,511.56930330000023,511.56930330000023,0.9354869000001145,16.339775400000008,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
Z,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,531.1499029000001,531.1499029000001,space,8.48412809999968,539.6663794000001,540.7391396000003,540.7391396000003,540.7391396000003,540.7391396000003,540.7391396000003,542.9648488000003,n,542.9648488000003,542.9648488000003,542.9648488000003,542.9648488000003,542.9648488000003,542.9648488000003,542.9648488000003,542.9648488000003,None,None,None,,,0.46203940000009425,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
H,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,542.9648488000003,542.9648488000003,None,,542.9648488000003,544.034032,544.034032,544.034032,544.034032,544.034032,546.0693783000002,n,546.0693783000002,546.0693783000002,546.0693783000002,546.0693783000002,546.0693783000002,546.0693783000002,546.0693783000002,546.0693783000002,None,None,None,542.9648488000003,542.9648488000003,0.48702479999997195,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
V,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,546.0693783000002,546.0693783000002,None,,546.0693783000002,,547.1523580000003,547.1523580000003,547.1523580000003,547.1523580000003,549.3835399,n,549.3835399,549.3835399,549.3835399,549.3835399,549.3835399,549.3835399,549.3835399,549.3835399,None,None,None,546.0693783000002,546.0693783000002,0.7280797999999322,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
H,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,549.3835399,549.3835399,None,,549.3835399,550.4532096000003,550.4532096000003,550.4532096000003,550.4532096000003,550.4532096000003,552.6864949000001,c,552.6864949000001,552.6864949000001,552.6864949000001,552.6864949000001,552.6864949000001,552.6864949000001,552.6864949000001,552.6864949000001,None,None,None,549.3835399,549.3835399,0.5082986999998411,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
Z,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,552.6864949000001,552.6864949000001,None,,552.6864949000001,553.7649168000003,553.7649168000003,553.7649168000003,553.7649168000003,553.7649168000003,555.7981450000002,n,555.7981450000002,555.7981450000002,555.7981450000002,555.7981450000002,555.7981450000002,555.7981450000002,555.7981450000002,555.7981450000002,None,None,None,552.6864949000001,552.6864949000001,0.8769362999998975,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
H,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,555.7981450000002,555.7981450000002,None,,555.7981450000002,556.8653964,556.8653964,556.8653964,556.8653964,556.8653964,558.8974871,c,558.8974871,558.8974871,558.8974871,558.8974871,558.8974871,558.8974871,558.8974871,558.8974871,None,None,None,555.7981450000002,555.7981450000002,0.5031569000000218,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
G,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,558.8974871,558.8974871,None,,558.8974871,559.9650729,559.9650729,559.9650729,559.9650729,559.9650729,561.9946328999999,n,561.9946328999999,561.9946328999999,561.9946328999999,561.9946328999999,561.9946328999999,561.9946328999999,561.9946328999999,561.9946328999999,None,None,None,558.8974871,558.8974871,0.619215899999972,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
Q,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,561.9946328999999,561.9946328999999,None,,561.9946328999999,563.0673516000002,563.0673516000002,563.0673516000002,563.0673516000002,563.0673516000002,565.0968492000002,n,565.0968492000002,565.0968492000002,565.0968492000002,565.0968492000002,565.0968492000002,565.0968492000002,565.0968492000002,565.0968492000002,None,None,None,561.9946328999999,561.9946328999999,0.6460726999996496,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
G,True,2,letter,2,False,True,robot_stimuli\\filler.mp4,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,565.0968492000002,565.0968492000002,None,,565.0968492000002,566.1638367999999,566.1638367999999,566.1638367999999,566.1638367999999,566.1638367999999,568.2356880000002,c,568.2356880000002,573.7062918000001,568.2356880000002,573.7062918000001,568.2356880000002,573.7062918000001,568.2356880000002,573.7062918000001,19.197530864197525,4.716555900000003,space,565.0968492000002,565.0968492000002,1.0848849000001337,5.398538799999869,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
