sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['blue_right_C_45', 'blue_left_J_0', 'blue_left_F_45', 'red_left_X_45']","{'color': 'red_left_X_45', 'position': 'blue_right_C_45', 'orientation': 'blue_left_J_0'}",color,"['color', 'orientation']",red_left_X_45,3,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,869.879199099727,871.9504255997017,,,880.6337184999138,880.6337184999138,880.6337184999138,3,0.8235074002295732,881.5187713997439,887.7977926996537,881.5187713997439,887.7977926996537,881.5187713997439,887.7977926996537,881.5187713997439,887.7977926996537,27.22222222222222,5.988335100002587,space,,,6.22662840038538,,,,,,,869.879199099727,869.879199099727,None,,878.4127525999211,880.6337184999138,869.879199099727,869.879199099727,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Head_X_Back', 'L_Torso_X_Back', 'R_Torso_X_Back', 'R_Torso_Z_Back']","{'laterality': 'L_Torso_X_Back', 'localisation': 'R_Head_X_Back', 'movement': 'R_Torso_Z_Back'}",movement,['movement'],R_Torso_Z_Back,3,1,robot,2,True,False,"['robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4']",robot_stimuli\R_Torso_Z_Back.mp4,12,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,894.8116402998567,,,,911.7115442999639,911.7115442999639,911.7115442999639,4,0.3462017001584172,912.0789450998418,912.0789450998418,912.0789450998418,912.0789450998418,912.0789450998418,912.0789450998418,912.0789450998418,912.0789450998418,None,None,None,,,,,,,,,,887.7977926996537,887.7977926996537,space,6.9957594005391,,,,,908.087750100065,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Torso_Z_For', 'L_Head_X_Back', 'L_Torso_X_Back', 'R_Torso_X_For']","{'laterality': 'R_Torso_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Torso_Z_For'}",laterality,['laterality'],R_Torso_X_For,3,1,robot,2,False,False,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\R_Torso_X_For.mp4,12,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,912.0789450998418,914.2332725999877,,,929.0623760996386,929.0623760996386,929.0623760996386,4,0.530441400129348,929.6134372996166,929.6134372996166,929.6134372996166,929.6134372996166,929.6134372996166,929.6134372996166,929.6134372996166,929.6134372996166,None,None,None,,,,,,,,,,912.0789450998418,912.0789450998418,None,,,,912.0789450998418,912.0789450998418,925.4385756999254,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Torso_X_Back', 'L_Arm_Y_For', 'L_Arm_X_Back', 'R_Arm_X_For']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Torso_X_Back', 'movement': 'L_Arm_Y_For'}",laterality,['laterality'],R_Arm_X_For,3,1,robot,2,False,False,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\R_Arm_X_For.mp4,12,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,929.6134372996166,931.7009288999252,,,946.4966610996053,946.4966610996053,946.4966610996053,4,0.44087860034778714,946.9642496998422,946.9642496998422,946.9642496998422,946.9642496998422,946.9642496998422,946.9642496998422,946.9642496998422,946.9642496998422,None,None,None,,,,,,,,,,929.6134372996166,929.6134372996166,None,,,,929.6134372996166,929.6134372996166,942.8566447999328,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Base_Z_For', 'L_Arm_Z_Back', 'R_Arm_Z_Back', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Base_Z_For', 'movement': 'L_Arm_Y_Back'}",localisation,['localisation'],L_Base_Z_For,0,1,robot,2,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Base_Z_For.mp4,12,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,946.9642496998422,949.068412499968,,,963.8809075998142,963.8809075998142,963.8809075998142,1,1.7687397003173828,965.6677786996588,965.6677786996588,965.6677786996588,965.6677786996588,965.6677786996588,965.6677786996588,965.6677786996588,965.6677786996588,None,None,None,,,,,,,,,,946.9642496998422,946.9642496998422,None,,,,946.9642496998422,946.9642496998422,960.2404056000523,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Arm_X_For', 'R_Arm_Z_For', 'R_Head_X_For', 'R_Arm_X_Back']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Head_X_For', 'movement': 'R_Arm_Z_For'}",movement,['movement'],R_Arm_Z_For,1,1,robot,2,False,False,"['robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\R_Arm_Z_For.mp4,12,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,965.6677786996588,967.7552294000052,,,982.567702499684,982.567702499684,982.567702499684,2,2.057503300253302,984.6551468996331,984.6551468996331,984.6551468996331,984.6551468996331,984.6551468996331,984.6551468996331,984.6551468996331,984.6551468996331,None,None,None,,,,,,,,,,965.6677786996588,965.6677786996588,None,,,,965.6677786996588,965.6677786996588,978.9271808997728,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Arm_Y_Back', 'R_Arm_Z_For', 'L_Arm_Z_For', 'L_Base_Z_For']","{'laterality': 'R_Arm_Z_For', 'localisation': 'L_Base_Z_For', 'movement': 'L_Arm_Y_Back'}",movement,['movement'],L_Arm_Y_Back,0,1,robot,2,False,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Base_Z_For.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,12,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,984.6551468996331,986.7427002997138,,,1001.5550752999261,1001.5550752999261,1001.5550752999261,1,0.4618726004846394,1002.0393540998921,1002.0393540998921,1002.0393540998921,1002.0393540998921,1002.0393540998921,1002.0393540998921,1002.0393540998921,1002.0393540998921,None,None,None,,,,,,,,,,984.6551468996331,984.6551468996331,None,,,,984.6551468996331,984.6551468996331,997.8978615999222,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Base_Z_Back', 'L_Base_Y_For', 'L_Arm_Z_For', 'L_Base_Z_For']","{'laterality': 'R_Base_Z_Back', 'localisation': 'L_Arm_Z_For', 'movement': 'L_Base_Y_For'}",laterality,['laterality'],R_Base_Z_Back,0,1,robot,2,False,False,"['robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Base_Z_For.mp4']",robot_stimuli\R_Base_Z_Back.mp4,12,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,1002.0393540998921,1004.1435205996968,,,1018.7722698999569,1018.7722698999569,1018.7722698999569,1,0.925110200420022,1019.7241373998113,1019.7241373998113,1019.7241373998113,1019.7241373998113,1019.7241373998113,1019.7241373998113,1019.7241373998113,1019.7241373998113,None,None,None,,,,,,,,,,1002.0393540998921,1002.0393540998921,None,,,,1002.0393540998921,1002.0393540998921,1015.1151125999168,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Base_Z_Back', 'R_Base_Z_Back', 'L_Arm_Z_Back', 'L_Base_Y_Back']","{'laterality': 'R_Base_Z_Back', 'localisation': 'L_Arm_Z_Back', 'movement': 'L_Base_Y_Back'}",localisation,['localisation'],L_Arm_Z_Back,2,1,robot,2,False,False,"['robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Arm_Z_Back.mp4,12,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,1019.7241373998113,1021.8116123997606,,,1036.5238977000117,1036.5238977000117,1036.5238977000117,3,0.2768029007129371,1036.8244930999354,1036.8244930999354,1036.8244930999354,1036.8244930999354,1036.8244930999354,1036.8244930999354,1036.8244930999354,1036.8244930999354,None,None,None,,,,,,,,,,1019.7241373998113,1019.7241373998113,None,,,,1019.7241373998113,1019.7241373998113,1032.9501970000565,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Torso_Z_Back', 'L_Head_Z_For', 'R_Torso_Z_For', 'L_Torso_X_For']","{'laterality': 'R_Torso_Z_For', 'localisation': 'L_Head_Z_For', 'movement': 'L_Torso_X_For'}",localisation,['localisation'],L_Head_Z_For,1,1,robot,2,False,True,"['robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4']",robot_stimuli\L_Head_Z_For.mp4,12,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,1036.8244930999354,1038.9119382998906,,,1053.5908057000488,1053.5908057000488,1053.5908057000488,2,0.7624787003733218,1054.4090795000084,1058.550573299639,1054.4090795000084,1058.550573299639,1054.4090795000084,1058.550573299639,1054.4090795000084,1058.550573299639,14.682539682539685,3.8841528999619186,space,,,4.088481300510466,,,,,,,1036.8244930999354,1036.8244930999354,None,,,,1036.8244930999354,1036.8244930999354,1049.9670229996555,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
