sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['R_Head_Z_For', 'L_Head_X_For', 'R_Arm_X_For', 'R_Head_X_Back']","{'laterality': 'L_Head_X_For', 'localisation': 'R_Arm_X_For', 'movement': 'R_Head_Z_For'}",laterality,"['laterality', 'localisation', 'movement']",L_Head_X_For,1,3,robot,2,True,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Head_X_For.mp4,12,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,1074.8827488999814,,,,1091.6991685000248,1091.6991685000248,1091.6991685000248,2,7.485734600573778,1099.2139340997674,1099.2139340997674,1099.2139340997674,1099.2139340997674,1099.2139340997674,1099.2139340997674,1099.2139340997674,1099.2139340997674,None,None,None,,,,,,,,,,1058.550573299639,1058.550573299639,space,16.30606870027259,,,,,1088.058733199723,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Arm_X_For', 'L_Arm_Z_Back', 'L_Arm_X_Back', 'L_Base_X_For']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Base_X_For', 'movement': 'L_Arm_Z_Back'}",movement,"['laterality', 'localisation', 'movement']",L_Arm_Z_Back,1,3,robot,2,False,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Arm_Z_Back.mp4,12,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,1099.2139340997674,1101.3014162997715,,,1116.0470937998034,1116.0470937998034,1116.0470937998034,2,7.569832300301641,1123.6453928998671,1123.6453928998671,1123.6453928998671,1123.6453928998671,1123.6453928998671,1123.6453928998671,1123.6453928998671,1123.6453928998671,None,None,None,,,,,,,,,,1099.2139340997674,1099.2139340997674,None,,,,1099.2139340997674,1099.2139340997674,1112.4734251997434,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Torso_Y_Back', 'L_Arm_Y_Back', 'L_Torso_Y_For', 'L_Torso_X_For']","{'laterality': 'R_Torso_Y_Back', 'localisation': 'L_Arm_Y_Back', 'movement': 'L_Torso_X_For'}",localisation,"['laterality', 'localisation', 'movement']",L_Arm_Y_Back,1,3,robot,2,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,12,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,1123.6453928998671,1125.7328415997326,,,1140.5619765999727,1140.5619765999727,1140.5619765999727,2,8.134689700324088,1148.7281243996695,1148.7281243996695,1148.7281243996695,1148.7281243996695,1148.7281243996695,1148.7281243996695,1148.7281243996695,1148.7281243996695,None,None,None,,,,,,,,,,1123.6453928998671,1123.6453928998671,None,,,,1123.6453928998671,1123.6453928998671,1136.921575000044,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Arm_X_Back', 'L_Arm_Z_For', 'R_Arm_X_For', 'L_Base_X_For']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Base_X_For', 'movement': 'L_Arm_Z_For'}",movement,"['laterality', 'localisation', 'movement']",L_Arm_Z_For,1,3,robot,2,False,False,"['robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Arm_Z_For.mp4,12,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,1148.7281243996695,1150.8155550998636,,,1165.5278389998712,1165.5278389998712,1165.5278389998712,2,10.825452500022948,1176.382515899837,1176.382515899837,1176.382515899837,1176.382515899837,1176.382515899837,1176.382515899837,1176.382515899837,1176.382515899837,None,None,None,,,,,,,,,,1148.7281243996695,1148.7281243996695,None,,,,1148.7281243996695,1148.7281243996695,1161.954150899779,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Torso_Y_Back', 'R_Torso_Z_Back', 'R_Base_Z_Back', 'L_Torso_Z_For']","{'laterality': 'L_Torso_Z_For', 'localisation': 'R_Base_Z_Back', 'movement': 'R_Torso_Y_Back'}",laterality,"['laterality', 'localisation', 'movement']",L_Torso_Z_For,3,3,robot,2,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\L_Torso_Z_For.mp4,12,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,1176.382515899837,1178.4699903996661,,,1193.1655550999567,1193.1655550999567,1193.1655550999567,4,1.6357702002860606,1194.8188382000662,1194.8188382000662,1194.8188382000662,1194.8188382000662,1194.8188382000662,1194.8188382000662,1194.8188382000662,1194.8188382000662,None,None,None,,,,,,,,,,1176.382515899837,1176.382515899837,None,,,,1176.382515899837,1176.382515899837,1189.525090399664,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Head_Z_For', 'R_Head_Z_Back', 'R_Head_X_Back', 'R_Arm_Z_Back']","{'laterality': 'L_Head_Z_For', 'localisation': 'R_Arm_Z_Back', 'movement': 'R_Head_X_Back'}",laterality,"['laterality', 'localisation', 'movement']",L_Head_Z_For,0,3,robot,2,False,False,"['robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4']",robot_stimuli\L_Head_Z_For.mp4,12,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,1194.8188382000662,1196.9062745999545,,,1211.7020644997247,1211.7020644997247,1211.7020644997247,1,3.939490200486034,1215.6598427998833,1215.6598427998833,1215.6598427998833,1215.6598427998833,1215.6598427998833,1215.6598427998833,1215.6598427998833,1215.6598427998833,None,None,None,,,,,,,,,,1194.8188382000662,1194.8188382000662,None,,,,1194.8188382000662,1194.8188382000662,1208.0615834998898,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Arm_Z_For', 'L_Base_Z_Back', 'R_Base_Z_For', 'R_Base_Y_For']","{'laterality': 'L_Base_Z_Back', 'localisation': 'R_Arm_Z_For', 'movement': 'R_Base_Y_For'}",localisation,"['laterality', 'localisation', 'movement']",R_Arm_Z_For,0,3,robot,2,False,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\R_Arm_Z_For.mp4,12,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,1215.6598427998833,1217.7472970997915,,,1232.5430641998537,1232.5430641998537,1232.5430641998537,1,3.6742277005687356,1236.250419799704,1236.250419799704,1236.250419799704,1236.250419799704,1236.250419799704,1236.250419799704,1236.250419799704,1236.250419799704,None,None,None,,,,,,,,,,1215.6598427998833,1215.6598427998833,None,,,,1215.6598427998833,1215.6598427998833,1228.9026093999855,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Base_Z_For', 'L_Torso_X_For', 'R_Base_X_Back', 'L_Base_X_For']","{'laterality': 'R_Base_X_Back', 'localisation': 'L_Torso_X_For', 'movement': 'L_Base_Z_For'}",movement,"['laterality', 'localisation', 'movement']",L_Base_Z_For,0,3,robot,2,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Base_Z_For.mp4,12,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,1236.250419799704,1238.3378658997826,,,1253.066793799866,1253.066793799866,1253.066793799866,1,4.470749200321734,1257.5589772998355,1257.5589772998355,1257.5589772998355,1257.5589772998355,1257.5589772998355,1257.5589772998355,1257.5589772998355,1257.5589772998355,None,None,None,,,,,,,,,,1236.250419799704,1236.250419799704,None,,,,1236.250419799704,1236.250419799704,1249.4931405996904,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Head_Z_Back', 'L_Head_X_For', 'R_Head_X_For', 'L_Base_X_For']","{'laterality': 'R_Head_X_For', 'localisation': 'L_Base_X_For', 'movement': 'L_Head_Z_Back'}",localisation,"['laterality', 'localisation', 'movement']",L_Base_X_For,3,3,robot,2,False,True,"['robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Base_X_For.mp4,12,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,1257.5589772998355,1259.6464803996496,,,1274.3252971996553,1274.3252971996553,1274.3252971996553,4,1.5882185003720224,1275.9786282996647,1281.2556381998584,1275.9786282996647,1281.2556381998584,1275.9786282996647,1281.2556381998584,1275.9786282996647,1281.2556381998584,38.33333333333333,4.351707699708641,space,,,5.205817800015211,,,,,,,1257.5589772998355,1257.5589772998355,None,,,,1257.5589772998355,1257.5589772998355,1270.7349469000474,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Arm_Z_For', 'R_Arm_Z_Back', 'L_Head_Z_Back', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Arm_Y_Back'}",movement,"['laterality', 'movement']",L_Arm_Y_Back,3,2,robot,2,True,False,"['robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,12,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,1282.4412682000548,,,,1299.3412257996388,1299.3412257996388,1299.3412257996388,4,1.9712149002589285,1301.3451896999031,1301.3451896999031,1301.3451896999031,1301.3451896999031,1301.3451896999031,1301.3451896999031,1301.3451896999031,1301.3451896999031,None,None,None,,,,,,,,,,1281.2556381998584,1281.2556381998584,space,1.1535355006344616,,,,,1295.7007240997627,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Base_Z_For', 'R_Base_Y_Back', 'L_Arm_Y_Back', 'L_Base_Y_Back']","{'laterality': 'R_Base_Y_Back', 'localisation': 'L_Arm_Y_Back', 'movement': 'L_Base_Z_For'}",localisation,"['laterality', 'localisation']",L_Arm_Y_Back,2,2,robot,2,False,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,12,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,1301.3451896999031,1303.432649999857,,,1318.1783320000395,1318.1783320000395,1318.1783320000395,3,1.4468430005945265,1319.6478777998127,1319.6478777998127,1319.6478777998127,1319.6478777998127,1319.6478777998127,1319.6478777998127,1319.6478777998127,1319.6478777998127,None,None,None,,,,,,,,,,1301.3451896999031,1301.3451896999031,None,,,,1301.3451896999031,1301.3451896999031,1314.6046400996856,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Head_Y_Back', 'R_Torso_Z_For', 'L_Torso_Y_For', 'R_Torso_Y_Back']","{'laterality': 'L_Torso_Y_For', 'localisation': 'R_Head_Y_Back', 'movement': 'R_Torso_Z_For'}",localisation,"['localisation', 'movement']",R_Head_Y_Back,0,2,robot,2,False,False,"['robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4']",robot_stimuli\R_Head_Y_Back.mp4,12,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,1319.6478777998127,1321.7353270999156,,,1336.5310718999244,1336.5310718999244,1336.5310718999244,1,1.1419659000821412,1337.700129199773,1337.700129199773,1337.700129199773,1337.700129199773,1337.700129199773,1337.700129199773,1337.700129199773,1337.700129199773,None,None,None,,,,,,,,,,1319.6478777998127,1319.6478777998127,None,,,,1319.6478777998127,1319.6478777998127,1332.89061579993,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Base_Z_Back', 'R_Base_Z_Back', 'L_Head_Z_For', 'L_Base_X_For']","{'laterality': 'R_Base_Z_Back', 'localisation': 'L_Head_Z_For', 'movement': 'L_Base_X_For'}",laterality,"['laterality', 'localisation']",R_Base_Z_Back,1,2,robot,2,False,False,"['robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\R_Base_Z_Back.mp4,12,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,1337.700129199773,1339.7875657998957,,,1354.4330176999792,1354.4330176999792,1354.4330176999792,2,0.6717387000098825,1355.1344209997915,1355.1344209997915,1355.1344209997915,1355.1344209997915,1355.1344209997915,1355.1344209997915,1355.1344209997915,1355.1344209997915,None,None,None,,,,,,,,,,1337.700129199773,1337.700129199773,None,,,,1337.700129199773,1337.700129199773,1350.859319599811,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Head_Z_Back', 'L_Head_Y_For', 'R_Head_Y_For', 'L_Base_Y_Back']","{'laterality': 'R_Head_Y_For', 'localisation': 'L_Base_Y_Back', 'movement': 'L_Head_Z_Back'}",laterality,"['laterality', 'localisation']",R_Head_Y_For,2,2,robot,2,False,False,"['robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\R_Head_Y_For.mp4,12,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,1355.1344209997915,1357.221857199911,,,1371.9675628999248,1371.9675628999248,1371.9675628999248,3,1.4250206002034247,1373.420380699914,1373.420380699914,1373.420380699914,1373.420380699914,1373.420380699914,1373.420380699914,1373.420380699914,1373.420380699914,None,None,None,,,,,,,,,,1355.1344209997915,1355.1344209997915,None,,,,1355.1344209997915,1355.1344209997915,1368.394438299816,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Base_Z_For', 'L_Base_Z_For', 'L_Head_Z_Back', 'L_Base_Y_For']","{'laterality': 'R_Base_Z_For', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Base_Y_For'}",laterality,"['laterality', 'movement']",R_Base_Z_For,0,2,robot,2,False,False,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\R_Base_Z_For.mp4,12,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,1373.420380699914,1375.5078685996123,,,1390.236877199728,1390.236877199728,1390.236877199728,1,1.1806906005367637,1391.4392050998285,1391.4392050998285,1391.4392050998285,1391.4392050998285,1391.4392050998285,1391.4392050998285,1391.4392050998285,1391.4392050998285,None,None,None,,,,,,,,,,1373.420380699914,1373.420380699914,None,,,,1373.420380699914,1373.420380699914,1386.6965373996645,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['L_Torso_Z_For', 'L_Torso_X_Back', 'R_Torso_X_Back', 'L_Head_X_Back']","{'laterality': 'R_Torso_X_Back', 'localisation': 'L_Head_X_Back', 'movement': 'L_Torso_Z_For'}",localisation,"['laterality', 'localisation']",L_Head_X_Back,3,2,robot,2,False,False,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\L_Head_X_Back.mp4,12,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,1391.4392050998285,1393.543337999843,,,1408.3390969997272,1408.3390969997272,1408.3390969997272,4,2.222215700428933,1410.5935610998422,1410.5935610998422,1410.5935610998422,1410.5935610998422,1410.5935610998422,1410.5935610998422,1410.5935610998422,1410.5935610998422,None,None,None,,,,,,,,,,1391.4392050998285,1391.4392050998285,None,,,,1391.4392050998285,1391.4392050998285,1404.6986324996687,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Arm_X_Back', 'L_Arm_X_For', 'L_Head_X_Back', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_X_Back', 'localisation': 'L_Head_X_Back', 'movement': 'L_Arm_Y_Back'}",movement,"['localisation', 'movement']",L_Arm_Y_Back,3,2,robot,2,False,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,12,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,1410.5935610998422,1412.6810155999847,,,1427.51019489998,1427.51019489998,1427.51019489998,4,0.42693170020356774,1427.9610727997497,1427.9610727997497,1427.9610727997497,1427.9610727997497,1427.9610727997497,1427.9610727997497,1427.9610727997497,1427.9610727997497,None,None,None,,,,,,,,,,1410.5935610998422,1410.5935610998422,None,,,,1410.5935610998422,1410.5935610998422,1423.8697220999748,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['R_Torso_X_Back', 'L_Torso_Z_For', 'R_Torso_Z_Back', 'R_Base_Z_For']","{'laterality': 'L_Torso_Z_For', 'localisation': 'R_Base_Z_For', 'movement': 'R_Torso_X_Back'}",movement,"['laterality', 'movement']",R_Torso_X_Back,0,2,robot,2,False,True,"['robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4']",robot_stimuli\R_Torso_X_Back.mp4,12,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,1427.9610727997497,1430.0485577997752,,,1444.861035299953,1444.861035299953,1444.861035299953,1,2.659778400324285,1447.5830365996808,1457.085071099922,1447.5830365996808,1457.085071099922,1447.5830365996808,1457.085071099922,1447.5830365996808,1457.085071099922,29.6031746031746,3.0991888004355133,space,,,9.42639010027051,,,,,,,1427.9610727997497,1427.9610727997497,None,,,,1427.9610727997497,1427.9610727997497,1441.2038353998214,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_left_W_45', 'blue_left_K_0', 'red_left_T_0', 'blue_top_L_0']","{'color': 'red_left_T_0', 'position': 'blue_top_L_0', 'orientation': 'blue_left_W_45'}",orientation,"['orientation', 'position']",blue_left_W_45,0,2,letter,3,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,1467.6392462998629,,,,1478.3769915997982,1478.3769915997982,1478.3769915997982,1,0.8154893005266786,1479.2119498997927,1479.2119498997927,1479.2119498997927,1479.2119498997927,1479.2119498997927,1479.2119498997927,1479.2119498997927,1479.2119498997927,None,None,None,,,,,,,,,,1457.085071099922,1457.085071099922,space,10.524007700383663,1476.3566314000636,1478.3769915997982,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_bottom_K_0', 'red_top_Q_0', 'red_bottom_H_0', 'red_bottom_Z_45']","{'color': 'blue_bottom_K_0', 'position': 'red_top_Q_0', 'orientation': 'red_bottom_Z_45'}",position,"['color', 'position']",red_top_Q_0,1,2,letter,3,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,1479.2119498997927,1481.2827731999569,,,1490.1334712998942,1490.1334712998942,1490.1334712998942,2,1.6591391004621983,1491.8201232999563,1491.8201232999563,1491.8201232999563,1491.8201232999563,1491.8201232999563,1491.8201232999563,1491.8201232999563,1491.8201232999563,None,None,None,,,,,,,,,,1479.2119498997927,1479.2119498997927,None,,1487.929192399606,1490.1334712998942,1479.2119498997927,1479.2119498997927,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_top_F_0', 'red_bottom_P_0', 'blue_bottom_P_0', 'red_bottom_J_45']","{'color': 'blue_bottom_P_0', 'position': 'red_top_F_0', 'orientation': 'red_bottom_J_45'}",orientation,"['color', 'orientation']",red_bottom_J_45,3,2,letter,3,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,1491.8201232999563,1493.8909024000168,,,1502.3575328998268,1502.3575328998268,1502.3575328998268,4,1.8673341004177928,1504.2445922000334,1504.2445922000334,1504.2445922000334,1504.2445922000334,1504.2445922000334,1504.2445922000334,1504.2445922000334,1504.2445922000334,None,None,None,,,,,,,,,,1491.8201232999563,1491.8201232999563,None,,1500.336873400025,1502.3575328998268,1491.8201232999563,1491.8201232999563,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_left_G_0', 'blue_bottom_Q_45', 'blue_bottom_F_0', 'red_bottom_T_0']","{'color': 'red_bottom_T_0', 'position': 'blue_left_G_0', 'orientation': 'blue_bottom_Q_45'}",position,"['color', 'position']",blue_left_G_0,0,2,letter,3,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,1504.2445922000334,1506.2998078996316,,,1514.7819836996496,1514.7819836996496,1514.7819836996496,1,1.6192581006325781,1516.4185449997894,1516.4185449997894,1516.4185449997894,1516.4185449997894,1516.4185449997894,1516.4185449997894,1516.4185449997894,1516.4185449997894,None,None,None,,,,,,,,,,1504.2445922000334,1504.2445922000334,None,,1512.5609967997298,1514.7819836996496,1504.2445922000334,1504.2445922000334,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_right_K_45', 'red_left_T_45', 'red_right_M_0', 'red_right_G_45']","{'color': 'blue_right_K_45', 'position': 'red_left_T_45', 'orientation': 'red_right_M_0'}",position,"['orientation', 'position']",red_left_T_45,1,2,letter,3,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,1516.4185449997894,1518.4892802997492,,,1527.340020199772,1527.340020199772,1527.340020199772,2,0.5570434001274407,1527.9245269997045,1527.9245269997045,1527.9245269997045,1527.9245269997045,1527.9245269997045,1527.9245269997045,1527.9245269997045,1527.9245269997045,None,None,None,,,,,,,,,,1516.4185449997894,1516.4185449997894,None,,1525.135758499615,1527.340020199772,1516.4185449997894,1516.4185449997894,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_right_F_45', 'blue_right_M_45', 'blue_right_D_0', 'blue_bottom_S_45']","{'color': 'red_right_F_45', 'position': 'blue_bottom_S_45', 'orientation': 'blue_right_D_0'}",orientation,"['orientation', 'position']",blue_right_D_0,2,2,letter,3,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,1527.9245269997045,1529.9953608997166,,,1539.0631690998562,1539.0631690998562,1539.0631690998562,3,0.8027424002066255,1539.8981035999022,1539.8981035999022,1539.8981035999022,1539.8981035999022,1539.8981035999022,1539.8981035999022,1539.8981035999022,1539.8981035999022,None,None,None,,,,,,,,,,1527.9245269997045,1527.9245269997045,None,,1536.8588111000136,1539.0631690998562,1527.9245269997045,1527.9245269997045,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
