subject,stimuli,condition,correct,f1,rt,rsme
0,letter,2,1.0,1.0,1.1804866666665892,28.868312757201647
0,letter,4,1.0,1.0,1.469781683333239,31.64609053497942
0,letter,6,1.0,1.0,1.7983780766665214,40.802469135802475
0,robot,2,0.9666666666666667,0.9655172413793104,2.8351799400000157,34.01234567901235
0,robot,4,0.8666666666666667,0.8666666666666667,3.272653589999978,40.08230452674897
0,robot,6,0.9,0.9090909090909091,3.5573048766665543,44.09465020576132
1,letter,2,1.0,1.0,4.346849256663215,9.166666666666663
1,letter,4,0.9666666666666667,0.9655172413793104,2.3931457633312676,19.403292181069958
1,letter,6,0.9,0.896551724137931,3.550801863333618,23.672839506172835
1,robot,2,0.8666666666666667,0.8571428571428571,7.789851683331168,20.02057613168724
1,robot,4,0.9,0.896551724137931,6.880697993333645,27.479423868312754
1,robot,6,0.7666666666666667,0.6956521739130436,12.472156653333029,44.86625514403293
2,letter,2,1.0,1.0,0.7662722799998676,12.561728395061728
2,letter,4,1.0,1.0,0.7768833333332149,21.872427983539094
2,letter,6,0.9666666666666667,0.967741935483871,1.031381149999847,36.79012345679013
2,robot,2,0.9,0.888888888888889,4.524165099999814,28.405349794238685
2,robot,4,0.8666666666666667,0.8666666666666667,2.2643089533332064,51.70781893004115
2,robot,6,0.8,0.7692307692307692,2.8881961933331675,71.9753086419753
3,letter,2,1.0,1.0,1.180798283334237,0.0
3,letter,4,0.9666666666666667,0.967741935483871,1.5383812300008988,0.0
3,letter,6,1.0,1.0,1.7911133133340627,0.0
3,robot,2,1.0,1.0,2.371082506667699,0.0
3,robot,4,0.8333333333333334,0.8275862068965518,2.701771863334519,4.125514403292183
3,robot,6,0.8666666666666667,0.8571428571428571,3.0925433766678907,6.286008230452669
4,letter,2,1.0,1.0,1.4780709666667537,2.530864197530861
4,letter,4,1.0,1.0,1.6675351200001767,7.31481481481481
4,letter,6,1.0,1.0,2.3503559666668177,8.240740740740739
4,robot,2,1.0,1.0,3.0637267800001156,17.80864197530864
4,robot,4,0.9333333333333333,0.9285714285714286,3.6215332433335488,18.78600823045267
4,robot,6,0.9666666666666667,0.9655172413793104,6.432245250000104,34.4753086419753
5,letter,2,1.0,1.0,0.7488540433334492,18.271604938271604
5,letter,4,1.0,1.0,0.947233853333637,26.090534979423865
5,letter,6,0.9666666666666667,0.967741935483871,0.9984247566670092,44.60905349794239
5,robot,2,0.8666666666666667,0.8749999999999999,2.845035510000131,38.53909465020576
5,robot,4,0.7333333333333333,0.7500000000000001,2.9306546500001485,53.199588477366255
5,robot,6,0.7,0.689655172413793,3.70396915333334,64.82510288065843
6,letter,2,1.0,1.0,0.7094580300000871,1.9650205761316848
6,letter,4,1.0,1.0,0.9358419800001078,7.983539094650202
6,letter,6,1.0,1.0,2.394568133333382,26.759259259259256
6,robot,2,1.0,1.0,2.081466956666759,8.395061728395058
6,robot,4,0.9333333333333333,0.9285714285714286,2.709313333333459,29.228395061728396
6,robot,6,0.8333333333333334,0.8148148148148148,3.8217538333334233,39.413580246913575
7,letter,2,0.9666666666666667,0.9655172413793104,0.6243193966667643,9.526748971193415
7,letter,4,1.0,1.0,0.836614356666803,17.860082304526745
7,letter,6,0.9666666666666667,0.9655172413793104,1.156487060000082,39.567901234567906
7,robot,2,0.9666666666666667,0.967741935483871,3.5959552133333585,32.88065843621399
7,robot,4,0.9,0.9032258064516129,3.8937554500000147,46.8724279835391
7,robot,6,0.7333333333333333,0.7777777777777778,4.155776913333409,68.16872427983539
8,letter,2,1.0,1.0,0.6688354833332293,21.409465020576132
8,letter,4,1.0,1.0,0.6378875166665239,28.09670781893004
8,letter,6,0.9333333333333333,0.9333333333333333,0.9423159766663958,37.30452674897119
8,robot,2,0.9666666666666667,0.967741935483871,2.204150240000066,36.22427983539095
8,robot,4,0.9,0.9032258064516129,2.6694298399997933,55.462962962962955
8,robot,6,0.8666666666666667,0.8571428571428571,3.6720010133331016,78.55967078189302
9,letter,2,1.0,1.0,0.8491459699997449,3.148148148148145
9,letter,4,1.0,1.0,1.151741476666363,14.670781893004111
9,letter,6,0.9666666666666667,0.9655172413793104,1.4475905666664404,33.60082304526748
9,robot,2,0.9333333333333333,0.9333333333333333,2.103844843333127,26.759259259259263
9,robot,4,0.9,0.9032258064516129,2.8681437299997623,52.27366255144034
9,robot,6,0.8666666666666667,0.8749999999999999,3.769797026666356,51.965020576131685
11,letter,2,1.0,1.0,0.6502104300001065,19.094650205761308
11,letter,4,1.0,1.0,0.8647661633334262,26.450617283950617
11,letter,6,0.9666666666666667,0.967741935483871,1.392037063333396,37.973251028806594
11,robot,2,1.0,1.0,2.1041302766666985,33.75514403292181
11,robot,4,0.9333333333333333,0.9333333333333333,3.0064006266667245,48.004115226337454
11,robot,6,0.9666666666666667,0.9655172413793104,3.41088908333345,53.86831275720166
13,letter,2,1.0,1.0,1.2661355633385634,13.076131687242793
13,letter,4,0.9333333333333333,0.9285714285714286,1.429255110002123,16.11111111111111
13,letter,6,0.8666666666666667,0.846153846153846,1.601258790002127,19.917695473251023
13,robot,2,0.8333333333333334,0.8387096774193549,4.605504533332229,42.44855967078189
13,robot,4,0.6666666666666666,0.7368421052631579,5.212756023321223,50.6275720164609
13,robot,6,0.7333333333333333,0.7647058823529413,5.419083483342547,58.086419753086425
14,letter,2,0.9666666666666667,0.9655172413793104,1.7334102000012839,7.00617283950617
14,letter,4,0.9666666666666667,0.967741935483871,1.823732173332246,15.082304526748965
14,letter,6,0.9666666666666667,0.9655172413793104,1.921658593325022,16.162551440329214
